ClassName,Method,Return Type,Description
Boolean,booleanValue(),boolean,Returns the value of this Boolean object as a boolean primitive.
Boolean,"compare(boolean x, boolean y)",static int,Compares two boolean values.
Boolean,compareTo(Boolean b),int,Compares this Boolean instance with another.
Boolean,equals(Object obj),boolean,Returns true if and only if the argument is not null and is a Boolean object that represents the same boolean value as this object.
Boolean,getBoolean(String name),static boolean,"Returns true if and only if the system property named by the argument exists and is equal to the string ""true""."
Boolean,hashCode(),int,Returns a hash code for this Boolean object.
Boolean,hashCode(boolean value),static int,Returns a hash code for a boolean value; compatible with Boolean.hashCode().
Boolean,"logicalAnd(boolean a, boolean b)",static boolean,Returns the result of applying the logical AND operator to the specified boolean operands.
Boolean,"logicalOr(boolean a, boolean b)",static boolean,Returns the result of applying the logical OR operator to the specified boolean operands.
Boolean,"logicalXor(boolean a, boolean b)",static boolean,Returns the result of applying the logical XOR operator to the specified boolean operands.
Boolean,parseBoolean(String s),static boolean,Parses the string argument as a boolean.
Boolean,toString(),String,Returns a String object representing this Boolean's value.
Boolean,toString(boolean b),static String,Returns a String object representing the specified boolean.
Boolean,valueOf(boolean b),static Boolean,Returns a Boolean instance representing the specified boolean value.
Boolean,valueOf(String s),static Boolean,Returns a Boolean with a value represented by the specified string.
Byte,byteValue(),byte,Returns the value of this Byte as a byte.
Byte,"compare(byte x, byte y)",static int,Compares two byte values numerically.
Byte,compareTo(Byte anotherByte),int,Compares two Byte objects numerically.
Byte,decode(String nm),static Byte,Decodes a String into a Byte.
Byte,doubleValue(),double,Returns the value of this Byte as a double after a widening primitive conversion.
Byte,equals(Object obj),boolean,Compares this object to the specified object.
Byte,floatValue(),float,Returns the value of this Byte as a float after a widening primitive conversion.
Byte,hashCode(),int,Returns a hash code for this Byte; equal to the result of invoking intValue().
Byte,hashCode(byte value),static int,Returns a hash code for a byte value; compatible with Byte.hashCode().
Byte,intValue(),int,Returns the value of this Byte as an int after a widening primitive conversion.
Byte,longValue(),long,Returns the value of this Byte as a long after a widening primitive conversion.
Byte,parseByte(String s),static byte,Parses the string argument as a signed decimal byte.
Byte,"parseByte(String s, int radix)",static byte,Parses the string argument as a signed byte in the radix specified by the second argument.
Byte,shortValue(),short,Returns the value of this Byte as a short after a widening primitive conversion.
Byte,toString(),String,Returns a String object representing this Byte's value.
Byte,toString(byte b),static String,Returns a new String object representing the specified byte.
Byte,toUnsignedInt(byte x),static int,Converts the argument to an int by an unsigned conversion.
Byte,toUnsignedLong(byte x),static long,Converts the argument to a long by an unsigned conversion.
Byte,valueOf(byte b),static Byte,Returns a Byte instance representing the specified byte value.
Byte,valueOf(String s),static Byte,Returns a Byte object holding the value given by the specified String.
Byte,"valueOf(String s, int radix)",static Byte,Returns a Byte object holding the value extracted from the specified String when parsed with the radix given by the second argument.
Character,charCount(int codePoint),static int,Determines the number of char values needed to represent the specified character (Unicode code point).
Character,charValue(),char,Returns the value of this Character object.
Character,"codePointAt(char[] a, int index)",static int,Returns the code point at the given index of the char array.
Character,"codePointAt(char[] a, int index, int limit)",static int,"Returns the code point at the given index of the char array, where only array elements with index less than limit can be used."
Character,"codePointAt(CharSequence seq, int index)",static int,Returns the code point at the given index of the CharSequence.
Character,"codePointBefore(char[] a, int index)",static int,Returns the code point preceding the given index of the char array.
Character,"codePointBefore(char[] a, int index, int start)",static int,"Returns the code point preceding the given index of the char array, where only array elements with index greater than or equal to start can be used."
