ClassName,Method,Return Type,Description,Full Description
InvalidValueHelper,extract(Any a),static InvalidValue,NULL,"

extract
public static InvalidValue extract(Any a)

"
InvalidValueHelper,id(),static String,NULL,"

id
public static String id()

"
InvalidValueHelper,"insert(Any a, InvalidValue that)",static void,NULL,"

insert
public static void insert(Any a,
                          InvalidValue that)

"
InvalidValueHelper,read(InputStream istream),static InvalidValue,NULL,"

read
public static InvalidValue read(InputStream istream)

"
InvalidValueHelper,type(),static TypeCode,NULL,"

type
public static TypeCode type()

"
InvalidValueHelper,"write(OutputStream ostream, InvalidValue value)",static void,NULL,"

write
public static void write(OutputStream ostream,
                         InvalidValue value)

"
TypeMismatchHelper,extract(Any a),static TypeMismatch,NULL,"

extract
public static TypeMismatch extract(Any a)

"
TypeMismatchHelper,id(),static String,NULL,"

id
public static String id()

"
TypeMismatchHelper,"insert(Any a, TypeMismatch that)",static void,NULL,"

insert
public static void insert(Any a,
                          TypeMismatch that)

"
TypeMismatchHelper,read(InputStream istream),static TypeMismatch,NULL,"

read
public static TypeMismatch read(InputStream istream)

"
TypeMismatchHelper,type(),static TypeCode,NULL,"

type
public static TypeCode type()

"
TypeMismatchHelper,"write(OutputStream ostream, TypeMismatch value)",static void,NULL,"

write
public static void write(OutputStream ostream,
                         TypeMismatch value)

"
