Sample Number,ClassName,Snippet Number,Method,Exist,Description
0,AbstractCollection,1,boolean add(E e),True,Ensures that this collection contains the specified element (optional operation).
0,AbstractCollection,2,boolean addAll(Collection<? extends E> c),True,Adds all of the elements in the specified collection to this collection (optional operation).
0,AbstractCollection,3,void clear(),True,Removes all of the elements from this collection (optional operation).
0,AbstractCollection,4,boolean contains(Object o),True,Returns true if this collection contains the specified element.
0,AbstractCollection,5,boolean containsAll(Collection<?> c),True,Returns true if this collection contains all of the elements in the specified collection.
1,AbstractList,1,boolean add(E e),True,Appends the specified element to the end of this list (optional operation).
1,AbstractList,2,E get(int index),True,Returns the element at the specified position in this list.
1,AbstractList,3,"E set(int index, E element)",True,Replaces the element at the specified position in this list with the specified element (optional operation).
1,AbstractList,4,int size(),False,NULL
1,AbstractList,5,boolean isEmpty(),False,NULL
2,AbstractMap,1,"AbstractMap.SimpleEntry<K,V> entry(K key, V value)",False,NULL
2,AbstractMap,2,boolean equals(Object o),True,Compares the specified object with this map for equality.
2,AbstractMap,3,int hashCode(),True,Returns the hash code value for this map.
2,AbstractMap,4,boolean isEmpty(),True,Returns true if this map contains no key-value mappings.
2,AbstractMap,5,"Set<Map.Entry<K,V>> entrySet()",True,Returns a Set view of the mappings contained in this map.
3,AbstractMap.SimpleEntry,1,boolean equals(Object o),True,Compares the specified object with this entry for equality.
3,AbstractMap.SimpleEntry,2,int hashCode(),True,Returns the hash code value for this map entry.
3,AbstractMap.SimpleEntry,3,E getKey(),False,NULL
3,AbstractMap.SimpleEntry,4,E getValue(),False,NULL
3,AbstractMap.SimpleEntry,5,E setValue(E value),False,NULL
4,AbstractMap.SimpleImmutableEntry,1,V getValue(),True,Returns the value corresponding to this entry.
4,AbstractMap.SimpleImmutableEntry,2,K getKey(),True,Returns the key corresponding to this entry.
4,AbstractMap.SimpleImmutableEntry,3,V setValue(V value),True,Replaces the value corresponding to this entry with the specified value (optional operation).
4,AbstractMap.SimpleImmutableEntry,4,boolean equals(Object o),True,Compares the specified object with this entry for equality.
4,AbstractMap.SimpleImmutableEntry,5,int hashCode(),True,Returns the hash code value for this map entry.
5,AbstractQueue,1,boolean add(E e),True,"Inserts the specified element into this queue if it is possible to do so immediately without violating capacity restrictions, returning true upon success and throwing an IllegalStateException if no space is currently available."
5,AbstractQueue,2,E remove(),True,Retrieves and removes the head of this queue.
5,AbstractQueue,3,E peek(),False,NULL
5,AbstractQueue,4,boolean offer(E e),False,NULL
5,AbstractQueue,5,E poll(),False,NULL
6,AbstractSequentialList,1,E get(int index),True,Returns the element at the specified position in this list.
6,AbstractSequentialList,2,"E set(int index, E element)",True,Replaces the element at the specified position in this list with the specified element (optional operation).
6,AbstractSequentialList,3,"void add(int index, E element)",True,Inserts the specified element at the specified position in this list (optional operation).
6,AbstractSequentialList,4,E remove(int index),True,Removes the element at the specified position in this list (optional operation).
6,AbstractSequentialList,5,int size(),False,NULL
7,AbstractSet,1,boolean add(E e),False,NULL
7,AbstractSet,2,boolean addAll(Collection<? extends E> c),False,NULL
7,AbstractSet,3,void clear(),False,NULL
7,AbstractSet,4,boolean contains(Object o),False,NULL
7,AbstractSet,5,boolean isEmpty(),False,NULL
8,ArrayDeque,1,boolean add(E e),True,Inserts the specified element at the end of this deque.
8,ArrayDeque,2,boolean offer(E e),True,Inserts the specified element at the end of this deque.
8,ArrayDeque,3,boolean offerFirst(E e),True,Inserts the specified element at the front of this deque.
8,ArrayDeque,4,boolean offerLast(E e),True,Inserts the specified element at the end of this deque.
8,ArrayDeque,5,E remove(),True,Retrieves and removes the head of the queue represented by this deque.
9,ArrayList,1,boolean add(E e),True,Appends the specified element to the end of this list.
9,ArrayList,2,"void add(int index, E element)",True,Inserts the specified element at the specified position in this list.
9,ArrayList,3,boolean addAll(Collection<? extends E> c),True,"Appends all of the elements in the specified collection to the end of this list, in the order that they are returned by the specified collection's Iterator."
9,ArrayList,4,E get(int index),True,Returns the element at the specified position in this list.
9,ArrayList,5,E remove(int index),True,Removes the element at the specified position in this list.
10,Arrays,1,"boolean equals(Object a, Object b)",False,NULL
10,Arrays,2,"void fill(int[] a, int val)",True,Assigns the specified int value to each element of the specified array of ints.
10,Arrays,3,void sort(int[] a),True,Sorts the specified array into ascending numerical order.
10,Arrays,4,"int binarySearch(int[] a, int key)",True,Searches the specified array of ints for the specified value using the binary search algorithm.
10,Arrays,5,int hashCode(Object a),False,NULL
11,Base64,1,byte[] getDecoder().decode(String s),False,NULL
11,Base64,2,"byte[] getDecoder().decode(String s, int off, int len)",False,NULL
11,Base64,3,String getEncoder().encodeToString(byte[] src),False,NULL
11,Base64,4,byte[] getEncoder().encode(byte[] src),False,NULL
11,Base64,5,"byte[] getEncoder().encode(byte[] src, int off, int len)",False,NULL
12,Base64.Decoder,1,Base64.Decoder getDecoder(),False,NULL
12,Base64.Decoder,2,byte[] decode(String s),True,Decodes a Base64 encoded String into a newly-allocated byte array using the Base64 encoding scheme.
12,Base64.Decoder,3,byte[] decodeBuffer(String s),False,NULL
12,Base64.Decoder,4,"byte[] decodeBuffer(byte[] src, int offset, int len)",False,NULL
12,Base64.Decoder,5,byte[] decode(byte[] src),True,"Decodes all bytes from the input byte array using the Base64 encoding scheme, writing the results into a newly-allocated output byte array."
13,Base64.Encoder,1,Base64.Encoder getInstance(),False,NULL
13,Base64.Encoder,2,byte[] encode(byte[] src),True,Encodes all bytes from the specified byte array into a newly-allocated byte array using the Base64 encoding scheme.
13,Base64.Encoder,3,"byte[] encode(byte[] src, int off, int len)",False,NULL
13,Base64.Encoder,4,"int encode(byte[] src, OutputStream out)",False,NULL
13,Base64.Encoder,5,"int encode(byte[] src, int off, int len, OutputStream out)",False,NULL
14,BitSet,1,boolean get(int index),True,Returns the value of the bit with the specified index.
14,BitSet,2,void set(int index),True,Sets the bit at the specified index to true.
14,BitSet,3,void clear(int index),True,Sets the bit specified by the index to false.
14,BitSet,4,int cardinality(),True,Returns the number of bits set to true in this BitSet.
14,BitSet,5,int length(),True,"Returns the ""logical size"" of this BitSet: the index of the highest set bit in the BitSet plus one."
15,Calendar,1,int get(int field),True,Returns the value of the given calendar field.
15,Calendar,2,"void set(int year, int month, int date)",True,"Sets the values for the calendar fields YEAR, MONTH, and DAY_OF_MONTH."
15,Calendar,3,"void add(int field, int amount)",True,"Adds or subtracts the specified amount of time to the given calendar field, based on the calendar's rules."
15,Calendar,4,"void roll(int field, boolean up)",True,Adds or subtracts (up/down) a single unit of time on the given time field without changing larger fields.
15,Calendar,5,Date getTime(),True,"Returns a Date object representing this Calendar's time value (millisecond offset from the Epoch"")."
16,Calendar.Builder,1,"Calendar.Builder setDate(int year, int month, int date)",True,"Sets the date field parameters to the values given by year, month, and dayOfMonth."
16,Calendar.Builder,2,"Calendar.Builder setTime(int hourOfDay, int minute, int second)",False,NULL
16,Calendar.Builder,3,Calendar.Builder setTimeZone(TimeZone value),True,Sets the time zone parameter to the given zone.
16,Calendar.Builder,4,"Calendar.Builder setWeekDate(int weekYear, int weekOfYear, int dayOfWeek)",True,"Sets the week-based date parameters to the values with the given date specifiers - week year, week of year, and day of week."
16,Calendar.Builder,5,Calendar.Builder setWeekYear(int weekYear),False,NULL
17,Collections,1,boolean add(E e),False,NULL
17,Collections,2,void addAll(Collection<? extends E> c),False,NULL
17,Collections,3,void copy(List<? super E> dest),False,NULL
17,Collections,4,void sort(List<E> list),False,NULL
17,Collections,5,void shuffle(List<?> list),True,Randomly permutes the specified list using a default source of randomness.
18,Currency,1,Currency getInstance(String currencyCode),True,Returns the Currency instance for the given currency code.
18,Currency,2,String getCurrencyCode(),True,Gets the ISO 4217 currency code of this currency.
