Sample Number,ClassName,Snippet Number,Method,Exist
0,ConsoleHandler,1,void setOutputStream(OutputStream out),False
0,ConsoleHandler,2,void setLevel(Level newLevel),False
0,ConsoleHandler,3,void setEncoding(String encoding),False
0,ConsoleHandler,4,void setFilter(Filter newFilter),False
0,ConsoleHandler,5,void setErrorManager(ErrorManager em),False
1,ErrorManager,1,"void error(String msg, Exception ex)",False
1,ErrorManager,2,"String formatMessage(String msg, Object[] params)",False
1,ErrorManager,3,"void reportError(String msg, Exception ex, int code)",False
1,ErrorManager,4,"void fatalError(String msg, Exception ex, int code)",False
1,ErrorManager,5,"void log(Level level, String msg)",False
2,FileHandler,1,void publish(LogRecord record),True
2,FileHandler,2,void close(),True
2,FileHandler,3,void setFormatter(Formatter newFormatter),False
2,FileHandler,4,void setEncoding(String encoding),False
2,FileHandler,5,void setLevel(Level newLevel),False
3,Formatter,1,String format(LogRecord record),True
3,Formatter,2,String getHead(Handler h),True
3,Formatter,3,String getTail(Handler h),True
3,Formatter,4,String toString(),False
3,Formatter,5,String formatMessage(LogRecord record),True
4,Handler,1,void publish(LogRecord record),True
4,Handler,2,void flush(),True
4,Handler,3,void close() throws SecurityException,True
4,Handler,4,String getEncoding(),True
4,Handler,5,ErrorManager getErrorManager(),True
5,Level,1,String getName(),True
5,Level,2,Level parse(String name),True
5,Level,3,int intValue(),True
5,Level,4,String getLocalizedName(),True
5,Level,5,boolean equals(Object ox),True
6,Logger,1,void info(String msg),True
6,Logger,2,void warning(String msg),True
6,Logger,3,void severe(String msg),True
6,Logger,4,"void log(Level level, String msg)",True
6,Logger,5,Level getLevel(),True
7,LoggingPermission,1,void checkPermission,False
7,LoggingPermission,2,void setLevel(Level newLevel),False
7,LoggingPermission,3,Level getLevel(),False
7,LoggingPermission,4,"void log(Level level, String msg)",False
7,LoggingPermission,5,void setParent(Logger parent),False
8,LogManager,1,void addLogger(Logger logger),False
8,LogManager,2,"void readConfiguration(InputStream ins) throws IOException, SecurityException",True
8,LogManager,3,void updateConfiguration() throws SecurityException,False
8,LogManager,4,void reset(),True
8,LogManager,5,void checkAccess(),True
9,LogRecord,1,String getSourceClassName(),True
9,LogRecord,2,String getLoggerName(),True
9,LogRecord,3,Level getLevel(),True
9,LogRecord,4,Throwable getThrown(),True
10,MemoryHandler,1,void push():,True
10,MemoryHandler,2,boolean isLoggable(LogRecord record),True
10,MemoryHandler,3,void publish(LogRecord record),True
10,MemoryHandler,4,boolean isLoggable():,False
10,MemoryHandler,5,void flush():,True
11,SimpleFormatter,1,String format(LogRecord record),True
11,SimpleFormatter,2,String getHead(Handler h),False
11,SimpleFormatter,3,String getTail(Handler h),False
11,SimpleFormatter,4,String toString(),False
11,SimpleFormatter,5,void setDateFormat(String newDateFormat),False
12,SocketHandler,1,void close(),True
12,SocketHandler,2,void flush(),False
12,SocketHandler,3,boolean isLoggable(LogRecord record),False
12,SocketHandler,4,void setOutputStream(OutputStream out),False
12,SocketHandler,5,void setFormatter(Formatter newFormatter),False
13,StreamHandler,1,void setOutputStream(OutputStream out),True
13,StreamHandler,2,void setLevel(Level newLevel),False
13,StreamHandler,3,void setFilter(Filter newFilter),False
13,StreamHandler,4,void setEncoding(String encoding),True
13,StreamHandler,5,void setFormatter(Formatter newFormatter),False
14,XMLFormatter,1,void setNamespaceAware(boolean namespaceAware),False
14,XMLFormatter,2,void setEncoding(String encoding),False
14,XMLFormatter,3,void setIndentation(int indentation),False
14,XMLFormatter,4,void setDoctype(String doctype),False
14,XMLFormatter,5,void setHandler(Handler handler),False
