ClassName,Method,Return Type,Description,Full Description
ParameterBlock,add(byte b),ParameterBlock,Adds a Byte to the list of parameters.,"

add
public ParameterBlock add(byte b)
Adds a Byte to the list of parameters.

Parameters:
b - the byte to add to the
            parameters Vector
Returns:
a new ParameterBlock containing
         the specified parameter.


"
ParameterBlock,add(char c),ParameterBlock,Adds a Character to the list of parameters.,"

add
public ParameterBlock add(char c)
Adds a Character to the list of parameters.

Parameters:
c - the char to add to the
            parameters Vector
Returns:
a new ParameterBlock containing
         the specified parameter.


"
ParameterBlock,add(double d),ParameterBlock,Adds a Double to the list of parameters.,"

add
public ParameterBlock add(double d)
Adds a Double to the list of parameters.

Parameters:
d - the double to add to the
            parameters Vector
Returns:
a new ParameterBlock containing
         the specified parameter.


"
ParameterBlock,add(float f),ParameterBlock,Adds a Float to the list of parameters.,"

add
public ParameterBlock add(float f)
Adds a Float to the list of parameters.

Parameters:
f - the float to add to the
            parameters Vector
Returns:
a new ParameterBlock containing
         the specified parameter.


"
ParameterBlock,add(int i),ParameterBlock,Adds a Integer to the list of parameters.,"

add
public ParameterBlock add(int i)
Adds a Integer to the list of parameters.

Parameters:
i - the int to add to the
            parameters Vector
Returns:
a new ParameterBlock containing
         the specified parameter.


"
ParameterBlock,add(long l),ParameterBlock,Adds a Long to the list of parameters.,"

add
public ParameterBlock add(long l)
Adds a Long to the list of parameters.

Parameters:
l - the long to add to the
            parameters Vector
Returns:
a new ParameterBlock containing
         the specified parameter.


"
ParameterBlock,add(Object obj),ParameterBlock,Adds an object to the list of parameters.,"

add
public ParameterBlock add(Object obj)
Adds an object to the list of parameters.

Parameters:
obj - the Object to add to the
            parameters Vector
Returns:
a new ParameterBlock containing
         the specified parameter.


"
ParameterBlock,add(short s),ParameterBlock,Adds a Short to the list of parameters.,"

add
public ParameterBlock add(short s)
Adds a Short to the list of parameters.

Parameters:
s - the short to add to the
            parameters Vector
Returns:
a new ParameterBlock containing
         the specified parameter.


"
ParameterBlock,addSource(Object source),ParameterBlock,Adds an image to end of the list of sources.,"

addSource
public ParameterBlock addSource(Object source)
Adds an image to end of the list of sources.  The image is
 stored as an object in order to allow new node types in the
 future.

Parameters:
source - an image object to be stored in the source list.
Returns:
a new ParameterBlock containing the specified
         source.


"
ParameterBlock,clone(),Object,Creates a copy of a ParameterBlock.,"

clone
public Object clone()
Creates a copy of a ParameterBlock.  The source and parameter
 Vectors are cloned, but the actual sources and parameters are
 copied by reference.  This allows modifications to the order
 and number of sources and parameters in the clone to be invisible
 to the original ParameterBlock.  Changes to the shared sources or
 parameters themselves will still be visible.

Overrides:
clone in class Object
Returns:
an Object clone of the ParameterBlock.
See Also:
Cloneable


"
