Sample Number,ClassName,Snippet Number,Method,Exist
0,DOMSignContext,1,void setKey(Key key),False
0,DOMSignContext,2,"void setCanonicalizationMethod(String methodURI, String algorithm)",False
0,DOMSignContext,3,"void setSignatureMethod(String methodURI, String algorithm)",False
0,DOMSignContext,4,"void setDigestMethod(String methodURI, String algorithm)",False
0,DOMSignContext,5,void setTransform(Transform transform),False
1,DOMValidateContext,1,boolean verify(),False
1,DOMValidateContext,2,List<SignatureMethod> getSignatureMethods(),False
1,DOMValidateContext,3,List<CanonicalizationMethod> getCanonicalizationMethods(),False
1,DOMValidateContext,4,List<Transform> getTransformations(),False
1,DOMValidateContext,5,List<DigestMethod> getDigestMethods(),False
