ClassName,Method,Return Type,Description,Full Description
BlockView,"calculateMajorAxisRequirements(int axis, SizeRequirements r)",protected SizeRequirements,Calculate the requirements of the block along the major axis (i.e.,"

calculateMajorAxisRequirements
protected SizeRequirements calculateMajorAxisRequirements(int axis,
                                                          SizeRequirements r)
Calculate the requirements of the block along the major
 axis (i.e. the axis along with it tiles).  This is implemented
 to provide the superclass behavior and then adjust it if the
 CSS width or height attribute is specified and applicable to
 the axis.

Overrides:
calculateMajorAxisRequirements in class BoxView
Parameters:
axis - the axis being studied
r - the SizeRequirements object;
          if null one will be created
Returns:
the newly initialized SizeRequirements object
See Also:
SizeRequirements


"
BlockView,"calculateMinorAxisRequirements(int axis, SizeRequirements r)",protected SizeRequirements,Calculate the requirements of the block along the minor axis (i.e.,"

calculateMinorAxisRequirements
protected SizeRequirements calculateMinorAxisRequirements(int axis,
                                                          SizeRequirements r)
Calculate the requirements of the block along the minor
 axis (i.e. the axis orthogonal to the axis along with it tiles).
 This is implemented
 to provide the superclass behavior and then adjust it if the
 CSS width or height attribute is specified and applicable to
 the axis.

Overrides:
calculateMinorAxisRequirements in class BoxView
Parameters:
axis - the axis being studied
r - the SizeRequirements object;
          if null one will be created
Returns:
the newly initialized SizeRequirements object
See Also:
SizeRequirements


"
BlockView,"changedUpdate(DocumentEvent changes, Shape a, ViewFactory f)",void,Gives notification from the document that attributes were changed in a location that this view is responsible for.,"

changedUpdate
public void changedUpdate(DocumentEvent changes,
                          Shape a,
                          ViewFactory f)
Description copied from class: View
Gives notification from the document that attributes were changed
 in a location that this view is responsible for.
 To reduce the burden to subclasses, this functionality is
 spread out into the following calls that subclasses can
 reimplement:
 
updateChildren is called
 if there were any changes to the element this view is
 responsible for.  If this view has child views that are
 represent the child elements, then this method should do
 whatever is necessary to make sure the child views correctly
 represent the model.
 forwardUpdate is called
 to forward the DocumentEvent to the appropriate child views.
 updateLayout is called to
 give the view a chance to either repair its layout, to reschedule
 layout, or do nothing.
 

Overrides:
changedUpdate in class View
Parameters:
changes - the change information from the associated document
a - the current allocation of the view
f - the factory to use to rebuild if the view has children
See Also:
View.changedUpdate(javax.swing.event.DocumentEvent, java.awt.Shape, javax.swing.text.ViewFactory)


"
BlockView,getAlignment(int axis),float,Gets the alignment.,"

getAlignment
public float getAlignment(int axis)
Gets the alignment.

Overrides:
getAlignment in class BoxView
Parameters:
axis - may be either X_AXIS or Y_AXIS
Returns:
the alignment


"
BlockView,getAttributes(),AttributeSet,Fetches the attributes to use when rendering.,"

getAttributes
public AttributeSet getAttributes()
Fetches the attributes to use when rendering.  This is
 implemented to multiplex the attributes specified in the
 model with a StyleSheet.

Overrides:
getAttributes in class View


"
BlockView,getMaximumSpan(int axis),float,Determines the maximum span for this view along an axis.,"

getMaximumSpan
public float getMaximumSpan(int axis)
Determines the maximum span for this view along an
 axis.

Overrides:
getMaximumSpan in class BoxView
Parameters:
axis - may be either View.X_AXIS
           or View.Y_AXIS
Returns:
the span the view would like to be rendered into >= 0;
           typically the view is told to render into the span
           that is returned, although there is no guarantee;
           the parent may choose to resize or break the view
Throws:
IllegalArgumentException - for an invalid axis type
See Also:
View.getPreferredSpan(int)


"
BlockView,getMinimumSpan(int axis),float,Determines the minimum span for this view along an axis.,"

getMinimumSpan
public float getMinimumSpan(int axis)
Determines the minimum span for this view along an
 axis.

Overrides:
getMinimumSpan in class BoxView
Parameters:
axis - may be either View.X_AXIS
           or View.Y_AXIS
Returns:
the span the view would like to be rendered into >= 0;
           typically the view is told to render into the span
           that is returned, although there is no guarantee;
           the parent may choose to resize or break the view
Throws:
IllegalArgumentException - for an invalid axis type
See Also:
View.getPreferredSpan(int)


"
BlockView,getPreferredSpan(int axis),float,Determines the preferred span for this view along an axis.,"

getPreferredSpan
public float getPreferredSpan(int axis)
Determines the preferred span for this view along an
 axis.

Overrides:
getPreferredSpan in class BoxView
Parameters:
axis - may be either View.X_AXIS
           or View.Y_AXIS
Returns:
the span the view would like to be rendered into >= 0;
           typically the view is told to render into the span
           that is returned, although there is no guarantee;
           the parent may choose to resize or break the view
Throws:
IllegalArgumentException - for an invalid axis type
See Also:
View.getPreferredSpan(int)


"
BlockView,getResizeWeight(int axis),int,Gets the resize weight.,"

getResizeWeight
public int getResizeWeight(int axis)
Gets the resize weight.

Overrides:
getResizeWeight in class BoxView
Parameters:
axis - may be either X_AXIS or Y_AXIS
Returns:
the weight
Throws:
IllegalArgumentException - for an invalid axis


"
BlockView,getStyleSheet(),protected StyleSheet,NULL,"

getStyleSheet
protected StyleSheet getStyleSheet()

"
BlockView,"layoutMinorAxis(int targetSpan, int axis, int[] offsets, int[] spans)",protected void,Performs layout for the minor axis of the box (i.e.,"

layoutMinorAxis
protected void layoutMinorAxis(int targetSpan,
                               int axis,
                               int[] offsets,
                               int[] spans)
Performs layout for the minor axis of the box (i.e. the
 axis orthogonal to the axis that it represents). The results
 of the layout (the offset and span for each children) are
 placed in the given arrays which represent the allocations to
 the children along the minor axis.

Overrides:
layoutMinorAxis in class BoxView
Parameters:
targetSpan - the total span given to the view, which
  would be used to layout the children.
axis - the axis being layed out
offsets - the offsets from the origin of the view for
  each of the child views; this is a return value and is
  filled in by the implementation of this method
spans - the span of each child view; this is a return
  value and is filled in by the implementation of this method


"
BlockView,"paint(Graphics g, Shape allocation)",void,Renders using the given rendering surface and area on that surface.,"

paint
public void paint(Graphics g,
                  Shape allocation)
Renders using the given rendering surface and area on that
 surface.  This is implemented to delegate to the css box
 painter to paint the border and background prior to the
 interior.

Overrides:
paint in class BoxView
Parameters:
g - the rendering surface to use
allocation - the allocated region to render into
See Also:
View.paint(java.awt.Graphics, java.awt.Shape)


"
BlockView,setParent(View parent),void,Establishes the parent view for this view.,"

setParent
public void setParent(View parent)
Establishes the parent view for this view.  This is
 guaranteed to be called before any other methods if the
 parent view is functioning properly.
 
 This is implemented
 to forward to the superclass as well as call the
 setPropertiesFromAttributes()
 method to set the paragraph properties from the css
 attributes.  The call is made at this time to ensure
 the ability to resolve upward through the parents
 view attributes.

Overrides:
setParent in class CompositeView
Parameters:
parent - the new parent, or null if the view is
  being removed from a parent it was previously added
  to


"
BlockView,setPropertiesFromAttributes(),protected void,Update any cached values that come from attributes.,"

setPropertiesFromAttributes
protected void setPropertiesFromAttributes()
Update any cached values that come from attributes.

"
CSS,getAllAttributeKeys(),static CSS.Attribute[],Return the set of all possible CSS attribute keys.,"

getAllAttributeKeys
public static CSS.Attribute[] getAllAttributeKeys()
Return the set of all possible CSS attribute keys.

"
CSS,getAttribute(String name),static CSS.Attribute,Translates a string to a CSS.Attribute object.,"

getAttribute
public static final CSS.Attribute getAttribute(String name)
Translates a string to a CSS.Attribute object.
 This will return null if there is no attribute
 by the given name.

Parameters:
name - the name of the CSS attribute to fetch the
  typesafe enumeration for
Returns:
the CSS.Attribute object,
  or null if the string
  doesn't represent a valid attribute key


"
CSS.Attribute,getDefaultValue(),String,Fetch the default value for the attribute.,"

getDefaultValue
public String getDefaultValue()
Fetch the default value for the attribute.
 If there is no default value (such as for
 composite attributes), null will be returned.

"
CSS.Attribute,isInherited(),boolean,Indicates if the attribute should be inherited from the parent or not.,"

isInherited
public boolean isInherited()
Indicates if the attribute should be inherited
 from the parent or not.

"
CSS.Attribute,toString(),String,The string representation of the attribute.,"

toString
public String toString()
The string representation of the attribute.  This
 should exactly match the string specified in the
 CSS specification.

Overrides:
toString in class Object
Returns:
a string representation of the object.


"
FormSubmitEvent,getData(),String,Gets the form submission data.,"

getData
public String getData()
Gets the form submission data.

Returns:
the string representing the form submission data.


"
FormSubmitEvent,getMethod(),FormSubmitEvent.MethodType,Gets the form method type.,"

getMethod
public FormSubmitEvent.MethodType getMethod()
Gets the form method type.

Returns:
the form method type, either
 Method.GET or Method.POST.


"
FormView,actionPerformed(ActionEvent evt),void,Responsible for processing the ActionEvent.,"

actionPerformed
public void actionPerformed(ActionEvent evt)
Responsible for processing the ActionEvent.
 If the element associated with the FormView,
 has a type of ""submit"", ""reset"", ""text"" or ""password""
 then the action is processed.  In the case of a ""submit""
 the form is submitted.  In the case of a ""reset""
 the form is reset to its original state.
 In the case of ""text"" or ""password"", if the
 element is the last one of type ""text"" or ""password"",
 the form is submitted.  Otherwise, focus is transferred
 to the next component in the form.

Specified by:
actionPerformed in interface ActionListener
Parameters:
evt - the ActionEvent.


"
FormView,createComponent(),protected Component,Create the component.,"

createComponent
protected Component createComponent()
Create the component.  This is basically a
 big switch statement based upon the tag type
 and html attributes of the associated element.

Overrides:
createComponent in class ComponentView


"
FormView,getMaximumSpan(int axis),float,Determines the maximum span for this view along an axis.,"

getMaximumSpan
public float getMaximumSpan(int axis)
Determines the maximum span for this view along an
 axis. For certain components, the maximum and preferred span are the
 same. For others this will return the value
 returned by Component.getMaximumSize along the
 axis of interest.

Overrides:
getMaximumSpan in class ComponentView
Parameters:
axis - may be either View.X_AXIS or View.Y_AXIS
Returns:
the span the view would like to be rendered into >= 0.
           Typically the view is told to render into the span
           that is returned, although there is no guarantee.
           The parent may choose to resize or break the view.
Throws:
IllegalArgumentException - for an invalid axis
See Also:
View.getPreferredSpan(int)


"
