Sample Number,ClassName,Snippet Number,Method,Exist
0,AlphaComposite,1,"AlphaComposite getInstance(int rule, float alpha)",True
0,AlphaComposite,2,"AlphaComposite getInstance(int rule, float[] color)",False
0,AlphaComposite,3,"AlphaComposite getInstance(int rule, float[] color, int hints)",False
0,AlphaComposite,4,"AlphaComposite getInstance(int rule, float[] color, int hints, int windingRule)",False
0,AlphaComposite,5,"AlphaComposite getInstance(int rule, float[] color, int hints, int windingRule, RenderingHints.Key key)",False
1,AWTEvent,1,int getID(),True
1,AWTEvent,2,Object getSource(),False
1,AWTEvent,3,void setSource(Object source),True
1,AWTEvent,4,long getWhen(),False
1,AWTEvent,5,void setWhen(long when),False
2,AWTEventMulticaster,1,void addAwtEventListener(AWTEventListener listener),False
2,AWTEventMulticaster,2,void removeAwtEventListener(AWTEventListener listener),False
2,AWTEventMulticaster,3,void dispatchEvent(AWTEvent event),False
2,AWTEventMulticaster,4,void dispatchEvent(EventObject event),False
2,AWTEventMulticaster,5,"void dispatchEvent(EventObject event, Object[] listeners)",False
3,AWTKeyStroke,1,"KeyStroke getKeyStroke(char keyChar, int modifiers)",False
3,AWTKeyStroke,2,"KeyStroke getKeyStroke(int keyCode, int modifiers)",False
3,AWTKeyStroke,3,KeyStroke getKeyStroke(String keyStroke),False
3,AWTKeyStroke,4,int getKeyCode(),True
3,AWTKeyStroke,5,int getModifiers(),True
3,AWTKeyStroke,6,char getKeyChar(),True
3,AWTKeyStroke,7,String getKeyText(int keyEventDefault),False
3,AWTKeyStroke,8,boolean isDown(),False
3,AWTKeyStroke,9,boolean isUp(),False
3,AWTKeyStroke,10,boolean isConsumed(),False
3,AWTKeyStroke,11,boolean isOneOf(KeyStroke[] keyStrokes),False
3,AWTKeyStroke,12,boolean isStillDown(),False
3,AWTKeyStroke,13,boolean isStillUp(),False
3,AWTKeyStroke,14,boolean isModifierKey(),False
3,AWTKeyStroke,15,boolean isModifierSet(int modifiers),False
3,AWTKeyStroke,16,boolean isActionKey(),False
3,AWTKeyStroke,17,boolean isKeyDown(),False
3,AWTKeyStroke,18,boolean isKeyUp(),False
3,AWTKeyStroke,19,boolean isKeyPressed(),False
3,AWTKeyStroke,20,boolean isKeyReleased(),False
3,AWTKeyStroke,21,boolean isKeyTyped(),False
3,AWTKeyStroke,22,boolean isKeyChar(),False
3,AWTKeyStroke,23,boolean isMenuShortcut(),False
3,AWTKeyStroke,24,boolean isMenuKey(),False
3,AWTKeyStroke,25,boolean isMenuDown(),False
3,AWTKeyStroke,26,boolean isMenuUp(),False
3,AWTKeyStroke,27,boolean isMenuPressed(),False
3,AWTKeyStroke,28,boolean isMenuReleased(),False
3,AWTKeyStroke,29,boolean isMenuTyped(),False
4,AWTPermission,1,boolean implies(Permission p),False
4,AWTPermission,2,boolean equals(Object obj),False
4,AWTPermission,3,int hashCode(),False
4,AWTPermission,4,String getActions(),False
4,AWTPermission,5,String toString(),False
5,BasicStroke,1,float getLineWidth(),True
5,BasicStroke,2,float[] getDashArray(),True
5,BasicStroke,3,float getPhase(),False
5,BasicStroke,4,Cap getEndCap(),False
5,BasicStroke,5,Join getLineJoin(),False
6,BorderLayout,1,"addLayoutComponent(String name, Component comp)",False
6,BorderLayout,2,getLayoutAlignmentX(Container target),False
6,BorderLayout,3,getLayoutAlignmentY(Container target),False
6,BorderLayout,4,getLayoutConstraints(Container target),False
6,BorderLayout,5,invalidateLayout(Container target),False
7,BufferCapabilities,1,boolean isPageFlip(),False
7,BufferCapabilities,2,boolean isSwapControl(),False
7,BufferCapabilities,3,boolean isDoubleBuffer(),False
7,BufferCapabilities,4,boolean isStereoControl(),False
7,BufferCapabilities,5,boolean isAlphaControl(),False
8,BufferCapabilities.FlipContents,1,boolean isPageFlipping(),False
8,BufferCapabilities.FlipContents,2,boolean isPageUnflipping(),False
8,BufferCapabilities.FlipContents,3,boolean isPageFlipContents(),False
8,BufferCapabilities.FlipContents,4,boolean isPageUnflipContents(),False
8,BufferCapabilities.FlipContents,5,boolean isPageFlipBuffers(),False
9,Button,1,void setLabel(String label),True
9,Button,2,String getLabel(),True
9,Button,3,void setEnabled(boolean b),False
9,Button,4,boolean isEnabled(),False
9,Button,5,void addActionListener(ActionListener l),True
10,Canvas,1,void paint(Graphics g),True
10,Canvas,2,void update(Graphics g),True
10,Canvas,3,void setSize(Dimension d),False
10,Canvas,4,"void setSize(int width, int height)",False
10,Canvas,5,Dimension getSize(),False
11,CardLayout,1,"void addLayoutComponent(Component comp, Object constraints)",True
11,CardLayout,2,void layoutContainer(Container target),True
11,CardLayout,3,Dimension minimumLayoutSize(Container target),True
11,CardLayout,4,void removeLayoutComponent(Component comp),True
11,CardLayout,5,void validate(Container target),False
12,Checkbox,1,Checkbox(String label),False
12,Checkbox,2,void setState(boolean b),True
12,Checkbox,3,boolean getState(),True
12,Checkbox,4,void setCheckboxGroup(CheckboxGroup g),True
12,Checkbox,5,CheckboxGroup getCheckboxGroup(),True
13,CheckboxGroup,1,add(Checkbox cb),False
13,CheckboxGroup,2,remove(Checkbox cb),False
13,CheckboxGroup,3,clearSelection(),False
13,CheckboxGroup,4,getCheckboxes(),False
13,CheckboxGroup,5,getSelectedCheckbox(),False
14,CheckboxMenuItem,1,boolean isSelected(),False
14,CheckboxMenuItem,2,void setState(boolean b),True
14,CheckboxMenuItem,3,void setLabel(String label),False
14,CheckboxMenuItem,4,String getLabel(),False
14,CheckboxMenuItem,5,void setEnabled(boolean b),False
15,Choice,1,void add(String item),True
15,Choice,2,void addItem(String item),True
15,Choice,3,void remove(int index),True
15,Choice,4,void removeItem(String item),False
15,Choice,5,String getItem(int index),True
15,Choice,6,int getItemCount(),True
15,Choice,7,int indexOf(String item),False
15,Choice,8,String getSelectedItem(),True
15,Choice,9,void setSelectedItem(String item),False
15,Choice,10,void select(int index),True
15,Choice,11,void deselect(int index),False
15,Choice,12,boolean isSelected(int index),False
15,Choice,13,void clearSelection(),False
15,Choice,14,"void setBounds(int x, int y, int width, int height)",False
15,Choice,15,void setSize(Dimension d),False
15,Choice,16,"void setSize(int width, int height)",False
15,Choice,17,"void setLocation(int x, int y)",False
15,Choice,18,void setLocation(Point p),False
15,Choice,19,void setVisible(boolean b),False
15,Choice,20,void setEnabled(boolean b),False
15,Choice,21,void setFont(Font f),False
15,Choice,22,void setBackground(Color c),False
15,Choice,23,void setForeground(Color c),False
15,Choice,24,void setActionCommand(String command),False
15,Choice,25,String getActionCommand(),False
15,Choice,26,ActionListener getActionListener(),False
15,Choice,27,void addActionListener(ActionListener l),False
15,Choice,28,void removeActionListener(ActionListener l),False
15,Choice,29,void setEditable(boolean b),False
15,Choice,30,boolean isEditable(),False
15,Choice,31,void setMaximumSize(Dimension max),False
15,Choice,32,void setMinimumSize(Dimension min),False
15,Choice,33,void setPreferredSize(Dimension pref),False
16,Color,1,int getRGB(),True
16,Color,2,Color getRed(),False
16,Color,3,Color getGreen(),False
16,Color,4,Color getBlue(),False
16,Color,5,"Color getHSBColor(float h, float s, float b)",True
17,Component,1,void addNotify(),True
17,Component,2,void removeNotify(),True
17,Component,3,void requestFocus(),True
17,Component,4,void setEnabled(boolean enabled),True
17,Component,5,void setFocusable(boolean focusable),True
18,ComponentOrientation,1,getComponentOrientation(),False
18,ComponentOrientation,2,setComponentOrientation(ComponentOrientation newOrientation),False
18,ComponentOrientation,3,isLeftToRight(),False
18,ComponentOrientation,4,isRightToLeft(),False
18,ComponentOrientation,5,getPreferredSize(),False
19,Container,1,Component add(Component comp),True
19,Container,2,"Component add(Component comp, Object constraints)",False
19,Container,3,void remove(Component comp),True
19,Container,4,void removeAll(),True
19,Container,5,Component[] getComponents(),True
20,ContainerOrderFocusTraversalPolicy,1,boolean isFocusOrderEnabled(),False
20,ContainerOrderFocusTraversalPolicy,2,void setFocusOrderEnabled(boolean focusOrderEnabled),False
20,ContainerOrderFocusTraversalPolicy,3,void addContainerOrder(Container container),False
20,ContainerOrderFocusTraversalPolicy,4,void removeContainerOrder(Container container),False
20,ContainerOrderFocusTraversalPolicy,5,"void setContainerOrder(Container container, int index)",False
21,Cursor,1,void setType(int type),False
21,Cursor,2,int getType(),True
21,Cursor,3,"void setHotSpot(int x, int y)",False
21,Cursor,4,Point getHotSpot(),False
21,Cursor,5,void setImage(BufferedImage image),False
21,Cursor,6,BufferedImage getImage(),False
21,Cursor,7,void setVisible(boolean b),False
21,Cursor,8,boolean isVisible(),False
21,Cursor,9,void setSerializedFields(SerializedObject so),False
