ClassName,Method,Return Type,Description,Full Description
Activatable,"exportObject(Remote obj, ActivationID id, int port)",static Remote,Export the activatable remote object to the RMI runtime to make the object available to receive incoming calls.,"

exportObject
public static Remote exportObject(Remote obj,
                                  ActivationID id,
                                  int port)
                           throws RemoteException
Export the activatable remote object to the RMI runtime to make
 the object available to receive incoming calls. The object is
 exported on an anonymous port, if port is zero. 

 During activation, this exportObject method should
 be invoked explicitly by an ""activatable"" object, that does not
 extend the Activatable class. There is no need for objects
 that do extend the Activatable class to invoke this
 method directly because the object is exported during construction.

Parameters:
obj - the remote object implementation
id - the object's  activation identifier
port - the port on which the object is exported (an anonymous
 port is used if port=0)
Returns:
the stub for the activatable remote object
Throws:
RemoteException - if object export fails
UnsupportedOperationException - if and only if activation is
 not supported by this implementation
Since:
1.2


"
Activatable,"exportObject(Remote obj, ActivationID id, int port, RMIClientSocketFactory csf, RMIServerSocketFactory ssf)",static Remote,Export the activatable remote object to the RMI runtime to make the object available to receive incoming calls.,"

exportObject
public static Remote exportObject(Remote obj,
                                  ActivationID id,
                                  int port,
                                  RMIClientSocketFactory csf,
                                  RMIServerSocketFactory ssf)
                           throws RemoteException
Export the activatable remote object to the RMI runtime to make
 the object available to receive incoming calls. The object is
 exported on an anonymous port, if port is zero. 

 During activation, this exportObject method should
 be invoked explicitly by an ""activatable"" object, that does not
 extend the Activatable class. There is no need for objects
 that do extend the Activatable class to invoke this
 method directly because the object is exported during construction.

Parameters:
obj - the remote object implementation
id - the object's  activation identifier
port - the port on which the object is exported (an anonymous
 port is used if port=0)
csf - the client-side socket factory for making calls to the
 remote object
ssf - the server-side socket factory for receiving remote calls
Returns:
the stub for the activatable remote object
Throws:
RemoteException - if object export fails
UnsupportedOperationException - if and only if activation is
 not supported by this implementation
Since:
1.2


"
Activatable,"exportObject(Remote obj, String location, MarshalledObject<?> data, boolean restart, int port)",static ActivationID,"Registers an activation descriptor (with the specified location, data, and restart mode) for the specified object, and exports that object with the specified port.","

exportObject
public static ActivationID exportObject(Remote obj,
                                        String location,
                                        MarshalledObject<?> data,
                                        boolean restart,
                                        int port)
                                 throws ActivationException,
                                        RemoteException
Registers an activation descriptor (with the specified location,
 data, and restart mode) for the specified object, and exports that
 object with the specified port.

 Note: Using this method (as well as the
 Activatable constructors that both register and export
 an activatable remote object) is strongly discouraged because the
 actions of registering and exporting the remote object are
 not guaranteed to be atomic.  Instead, an application should
 register an activation descriptor and export a remote object
 separately, so that exceptions can be handled properly.

 This method invokes the exportObject method with the specified object, location, data,
 restart mode, and port, and null for both client and
 server socket factories, and then returns the resulting activation
 identifier.

Parameters:
obj - the object being exported
location - the object's code location
data - the object's bootstrapping data
restart - if true, the object is restarted (reactivated) when
 either the activator is restarted or the object's activation group
 is restarted after an unexpected crash; if false, the object is only
 activated on demand.  Specifying restart to be
 true does not force an initial immediate activation of
 a newly registered object;  initial activation is lazy.
port - the port on which the object is exported (an anonymous
 port is used if port=0)
Returns:
the activation identifier obtained from registering the
 descriptor, desc, with the activation system
 the wrong group
Throws:
ActivationException - if activation group is not active
RemoteException - if object registration or export fails
UnsupportedOperationException - if and only if activation is
 not supported by this implementation
Since:
1.2


"
Activatable,"exportObject(Remote obj, String location, MarshalledObject<?> data, boolean restart, int port, RMIClientSocketFactory csf, RMIServerSocketFactory ssf)",static ActivationID,"Registers an activation descriptor (with the specified location, data, and restart mode) for the specified object, and exports that object with the specified port, and the specified client and server socket factories.","

exportObject
public static ActivationID exportObject(Remote obj,
                                        String location,
                                        MarshalledObject<?> data,
                                        boolean restart,
                                        int port,
                                        RMIClientSocketFactory csf,
                                        RMIServerSocketFactory ssf)
                                 throws ActivationException,
                                        RemoteException
Registers an activation descriptor (with the specified location,
 data, and restart mode) for the specified object, and exports that
 object with the specified port, and the specified client and server
 socket factories.

 Note: Using this method (as well as the
 Activatable constructors that both register and export
 an activatable remote object) is strongly discouraged because the
 actions of registering and exporting the remote object are
 not guaranteed to be atomic.  Instead, an application should
 register an activation descriptor and export a remote object
 separately, so that exceptions can be handled properly.

 This method first registers an activation descriptor for the
 specified object as follows. It obtains the activation system by
 invoking the method ActivationGroup.getSystem.  This method then obtains an ActivationID for the object by invoking the activation system's
 registerObject method with
 an ActivationDesc constructed with the specified object's
 class name, and the specified location, data, and restart mode.  If
 an exception occurs obtaining the activation system or registering
 the activation descriptor, that exception is thrown to the caller.

 Next, this method exports the object by invoking the exportObject method with the specified remote object, the
 activation identifier obtained from registration, the specified
 port, and the specified client and server socket factories.  If an
 exception occurs exporting the object, this method attempts to
 unregister the activation identifier (obtained from registration) by
 invoking the activation system's unregisterObject method with the
 activation identifier.  If an exception occurs unregistering the
 identifier, that exception is ignored, and the original exception
 that occurred exporting the object is thrown to the caller.

 Finally, this method invokes the activeObject method on the activation
 group in this VM with the activation identifier and the specified
 remote object, and returns the activation identifier to the caller.

Parameters:
obj - the object being exported
location - the object's code location
data - the object's bootstrapping data
restart - if true, the object is restarted (reactivated) when
 either the activator is restarted or the object's activation group
 is restarted after an unexpected crash; if false, the object is only
 activated on demand.  Specifying restart to be
 true does not force an initial immediate activation of
 a newly registered object;  initial activation is lazy.
port - the port on which the object is exported (an anonymous
 port is used if port=0)
csf - the client-side socket factory for making calls to the
 remote object
ssf - the server-side socket factory for receiving remote calls
Returns:
the activation identifier obtained from registering the
 descriptor with the activation system
Throws:
ActivationException - if activation group is not active
RemoteException - if object registration or export fails
UnsupportedOperationException - if and only if activation is
 not supported by this implementation
Since:
1.2


"
Activatable,getID(),protected ActivationID,Returns the object's activation identifier.,"

getID
protected ActivationID getID()
Returns the object's activation identifier.  The method is
 protected so that only subclasses can obtain an object's
 identifier.

Returns:
the object's activation identifier
Since:
1.2


"
Activatable,inactive(ActivationID id),static boolean,Informs the system that the object with the corresponding activation id is currently inactive.,"

inactive
public static boolean inactive(ActivationID id)
                        throws UnknownObjectException,
                               ActivationException,
                               RemoteException
Informs the system that the object with the corresponding activation
 id is currently inactive. If the object is currently
 active, the object is ""unexported"" from the RMI runtime (only if
 there are no pending or in-progress calls)
 so the that it can no longer receive incoming calls. This call
 informs this VM's ActivationGroup that the object is inactive,
 that, in turn, informs its ActivationMonitor. If this call
 completes successfully, a subsequent activate request to the activator
 will cause the object to reactivate. The operation may still
 succeed if the object is considered active but has already
 unexported itself.

Parameters:
id - the object's activation identifier
Returns:
true if the operation succeeds (the operation will
 succeed if the object in currently known to be active and is
 either already unexported or is currently exported and has no
 pending/executing calls); false is returned if the object has
 pending/executing calls in which case it cannot be deactivated
Throws:
UnknownObjectException - if object is not known (it may
 already be inactive)
ActivationException - if group is not active
RemoteException - if call informing monitor fails
UnsupportedOperationException - if and only if activation is
 not supported by this implementation
Since:
1.2


"
Activatable,register(ActivationDesc desc),static Remote,Register an object descriptor for an activatable remote object so that is can be activated on demand.,"

register
public static Remote register(ActivationDesc desc)
                       throws UnknownGroupException,
                              ActivationException,
                              RemoteException
Register an object descriptor for an activatable remote
 object so that is can be activated on demand.

Parameters:
desc - the object's descriptor
Returns:
the stub for the activatable remote object
Throws:
UnknownGroupException - if group id in desc
 is not registered with the activation system
ActivationException - if activation system is not running
RemoteException - if remote call fails
UnsupportedOperationException - if and only if activation is
 not supported by this implementation
Since:
1.2


"
Activatable,"unexportObject(Remote obj, boolean force)",static boolean,"Remove the remote object, obj, from the RMI runtime.","

unexportObject
public static boolean unexportObject(Remote obj,
                                     boolean force)
                              throws NoSuchObjectException
Remove the remote object, obj, from the RMI runtime. If
 successful, the object can no longer accept incoming RMI calls.
 If the force parameter is true, the object is forcibly unexported
 even if there are pending calls to the remote object or the
 remote object still has calls in progress.  If the force
 parameter is false, the object is only unexported if there are
 no pending or in progress calls to the object.

Parameters:
obj - the remote object to be unexported
force - if true, unexports the object even if there are
 pending or in-progress calls; if false, only unexports the object
 if there are no pending or in-progress calls
Returns:
true if operation is successful, false otherwise
Throws:
NoSuchObjectException - if the remote object is not
 currently exported
UnsupportedOperationException - if and only if activation is
 not supported by this implementation
Since:
1.2


"
Activatable,unregister(ActivationID id),static void,Revokes previous registration for the activation descriptor associated with id.,"

unregister
public static void unregister(ActivationID id)
                       throws UnknownObjectException,
                              ActivationException,
                              RemoteException
Revokes previous registration for the activation descriptor
 associated with id. An object can no longer be
 activated via that id.

Parameters:
id - the object's activation identifier
Throws:
UnknownObjectException - if object (id) is unknown
ActivationException - if activation system is not running
RemoteException - if remote call to activation system fails
UnsupportedOperationException - if and only if activation is
 not supported by this implementation
Since:
1.2


"
ActivationDesc,equals(Object obj),boolean,Compares two activation descriptors for content equality.,"

equals
public boolean equals(Object obj)
Compares two activation descriptors for content equality.

Overrides:
equals in class Object
Parameters:
obj - the Object to compare with
Returns:
true if these Objects are equal; false otherwise.
Since:
1.2
See Also:
Hashtable


"
ActivationDesc,getClassName(),String,Returns the class name for the object specified by this descriptor.,"

getClassName
public String getClassName()
Returns the class name for the object specified by this
 descriptor.

Returns:
the class name
Since:
1.2


"
ActivationDesc,getData(),MarshalledObject<?>,"Returns a ""marshalled object"" containing intialization/activation data for the object specified by this descriptor.","

getData
public MarshalledObject<?> getData()
Returns a ""marshalled object"" containing intialization/activation
 data for the object specified by this descriptor.

Returns:
the object specific ""initialization"" data
Since:
1.2


"
ActivationDesc,getGroupID(),ActivationGroupID,Returns the group identifier for the object specified by this descriptor.,"

getGroupID
public ActivationGroupID getGroupID()
Returns the group identifier for the object specified by this
 descriptor. A group provides a way to aggregate objects into a
 single Java virtual machine. RMI creates/activates objects with
 the same groupID in the same virtual machine.

Returns:
the group identifier
Since:
1.2


"
ActivationDesc,getLocation(),String,Returns the code location for the object specified by this descriptor.,"

getLocation
public String getLocation()
Returns the code location for the object specified by
 this descriptor.

Returns:
the code location
Since:
1.2


"
ActivationDesc,getRestartMode(),boolean,"Returns the ""restart"" mode of the object associated with this activation descriptor.","

getRestartMode
public boolean getRestartMode()
Returns the ""restart"" mode of the object associated with
 this activation descriptor.

Returns:
true if the activatable object associated with this
 activation descriptor is restarted via the activation
 daemon when either the daemon comes up or the object's group
 is restarted after an unexpected crash; otherwise it returns false,
 meaning that the object is only activated on demand via a
 method call.  Note that if the restart mode is true, the
 activator does not force an initial immediate activation of
 a newly registered object;  initial activation is lazy.
Since:
1.2


"
ActivationDesc,hashCode(),int,Return the same hashCode for similar ActivationDescs.,"

hashCode
public int hashCode()
Return the same hashCode for similar ActivationDescs.

Overrides:
hashCode in class Object
Returns:
an integer
See Also:
Hashtable


"
ActivationGroup,"activeObject(ActivationID id, MarshalledObject<? extends Remote> mobj)",protected void,This protected method is necessary for subclasses to make the activeObject callback to the group's monitor.,"

activeObject
protected void activeObject(ActivationID id,
                            MarshalledObject<? extends Remote> mobj)
                     throws ActivationException,
                            UnknownObjectException,
                            RemoteException
This protected method is necessary for subclasses to
 make the activeObject callback to the group's
 monitor. The call is simply forwarded to the group's
 ActivationMonitor.

Parameters:
id - the object's identifier
mobj - a marshalled object containing the remote object's stub
Throws:
UnknownObjectException - if object is not registered
RemoteException - if call informing monitor fails
ActivationException - if an activation error occurs
Since:
1.2


"
ActivationGroup,"activeObject(ActivationID id, Remote obj)",abstract void,The group's activeObject method is called when an object is exported (either by Activatable object construction or an explicit call to Activatable.exportObject.,"

activeObject
public abstract void activeObject(ActivationID id,
                                  Remote obj)
                           throws ActivationException,
                                  UnknownObjectException,
                                  RemoteException
The group's activeObject method is called when an
 object is exported (either by Activatable object
 construction or an explicit call to
 Activatable.exportObject. The group must inform its
 ActivationMonitor that the object is active (via
 the monitor's activeObject method) if the group
 hasn't already done so.

Parameters:
id - the object's identifier
obj - the remote object implementation
Throws:
UnknownObjectException - if object is not registered
RemoteException - if call informing monitor fails
ActivationException - if group is inactive
Since:
1.2


"
