Sample Number,ClassName,Snippet Number,Method,Exist,Description
0,Certificate,1,Certificate getCertificate(byte[] encoded),False,NULL
0,Certificate,2,Certificate getCertificate(InputStream inStream),False,NULL
0,Certificate,3,"Certificate getCertificate(String type, byte[] encoded)",False,NULL
0,Certificate,4,"Certificate getCertificate(String type, InputStream inStream)",False,NULL
0,Certificate,5,CertificateFactory getInstance(String algorithm),False,NULL
1,X509Certificate,1,getIssuerDN(),False,NULL
1,X509Certificate,2,getSubjectDN(),False,NULL
1,X509Certificate,3,getNotBefore(),False,NULL
1,X509Certificate,4,getNotAfter(),False,NULL
1,X509Certificate,5,getPublicKey(),False,NULL
1,X509Certificate,6,getVersion(),False,NULL
1,X509Certificate,7,getSerialNumber(),False,NULL
1,X509Certificate,8,getType(),False,NULL
1,X509Certificate,9,getSigAlgName(),False,NULL
1,X509Certificate,10,getSigAlgOID(),False,NULL
1,X509Certificate,11,getSigAlgParams(),False,NULL
1,X509Certificate,12,getIssuerUniqueID(),False,NULL
1,X509Certificate,13,getSubjectUniqueID(),False,NULL
1,X509Certificate,14,getTBSCertificate(),False,NULL
1,X509Certificate,15,getSignature(),False,NULL
1,X509Certificate,16,getEncoded(),False,NULL
1,X509Certificate,17,verify(PublicKey key),False,NULL
1,X509Certificate,18,checkValidity(),False,NULL
1,X509Certificate,19,getCriticalExtensionOIDs(),False,NULL
1,X509Certificate,20,getNonCriticalExtensionOIDs(),False,NULL
1,X509Certificate,21,getExtensionValue(String oid),False,NULL
1,X509Certificate,22,"getExtensionValue(String oid, boolean critical)",False,NULL
1,X509Certificate,23,getCriticalExtensionValues(),False,NULL
1,X509Certificate,24,getNonCriticalExtensionValues(),False,NULL
1,X509Certificate,25,"getExtensionValue(String oid, boolean critical, boolean isCritical)",False,NULL
