ClassName,Method,Return Type,Description,Full Description
Charset,aliases(),Set<String>,Returns a set containing this charset's aliases.,"

aliases
public final Set<String> aliases()
Returns a set containing this charset's aliases.

Returns:
An immutable set of this charset's aliases


"
Charset,availableCharsets(),"static SortedMap<String,Charset>",Constructs a sorted map from canonical charset names to charset objects.,"

availableCharsets
public static SortedMap<String,Charset> availableCharsets()
Constructs a sorted map from canonical charset names to charset objects.

  The map returned by this method will have one entry for each charset
 for which support is available in the current Java virtual machine.  If
 two or more supported charsets have the same canonical name then the
 resulting map will contain just one of them; which one it will contain
 is not specified. 
 The invocation of this method, and the subsequent use of the
 resulting map, may cause time-consuming disk or network I/O operations
 to occur.  This method is provided for applications that need to
 enumerate all of the available charsets, for example to allow user
 charset selection.  This method is not used by the forName method, which instead employs an efficient incremental lookup
 algorithm.

  This method may return different results at different times if new
 charset providers are dynamically made available to the current Java
 virtual machine.  In the absence of such changes, the charsets returned
 by this method are exactly those that can be retrieved via the forName method.  

Returns:
An immutable, case-insensitive map from canonical charset names
         to charset objects


"
Charset,canEncode(),boolean,Tells whether or not this charset supports encoding.,"

canEncode
public boolean canEncode()
Tells whether or not this charset supports encoding.

  Nearly all charsets support encoding.  The primary exceptions are
 special-purpose auto-detect charsets whose decoders can determine
 which of several possible encoding schemes is in use by examining the
 input byte sequence.  Such charsets do not support encoding because
 there is no way to determine which encoding should be used on output.
 Implementations of such charsets should override this method to return
 false. 

Returns:
true if, and only if, this charset supports encoding


"
Charset,compareTo(Charset that),int,Compares this charset to another.,"

compareTo
public final int compareTo(Charset that)
Compares this charset to another.

  Charsets are ordered by their canonical names, without regard to
 case. 

Specified by:
compareTo in interface Comparable<Charset>
Parameters:
that - The charset to which this charset is to be compared
Returns:
A negative integer, zero, or a positive integer as this charset
         is less than, equal to, or greater than the specified charset


"
Charset,contains(Charset cs),abstract boolean,Tells whether or not this charset contains the given charset.,"

contains
public abstract boolean contains(Charset cs)
Tells whether or not this charset contains the given charset.

  A charset C is said to contain a charset D if,
 and only if, every character representable in D is also
 representable in C.  If this relationship holds then it is
 guaranteed that every string that can be encoded in D can also be
 encoded in C without performing any replacements.

  That C contains D does not imply that each character
 representable in C by a particular byte sequence is represented
 in D by the same byte sequence, although sometimes this is the
 case.

  Every charset contains itself.

  This method computes an approximation of the containment relation:
 If it returns true then the given charset is known to be
 contained by this charset; if it returns false, however, then
 it is not necessarily the case that the given charset is not contained
 in this charset.

Parameters:
cs - The given charset
Returns:
true if the given charset is contained in this charset


"
Charset,decode(ByteBuffer bb),CharBuffer,Convenience method that decodes bytes in this charset into Unicode characters.,"

decode
public final CharBuffer decode(ByteBuffer bb)
Convenience method that decodes bytes in this charset into Unicode
 characters.

  An invocation of this method upon a charset cs returns the
 same result as the expression

 
     cs.newDecoder()
       .onMalformedInput(CodingErrorAction.REPLACE)
       .onUnmappableCharacter(CodingErrorAction.REPLACE)
       .decode(bb); 

 except that it is potentially more efficient because it can cache
 decoders between successive invocations.

  This method always replaces malformed-input and unmappable-character
 sequences with this charset's default replacement byte array.  In order
 to detect such sequences, use the CharsetDecoder.decode(java.nio.ByteBuffer) method directly.  

Parameters:
bb - The byte buffer to be decoded
Returns:
A char buffer containing the decoded characters


"
Charset,defaultCharset(),static Charset,Returns the default charset of this Java virtual machine.,"

defaultCharset
public static Charset defaultCharset()
Returns the default charset of this Java virtual machine.

  The default charset is determined during virtual-machine startup and
 typically depends upon the locale and charset of the underlying
 operating system.

Returns:
A charset object for the default charset
Since:
1.5


"
Charset,displayName(),String,Returns this charset's human-readable name for the default locale.,"

displayName
public String displayName()
Returns this charset's human-readable name for the default locale.

  The default implementation of this method simply returns this
 charset's canonical name.  Concrete subclasses of this class may
 override this method in order to provide a localized display name. 

Returns:
The display name of this charset in the default locale


"
Charset,displayName(Locale locale),String,Returns this charset's human-readable name for the given locale.,"

displayName
public String displayName(Locale locale)
Returns this charset's human-readable name for the given locale.

  The default implementation of this method simply returns this
 charset's canonical name.  Concrete subclasses of this class may
 override this method in order to provide a localized display name. 

Parameters:
locale - The locale for which the display name is to be retrieved
Returns:
The display name of this charset in the given locale


"
Charset,encode(CharBuffer cb),ByteBuffer,Convenience method that encodes Unicode characters into bytes in this charset.,"

encode
public final ByteBuffer encode(CharBuffer cb)
Convenience method that encodes Unicode characters into bytes in this
 charset.

  An invocation of this method upon a charset cs returns the
 same result as the expression

 
     cs.newEncoder()
       .onMalformedInput(CodingErrorAction.REPLACE)
       .onUnmappableCharacter(CodingErrorAction.REPLACE)
       .encode(bb); 

 except that it is potentially more efficient because it can cache
 encoders between successive invocations.

  This method always replaces malformed-input and unmappable-character
 sequences with this charset's default replacement string.  In order to
 detect such sequences, use the CharsetEncoder.encode(java.nio.CharBuffer) method directly.  

Parameters:
cb - The char buffer to be encoded
Returns:
A byte buffer containing the encoded characters


"
