ClassName,Method,Return Type,Description
Adler32,getValue(),long,Returns the checksum value.
Adler32,reset(),void,Resets the checksum to initial value.
Adler32,update(byte[] b),void,Updates the checksum with the specified array of bytes.
Adler32,"update(byte[] b, int off, int len)",void,Updates the checksum with the specified array of bytes.
Adler32,update(ByteBuffer buffer),void,Updates the checksum with the bytes from the specified buffer.
Adler32,update(int b),void,Updates the checksum with the specified byte (the low eight bits of the argument b).
CheckedInputStream,getChecksum(),Checksum,Returns the Checksum for this input stream.
CheckedInputStream,read(),int,Reads a byte.
CheckedInputStream,"read(byte[] buf, int off, int len)",int,Reads into an array of bytes.
CheckedInputStream,skip(long n),long,Skips specified number of bytes of input.
CheckedOutputStream,getChecksum(),Checksum,Returns the Checksum for this output stream.
CheckedOutputStream,"write(byte[] b, int off, int len)",void,Writes an array of bytes.
CheckedOutputStream,write(int b),void,Writes a byte.
CRC32,getValue(),long,Returns CRC-32 value.
CRC32,reset(),void,Resets CRC-32 to initial value.
CRC32,update(byte[] b),void,Updates the CRC-32 checksum with the specified array of bytes.
CRC32,"update(byte[] b, int off, int len)",void,Updates the CRC-32 checksum with the specified array of bytes.
CRC32,update(ByteBuffer buffer),void,Updates the checksum with the bytes from the specified buffer.
CRC32,update(int b),void,Updates the CRC-32 checksum with the specified byte (the low eight bits of the argument b).
Deflater,deflate(byte[] b),int,Compresses the input data and fills specified buffer with compressed data.
Deflater,"deflate(byte[] b, int off, int len)",int,Compresses the input data and fills specified buffer with compressed data.
Deflater,"deflate(byte[] b, int off, int len, int flush)",int,Compresses the input data and fills the specified buffer with compressed data.
Deflater,end(),void,Closes the compressor and discards any unprocessed input.
Deflater,finalize(),protected void,Closes the compressor when garbage is collected.
Deflater,finish(),void,"When called, indicates that compression should end with the current contents of the input buffer."
Deflater,finished(),boolean,Returns true if the end of the compressed data output stream has been reached.
Deflater,getAdler(),int,Returns the ADLER-32 value of the uncompressed data.
Deflater,getBytesRead(),long,Returns the total number of uncompressed bytes input so far.
Deflater,getBytesWritten(),long,Returns the total number of compressed bytes output so far.
Deflater,getTotalIn(),int,Returns the total number of uncompressed bytes input so far.
Deflater,getTotalOut(),int,Returns the total number of compressed bytes output so far.
Deflater,needsInput(),boolean,Returns true if the input data buffer is empty and setInput() should be called in order to provide more input.
Deflater,reset(),void,Resets deflater so that a new set of input data can be processed.
Deflater,setDictionary(byte[] b),void,Sets preset dictionary for compression.
Deflater,"setDictionary(byte[] b, int off, int len)",void,Sets preset dictionary for compression.
Deflater,setInput(byte[] b),void,Sets input data for compression.
Deflater,"setInput(byte[] b, int off, int len)",void,Sets input data for compression.
Deflater,setLevel(int level),void,Sets the compression level to the specified value.
Deflater,setStrategy(int strategy),void,Sets the compression strategy to the specified value.
DeflaterInputStream,available(),int,"Returns 0 after EOF has been reached, otherwise always return 1."
DeflaterInputStream,close(),void,"Closes this input stream and its underlying input stream, discarding any pending uncompressed data."
DeflaterInputStream,mark(int limit),void,This operation is not supported.
DeflaterInputStream,markSupported(),boolean,Always returns false because this input stream does not support the mark() and reset() methods.
DeflaterInputStream,read(),int,Reads a single byte of compressed data from the input stream.
DeflaterInputStream,"read(byte[] b, int off, int len)",int,Reads compressed data into a byte array.
DeflaterInputStream,reset(),void,This operation is not supported.
DeflaterInputStream,skip(long n),long,Skips over and discards data from the input stream.
DeflaterOutputStream,close(),void,Writes remaining compressed data to the output stream and closes the underlying stream.
DeflaterOutputStream,deflate(),protected void,Writes next block of compressed data to the output stream.
DeflaterOutputStream,finish(),void,Finishes writing compressed data to the output stream without closing the underlying stream.
DeflaterOutputStream,flush(),void,Flushes the compressed output stream.
DeflaterOutputStream,"write(byte[] b, int off, int len)",void,Writes an array of bytes to the compressed output stream.
DeflaterOutputStream,write(int b),void,Writes a byte to the compressed output stream.
GZIPInputStream,close(),void,Closes this input stream and releases any system resources associated with the stream.
