Sample Number,ClassName,Snippet Number,Method,Exist
0,AffineTransformOp,1,"AffineTransformOp(AffineTransform at, int type)",False
0,AffineTransformOp,2,AffineTransform getTransform(),True
0,AffineTransformOp,3,"BufferedImage filter(BufferedImage src, BufferedImage dst)",True
0,AffineTransformOp,4,void setTransform(AffineTransform newTransform),False
0,AffineTransformOp,5,"BufferedImage createCompatibleDestImage(BufferedImage src, ColorModel cm)",True
1,AreaAveragingScaleFilter,1,AreaAveragingScaleFilter(),False
1,AreaAveragingScaleFilter,2,"void setPixel(int x, int y, int rgb)",False
1,AreaAveragingScaleFilter,3,"int getPixel(int x, int y)",False
1,AreaAveragingScaleFilter,4,"void filter(BufferedImage src, BufferedImage dst)",False
1,AreaAveragingScaleFilter,5,void setEdgeAction(int action),False
2,BandCombineOp,1,void setRaster(Raster src),False
2,BandCombineOp,2,Raster getRaster(),False
2,BandCombineOp,3,"void setPixel(int x, int y, int band, int value)",False
2,BandCombineOp,4,"int getPixel(int x, int y, int band)",False
2,BandCombineOp,5,void setBandMap(int[] bandMap),False
2,BandCombineOp,6,int[] getBandMap(),False
2,BandCombineOp,7,void setScale(double scale),False
2,BandCombineOp,8,double getScale(),False
2,BandCombineOp,9,void setOffset(int offset),False
2,BandCombineOp,10,int getOffset(),False
2,BandCombineOp,11,void setComposite(Composite composite),False
2,BandCombineOp,12,Composite getComposite(),False
2,BandCombineOp,13,void setColorMap(ColorMap colorMap),False
2,BandCombineOp,14,ColorMap getColorMap(),False
2,BandCombineOp,15,void setEdgeAction(EdgeAction edgeAction),False
2,BandCombineOp,16,EdgeAction getEdgeAction(),False
2,BandCombineOp,17,void setRenderingHints(RenderingHints hints),False
2,BandCombineOp,18,RenderingHints getRenderingHints(),True
2,BandCombineOp,19,void setBackground(Color background),False
2,BandCombineOp,20,Color getBackground(),False
3,BandedSampleModel,1,int getNumBands(),False
3,BandedSampleModel,2,"int getSample(int band, int x, int y, int bpp)",False
3,BandedSampleModel,3,int getWidth(),False
3,BandedSampleModel,4,int getHeight(),False
3,BandedSampleModel,5,int getNumDataElements(),False
4,BufferedImage,1,int getWidth(),True
4,BufferedImage,2,int getHeight(),True
4,BufferedImage,3,int getType(),True
4,BufferedImage,4,ColorModel getColorModel(),True
4,BufferedImage,5,WritableRaster getRaster(),True
5,BufferedImageFilter,1,BufferedImageFilter clone(),False
5,BufferedImageFilter,2,"abstract BufferedImage filter(BufferedImage src, BufferedImage dst)",False
5,BufferedImageFilter,3,abstract Object clone(),False
5,BufferedImageFilter,4,"abstract int filter(BufferedImage src, int[] x, int[] y)",False
5,BufferedImageFilter,5,"abstract int[] filter(BufferedImage src, int[] pixels)",False
6,BufferStrategy,1,int getBufferCount(),False
6,BufferStrategy,2,java.awt.image.BufferedImage getDrawGraphics(),False
6,BufferStrategy,3,void releaseAllBuffers(),False
6,BufferStrategy,4,void dispose(),True
6,BufferStrategy,5,"void setSize(int width, int height)",False
7,ByteLookupTable,1,int[] getLUT(),False
7,ByteLookupTable,2,void setLUT(int[] lut),False
7,ByteLookupTable,3,int[] getLUT(int[] lut),False
7,ByteLookupTable,4,"void setLUT(int[] lut, int start, int length)",False
7,ByteLookupTable,5,int getPixel(int pixel),False
8,ColorConvertOp,1,"BufferedImage filter(BufferedImage src, BufferedImage dst)",True
8,ColorConvertOp,2,ColorSpace getColorSpace(),False
8,ColorConvertOp,3,RenderingHints getRenderingHints(),True
8,ColorConvertOp,4,void setColorSpace(ColorSpace cs),False
8,ColorConvertOp,5,void setRenderingHints(RenderingHints rh),False
9,ColorModel,1,int getRed(int pixel),True
9,ColorModel,2,int getGreen(int pixel),True
9,ColorModel,3,int getBlue(int pixel),True
9,ColorModel,4,int getAlpha(int pixel),True
9,ColorModel,5,int getRGBdefault(int color),False
10,ComponentColorModel,1,int getPixelSize(),False
10,ComponentColorModel,2,int getRed(int pixel),True
10,ComponentColorModel,3,int getGreen(int pixel),True
10,ComponentColorModel,4,int getBlue(int pixel),True
10,ComponentColorModel,5,int getAlpha(int pixel),True
11,ComponentSampleModel,1,int getSampleSize(int band),True
11,ComponentSampleModel,2,int getNumBands(),False
11,ComponentSampleModel,3,"int getSample(int x, int y, int band)",False
11,ComponentSampleModel,4,int getTransferType(),False
11,ComponentSampleModel,5,int getPixelStride(),True
11,ComponentSampleModel,6,int getWidth(),False
11,ComponentSampleModel,7,int getHeight(),False
11,ComponentSampleModel,8,int getType(),False
11,ComponentSampleModel,9,ColorModel getColorModel(),False
11,ComponentSampleModel,10,WritableRaster getRaster(),False
12,ConvolveOp,1,"BufferedImage filter(BufferedImage src, BufferedImage dst)",True
12,ConvolveOp,2,ConvolveOp setEdgeAction(int action),False
12,ConvolveOp,3,"ConvolveOp setPreOffset(int x, int y)",False
12,ConvolveOp,4,"ConvolveOp setPostOffset(int x, int y)",False
12,ConvolveOp,5,"ConvolveOp setRGBConvolveKernel(float kernel[], int kernelWidth, int kernelHeight, int kernelAnchorX, int kernelAnchorY)",False
12,ConvolveOp,6,"ConvolveOp setAlphaConvolveKernel(float kernel[], int kernelWidth, int kernelHeight, int kernelAnchorX, int kernelAnchorY)",False
12,ConvolveOp,7,ConvolveOp setEdgeActionRGB(int action),False
12,ConvolveOp,8,ConvolveOp setEdgeActionAlpha(int action),False
12,ConvolveOp,9,"ConvolveOp setPreOffsetRGB(int x, int y)",False
12,ConvolveOp,10,"ConvolveOp setPostOffsetRGB(int x, int y)",False
12,ConvolveOp,11,"ConvolveOp setPreOffsetAlpha(int x, int y)",False
12,ConvolveOp,12,"ConvolveOp setPostOffsetAlpha(int x, int y)",False
13,CropImageFilter,1,int getCropHeight(),False
13,CropImageFilter,2,int getCropWidth(),False
13,CropImageFilter,3,int getCropX(),False
13,CropImageFilter,4,int getCropY(),False
13,CropImageFilter,5,"void setCrop(int x, int y, int width, int height)",False
14,DataBuffer,1,int getSize(),True
14,DataBuffer,2,"int getElem(int bank, int i)",True
14,DataBuffer,3,"void setElem(int bank, int i, int val)",True
14,DataBuffer,4,int getNumBanks(),True
14,DataBuffer,5,int getWidth(),False
14,DataBuffer,6,int getHeight(),False
14,DataBuffer,7,int getSampleSize(),False
14,DataBuffer,8,int getNumDataElements(),False
14,DataBuffer,9,int getDataType(),True
14,DataBuffer,10,int getNumBands(),False
14,DataBuffer,11,int getNumRows(),False
14,DataBuffer,12,int getNumCols(),False
14,DataBuffer,13,int getNumComponents(),False
14,DataBuffer,14,int getNumDataElementsPerBand(),False
14,DataBuffer,15,int getNumDataElementsPerPixel(),False
14,DataBuffer,16,int getNumDataElementsPerComponent(),False
14,DataBuffer,17,int getNumDataElementsPerRow(),False
14,DataBuffer,18,int getNumDataElementsPerComponent(),False
14,DataBuffer,19,int getNumDataElementsPerBank(),False
14,DataBuffer,20,int getNumDataElementsPerComponent(),False
15,DataBufferByte,1,int getSize(),False
15,DataBufferByte,2,"byte getElem(int bank, int i)",False
15,DataBufferByte,3,"void setElem(int bank, int i, byte val)",False
15,DataBufferByte,4,"void setData(int bank, byte[] data)",False
15,DataBufferByte,5,byte[] getData(int bank),True
16,DataBufferDouble,1,"double getElementDouble(int band, int i)",False
16,DataBufferDouble,2,"void setElementDouble(int band, int i, double value)",False
16,DataBufferDouble,3,int getSize(),False
16,DataBufferDouble,4,double[] getData(),True
16,DataBufferDouble,5,void setData(double[] data),False
17,DataBufferFloat,1,int getSize(),False
17,DataBufferFloat,2,float getElem(int i),False
17,DataBufferFloat,3,"void setElem(int i, float val)",False
17,DataBufferFloat,4,void setData(float[] data),False
17,DataBufferFloat,5,float[] getData(),True
18,DataBufferInt,1,getElem(int i),False
18,DataBufferInt,2,"setElem(int i, int val)",False
18,DataBufferInt,3,getSize(),False
18,DataBufferInt,4,getWidth(),False
18,DataBufferInt,5,getHeight(),False
19,DataBufferShort,1,"int getElem(int band, int i)",True
19,DataBufferShort,2,"void setElem(int band, int i, int val)",True
19,DataBufferShort,3,int getSize(),False
19,DataBufferShort,4,int getWidth(),False
19,DataBufferShort,5,int getHeight(),False
19,DataBufferShort,6,int getSampleSize(),False
19,DataBufferShort,7,int getNumBands(),False
19,DataBufferShort,8,int getDataType(),False
19,DataBufferShort,9,int getOffset(),False
19,DataBufferShort,10,int getNumDataPoints(),False
19,DataBufferShort,11,int getDataBuffer(),False
19,DataBufferShort,12,int getDataBuffer(int band),False
19,DataBufferShort,13,"int getDataBuffer(int x, int y)",False
19,DataBufferShort,14,"int getDataBuffer(int x, int y, int band)",False
19,DataBufferShort,15,"int getDataBuffer(int band, int start, int length)",False
19,DataBufferShort,16,"int getDataBuffer(int start, int length)",False
19,DataBufferShort,17,"int getDataBuffer(int x, int y, int width, int height)",False
19,DataBufferShort,18,"int getDataBuffer(int x, int y, int width, int height, int band)",False
19,DataBufferShort,19,"int getDataBuffer(int x, int y, int width, int height, int band, int start, int length)",False
19,DataBufferShort,20,"int getDataBuffer(int x, int y, int width, int height, int start, int length)",False
20,DataBufferUShort,1,"int getElem(int band, int i)",True
20,DataBufferUShort,2,"void setElem(int band, int i, int val)",True
20,DataBufferUShort,3,int getSize(),False
20,DataBufferUShort,4,int getNumBands(),False
20,DataBufferUShort,5,int getWidth(),False
20,DataBufferUShort,6,int getHeight(),False
20,DataBufferUShort,7,int getSampleSize(),False
20,DataBufferUShort,8,int getDataType(),False
20,DataBufferUShort,9,int getNumDataElements(),False
20,DataBufferUShort,10,int getNumBands(),False
20,DataBufferUShort,11,int getNumDataElements(),False
20,DataBufferUShort,12,int getWidth(),False
20,DataBufferUShort,13,int getHeight(),False
20,DataBufferUShort,14,int getSampleSize(),False
20,DataBufferUShort,15,int getDataType(),False
20,DataBufferUShort,16,int getNumDataElements(),False
20,DataBufferUShort,17,int getNumBands(),False
20,DataBufferUShort,18,int getNumDataElements(),False
20,DataBufferUShort,19,int getWidth(),False
20,DataBufferUShort,20,int getHeight(),False
20,DataBufferUShort,21,int getSampleSize(),False
20,DataBufferUShort,22,int getDataType(),False
20,DataBufferUShort,23,int getNumDataElements(),False
20,DataBufferUShort,24,int getNumBands(),False
20,DataBufferUShort,25,int getNumDataElements(),False
21,DirectColorModel,1,int getPixelSize(),False
21,DirectColorModel,2,int getRed(int pixel),True
21,DirectColorModel,3,int getGreen(int pixel),True
21,DirectColorModel,4,int getBlue(int pixel),True
21,DirectColorModel,5,int getAlpha(int pixel),True
22,FilteredImageSource,1,int getWidth(ImageFilter filter),False
22,FilteredImageSource,2,int getHeight(ImageFilter filter),False
22,FilteredImageSource,3,ImageFilter getImageFilter(),False
22,FilteredImageSource,4,Image getImage(ImageFilter filter),False
22,FilteredImageSource,5,Image getSource(),False
23,ImageFilter,1,ImageFilter getSourceFilters(),False
23,ImageFilter,2,ImageFilter getTargetFilters(),False
23,ImageFilter,3,void setFilter(ImageFilter filter),False
23,ImageFilter,4,"void setFilter(ImageFilter filter, int target)",False
23,ImageFilter,5,"void setFilter(ImageFilter filter, int source, int target)",False
24,IndexColorModel,1,int getPixelSize(),False
24,IndexColorModel,2,int getRedSize(),False
24,IndexColorModel,3,int getGreenSize(),False
24,IndexColorModel,4,int getBlueSize(),False
24,IndexColorModel,5,int getAlphaSize(),False
25,Kernel,1,float[] getKernelElements(),False
25,Kernel,2,int getHeight(),True
25,Kernel,3,int getWidth(),True
25,Kernel,4,void setKernelElements(float[] kernel),False
25,Kernel,5,"void setSize(int width, int height)",False
26,LookupOp,1,"BufferedImage filter(BufferedImage src, BufferedImage dst)",True
26,LookupOp,2,void setLookupTable(LookupTable lt),False
26,LookupOp,3,LookupTable getLookupTable(),False
26,LookupOp,4,"void setPixelInclusion(int minX, int minY, int w, int h)",False
26,LookupOp,5,void setPixelInclusion(Rectangle r),False
27,LookupTable,1,"int[] getPixels(int start, int length, int[] pixels)",False
27,LookupTable,2,"void setPixel(int index, int value)",False
27,LookupTable,3,int getPixel(int index),False
27,LookupTable,4,void reset(),False
27,LookupTable,5,int[] getPixels(),False
28,MemoryImageSource,1,"MemoryImageSource(int width, int height, int[] pixels, int offset, int scanSize)",False
28,MemoryImageSource,2,int getWidth(),False
28,MemoryImageSource,3,int getHeight(),False
28,MemoryImageSource,4,"int getPixel(int x, int y)",False
28,MemoryImageSource,5,"int[] getPixels(int x, int y, int w, int h)",False
29,MultiPixelPackedSampleModel,1,int getSampleSize(int band),True
29,MultiPixelPackedSampleModel,2,int getNumBands(),False
29,MultiPixelPackedSampleModel,3,int getPixelStride(),False
29,MultiPixelPackedSampleModel,4,int getTransferType(),True
29,MultiPixelPackedSampleModel,5,int getBandOffset(int band),False
30,PackedColorModel,1,int getPixelSize(),False
30,PackedColorModel,2,int getRed(int pixel),False
30,PackedColorModel,3,int getGreen(int pixel),False
30,PackedColorModel,4,int getBlue(int pixel),False
30,PackedColorModel,5,int getAlpha(int pixel),False
31,PixelGrabber,1,"int getPixel(int x, int y)",False
31,PixelGrabber,2,"int getPixelPacked(int x, int y)",False
31,PixelGrabber,3,"int getPixelUnpacked(int x, int y)",False
31,PixelGrabber,4,"int getPixel(int x, int y, int[] pixel)",False
31,PixelGrabber,5,"int getPixelPacked(int x, int y, int[] pixel)",False
31,PixelGrabber,6,"int getPixelUnpacked(int x, int y, int[] pixel)",False
31,PixelGrabber,7,"int getPixel(int x, int y, int[] pixel, int offset, int length)",False
31,PixelGrabber,8,"int getPixelPacked(int x, int y, int[] pixel, int offset, int length)",False
31,PixelGrabber,9,"int getPixelUnpacked(int x, int y, int[] pixel, int offset, int length)",False
31,PixelGrabber,10,"int getPixel(int x, int y, int[] pixel, int offset)",False
31,PixelGrabber,11,"int getPixelPacked(int x, int y, int[] pixel, int offset)",False
31,PixelGrabber,12,"int getPixelUnpacked(int x, int y, int[] pixel, int offset)",False
32,PixelInterleavedSampleModel,1,int getWidth(),False
32,PixelInterleavedSampleModel,2,int getHeight(),False
32,PixelInterleavedSampleModel,3,int getNumDataElements(),False
32,PixelInterleavedSampleModel,4,int getPixelStride(),False
32,PixelInterleavedSampleModel,5,int getMinimumBand(),False
32,PixelInterleavedSampleModel,6,int getMaximumBand(),False
32,PixelInterleavedSampleModel,7,int getSampleSize(int band),False
32,PixelInterleavedSampleModel,8,int getBandOffset(int band),False
32,PixelInterleavedSampleModel,9,int getTransferType(int band),False
32,PixelInterleavedSampleModel,10,int getNumBands(),False
32,PixelInterleavedSampleModel,11,int getDataType(),False
32,PixelInterleavedSampleModel,12,int getComponentSize(int band),False
32,PixelInterleavedSampleModel,13,int getComponentSize(),False
32,PixelInterleavedSampleModel,14,int getNumComponents(),False
32,PixelInterleavedSampleModel,15,int getMinimumPixelValue(),False
32,PixelInterleavedSampleModel,16,int getMaximumPixelValue(),False
32,PixelInterleavedSampleModel,17,"int getPixel(int x, int y, int[] pixels)",False
32,PixelInterleavedSampleModel,18,"int getPixel(int x, int y)",False
