ClassName,Method,Return Type,Description,Full Description
Delegate,get_codebase(Object self),String,Returns the codebase for object reference provided.,"

get_codebase
public String get_codebase(Object self)
Returns the codebase for object reference provided.

Parameters:
self - the object reference whose codebase needs to be returned.
Returns:
the codebase as a space delimited list of url strings or
 null if none.


"
InputStream,read_abstract_interface(),Object,Unmarshal the value object or a suitable stub object.,"

read_abstract_interface
public Object read_abstract_interface()
Unmarshal the value object or a suitable stub object.

Returns:
ORB runtime returns the value object or a suitable stub object.


"
InputStream,read_abstract_interface(Class clz),Object,Unmarshal the class object or the stub class corresponding to the passed type.,"

read_abstract_interface
public Object read_abstract_interface(Class clz)
Unmarshal the class object or the stub class corresponding to the passed type.

Parameters:
clz - is the Class object for the stub class which corresponds to
 the type that is statically expected.
Returns:
ORB runtime returns the value object or a suitable stub object.


"
InputStream,read_value(),Serializable,Unmarshalls a value type from the input stream.,"

read_value
public Serializable read_value()
Unmarshalls a value type from the input stream.

Returns:
the value type unmarshalled from the input stream


"
InputStream,read_value(BoxedValueHelper factory),Serializable,Unmarshalls a value type from the input stream.,"

read_value
public Serializable read_value(BoxedValueHelper factory)
Unmarshalls a value type from the input stream.

Parameters:
factory - is the instance fo the helper to be used for
 unmarshalling the value type
Returns:
the value unmarshalled from the input stream


"
InputStream,read_value(Class clz),Serializable,Unmarshalls a value type from the input stream.,"

read_value
public Serializable read_value(Class clz)
Unmarshalls a value type from the input stream.

Parameters:
clz - is the declared type of the value to be unmarshalled
Returns:
the value unmarshalled from the input stream


"
InputStream,read_value(Serializable value),Serializable,Unmarshalls a value type from the input stream.,"

read_value
public Serializable read_value(Serializable value)
Unmarshalls a value type from the input stream.

Parameters:
value - is an uninitialized value which is added to the orb's
 indirection table before calling Streamable._read() or
 CustomMarshal.unmarshal() to unmarshal the value.
Returns:
value type unmarshalled from the input stream


"
InputStream,read_value(String rep_id),Serializable,Unmarshalls a value type from the input stream.,"

read_value
public Serializable read_value(String rep_id)
Unmarshalls a value type from the input stream.

Parameters:
rep_id - identifies the type of the value to be unmarshalled
Returns:
value type unmarshalled from the input stream


"
ObjectImpl,_get_codebase(),String,Returns the codebase for this object reference.,"

_get_codebase
public String _get_codebase()
Returns the codebase for this object reference.

Returns:
the codebase as a space delimited list of url strings or
 null if none.


"
OutputStream,write_abstract_interface(Object obj),void,Marshals a value object or a stub object.,"

write_abstract_interface
public void write_abstract_interface(Object obj)
Marshals a value object or a stub object.

Parameters:
obj - the actual value object to marshal or the stub to be marshalled


"
OutputStream,write_value(Serializable value),void,Marshals a value type to the output stream.,"

write_value
public void write_value(Serializable value)
Marshals a value type to the output stream.

Parameters:
value - is the acutal value to write


"
OutputStream,"write_value(Serializable value, BoxedValueHelper factory)",void,Marshals a value type to the output stream.,"

write_value
public void write_value(Serializable value,
                        BoxedValueHelper factory)
Marshals a value type to the output stream.

Parameters:
value - is the acutal value to write
factory - is the instance of the helper to be used for marshaling
 the boxed value


"
OutputStream,"write_value(Serializable value, Class clz)",void,Marshals a value type to the output stream.,"

write_value
public void write_value(Serializable value,
                        Class clz)
Marshals a value type to the output stream.

Parameters:
value - is the acutal value to write
clz - is the declared type of the value to be marshaled


"
OutputStream,"write_value(Serializable value, String repository_id)",void,Marshals a value type to the output stream.,"

write_value
public void write_value(Serializable value,
                        String repository_id)
Marshals a value type to the output stream.

Parameters:
value - is the acutal value to write
repository_id - identifies the type of the value type to
 be marshaled


"
