Sample Number,ClassName,Snippet Number,Method,Exist
0,DescriptorSupport,1,boolean isReadOnly(String attributeName),False
0,DescriptorSupport,2,String getDescription(String attributeName),False
0,DescriptorSupport,3,String[] getAttributeNames(),False
0,DescriptorSupport,4,String[] getConstructorArgumentNames(),False
0,DescriptorSupport,5,String getConstructorArgumentDescription(String argumentName),False
1,ModelMBeanAttributeInfo,1,String getName(),False
1,ModelMBeanAttributeInfo,2,String getDescription(),False
1,ModelMBeanAttributeInfo,3,boolean isReadable(),False
1,ModelMBeanAttributeInfo,4,boolean isWritable(),False
1,ModelMBeanAttributeInfo,5,boolean isIs(),False
1,ModelMBeanAttributeInfo,6,String getType(),False
1,ModelMBeanAttributeInfo,7,String getDescription(),False
1,ModelMBeanAttributeInfo,8,String getDefaultValue(),False
1,ModelMBeanAttributeInfo,9,boolean isHidden(),False
1,ModelMBeanAttributeInfo,10,boolean isHidden(),False
1,ModelMBeanAttributeInfo,11,boolean isHidden(),False
1,ModelMBeanAttributeInfo,12,boolean isHidden(),False
1,ModelMBeanAttributeInfo,13,boolean isHidden(),False
1,ModelMBeanAttributeInfo,14,boolean isHidden(),False
1,ModelMBeanAttributeInfo,15,boolean isHidden(),False
1,ModelMBeanAttributeInfo,16,boolean isHidden(),False
1,ModelMBeanAttributeInfo,17,boolean isHidden(),False
1,ModelMBeanAttributeInfo,18,boolean isHidden(),False
1,ModelMBeanAttributeInfo,19,boolean isHidden(),False
1,ModelMBeanAttributeInfo,20,boolean isHidden(),False
2,ModelMBeanConstructorInfo,1,"ModelMBeanConstructorInfo(String name, String signature, String[] exceptions, String doc)",False
2,ModelMBeanConstructorInfo,2,String getName(),False
2,ModelMBeanConstructorInfo,3,String getSignature(),False
2,ModelMBeanConstructorInfo,4,String[] getExceptions(),False
2,ModelMBeanConstructorInfo,5,String getDescription(),False
3,ModelMBeanInfoSupport,1,getAttributeList(),False
3,ModelMBeanInfoSupport,2,getConstructors(),False
3,ModelMBeanInfoSupport,3,getOperations(),False
3,ModelMBeanInfoSupport,4,getNotifications(),False
3,ModelMBeanInfoSupport,5,getDescription(),False
4,ModelMBeanNotificationInfo,1,void setSequenceNumber(long sequenceNumber),False
4,ModelMBeanNotificationInfo,2,long getSequenceNumber(),False
4,ModelMBeanNotificationInfo,3,void setTimestamp(Date timestamp),False
4,ModelMBeanNotificationInfo,4,Date getTimestamp(),False
4,ModelMBeanNotificationInfo,5,void setMessage(String message),False
4,ModelMBeanNotificationInfo,6,String getMessage(),False
4,ModelMBeanNotificationInfo,7,void setType(String type),False
4,ModelMBeanNotificationInfo,8,String getType(),False
4,ModelMBeanNotificationInfo,9,void setSource(ObjectName source),False
4,ModelMBeanNotificationInfo,10,ObjectName getSource(),False
4,ModelMBeanNotificationInfo,11,void setUserData(Object userData),False
4,ModelMBeanNotificationInfo,12,Object getUserData(),False
4,ModelMBeanNotificationInfo,13,void setNotificationFilter(NotificationFilter notificationFilter),False
4,ModelMBeanNotificationInfo,14,NotificationFilter getNotificationFilter(),False
4,ModelMBeanNotificationInfo,15,void setListener(NotificationListener listener),False
4,ModelMBeanNotificationInfo,16,NotificationListener getListener(),False
4,ModelMBeanNotificationInfo,17,void setDeliveryType(int deliveryType),False
4,ModelMBeanNotificationInfo,18,int getDeliveryType(),False
4,ModelMBeanNotificationInfo,19,void setDeadNotify(boolean deadNotify),False
4,ModelMBeanNotificationInfo,20,boolean isDeadNotify(),False
4,ModelMBeanNotificationInfo,21,void setPassivationDelay(long passivationDelay),False
4,ModelMBeanNotificationInfo,22,long getPassivationDelay(),False
4,ModelMBeanNotificationInfo,23,void setPassivationSupported(boolean passivationSupported),False
4,ModelMBeanNotificationInfo,24,boolean isPassivationSupported(),False
4,ModelMBeanNotificationInfo,25,void setPassivationID(String passivationID),False
4,ModelMBeanNotificationInfo,26,String getPassivationID(),False
4,ModelMBeanNotificationInfo,27,void setPassivationSupported(boolean passivationSupported),False
4,ModelMBeanNotificationInfo,28,boolean isPassivationSupported(),False
4,ModelMBeanNotificationInfo,29,void setPassivationID(String passivationID),False
4,ModelMBeanNotificationInfo,30,String getPassivationID(),False
4,ModelMBeanNotificationInfo,31,void setPassivationSupported(boolean passivationSupported),False
4,ModelMBeanNotificationInfo,32,boolean isPassivationSupported(),False
5,ModelMBeanOperationInfo,1,String getDescription(),False
5,ModelMBeanOperationInfo,2,String getName(),False
5,ModelMBeanOperationInfo,3,String[] getSignature(),False
5,ModelMBeanOperationInfo,4,boolean isQuery(),False
5,ModelMBeanOperationInfo,5,boolean isAction(),False
6,RequiredModelMBean,1,void setObjectName(ObjectName name),False
6,RequiredModelMBean,2,void setNotCompliant(),False
6,RequiredModelMBean,3,void setCompliant(),False
6,RequiredModelMBean,4,void setAttribute(Attribute attribute),True
6,RequiredModelMBean,5,void setAttributes(AttributeList attributes),False
