Sample Number,ClassName,Snippet Number,Method,Exist
0,SyncFactory,1,SyncProvider createNewProvider(),False
0,SyncFactory,2,SyncProvider createProvider(String url),False
0,SyncFactory,3,SyncResolver createSyncResolver(),False
0,SyncFactory,4,SyncFactory getInstance(),False
0,SyncFactory,5,Collection<String> getRegisteredProviders(),False
1,SyncProvider,1,int supportsUpdatableView(),True
1,SyncProvider,2,void setDataSource(javax.sql.XADataSource dataSource),False
1,SyncProvider,3,javax.sql.RowSetReader getRowSetReader(),False
1,SyncProvider,4,javax.sql.RowSetWriter getRowSetWriter(),False
1,SyncProvider,5,javax.sql.rowset.spi.SyncProvider getProvider(),False
