Sample Number,ClassName,Snippet Number,Method,Exist
1,InputStream,1,double read_double(),False
1,InputStream,2,float read_float(),False
1,InputStream,3,long read_ulong(),False
1,InputStream,4,long read_longlong(),False
1,InputStream,5,String read_string(),False
2,ObjectImpl,1,org.omg.CORBA.TypeCode _type(),False
2,ObjectImpl,2,void _read(org.omg.CORBA.portable.InputStream istream),False
2,ObjectImpl,3,void _write(org.omg.CORBA.portable.OutputStream ostream),False
2,ObjectImpl,4,void _release(),False
2,ObjectImpl,5,void _add_ref(int how_many),False
