Sample Number,ClassName,Snippet Number,Method,Exist,Description
0,ParameterBlock,1,boolean add(E e),False,NULL
0,ParameterBlock,2,"void add(int index, E element)",False,NULL
0,ParameterBlock,3,boolean addAll(Collection<? extends E> c),False,NULL
0,ParameterBlock,4,"boolean addAll(int index, Collection<? extends E> c)",False,NULL
0,ParameterBlock,5,void clear(),False,NULL
1,RenderableImageOp,1,"BufferedImage filter(BufferedImage src, BufferedImage dest)",False,NULL
1,RenderableImageOp,2,RenderingHints getRenderingHints(),False,NULL
1,RenderableImageOp,3,void setRenderingHints(RenderingHints rh),False,NULL
1,RenderableImageOp,4,Rectangle2D getBounds2D(BufferedImage src),False,NULL
1,RenderableImageOp,5,Rectangle getBounds(BufferedImage src),False,NULL
1,RenderableImageOp,6,RenderingHints getRenderingHints(),False,NULL
1,RenderableImageOp,7,void setRenderingHints(RenderingHints rh),False,NULL
1,RenderableImageOp,8,Rectangle2D getBounds2D(BufferedImage src),False,NULL
1,RenderableImageOp,9,Rectangle getBounds(BufferedImage src),False,NULL
1,RenderableImageOp,10,RenderingHints getRenderingHints(),False,NULL
1,RenderableImageOp,11,void setRenderingHints(RenderingHints rh),False,NULL
1,RenderableImageOp,12,Rectangle2D getBounds2D(BufferedImage src),False,NULL
1,RenderableImageOp,13,Rectangle getBounds(BufferedImage src),False,NULL
1,RenderableImageOp,14,RenderingHints getRenderingHints(),False,NULL
1,RenderableImageOp,15,void setRenderingHints(RenderingHints rh),False,NULL
2,RenderableImageProducer,1,"BufferedImage createBufferedImage(int width, int height, int imageType)",False,NULL
2,RenderableImageProducer,2,void startProduction(ImageObserver observer),False,NULL
2,RenderableImageProducer,3,void requestTopDownLeftRightResend(ImageObserver observer),False,NULL
2,RenderableImageProducer,4,void requestRefresh(ImageObserver observer),False,NULL
2,RenderableImageProducer,5,void requestAbort(ImageObserver observer),False,NULL
2,RenderableImageProducer,6,"void setPixels(int x, int y, int w, int h, ColorModel cm, int[] pixels, int off, int scansize)",False,NULL
2,RenderableImageProducer,7,"void setPixels(int x, int y, int w, int h, ColorModel cm, int[] pixels, int off)",False,NULL
2,RenderableImageProducer,8,"void setPixels(int x, int y, int w, int h, ColorModel cm, byte[] pixels, int off, int scansize)",False,NULL
2,RenderableImageProducer,9,"void setPixels(int x, int y, int w, int h, ColorModel cm, byte[] pixels, int off)",False,NULL
2,RenderableImageProducer,10,"void setPixels(int x, int y, int w, int h, ColorModel cm, short[] pixels, int off, int scansize)",False,NULL
2,RenderableImageProducer,11,"void setPixels(int x, int y, int w, int h, ColorModel cm, short[] pixels, int off)",False,NULL
2,RenderableImageProducer,12,"void setPixels(int x, int y, int w, int h, ColorModel cm, int[] pixels, int off, int scansize, RenderingHints hints)",False,NULL
2,RenderableImageProducer,13,"void setPixels(int x, int y, int w, int h, ColorModel cm, int[] pixels, int off, RenderingHints hints)",False,NULL
2,RenderableImageProducer,14,"void setPixels(int x, int y, int w, int h, ColorModel cm, byte[] pixels, int off, int scansize, RenderingHints hints)",False,NULL
2,RenderableImageProducer,15,"void setPixels(int x, int y, int w, int h, ColorModel cm, byte[] pixels, int off, RenderingHints hints)",False,NULL
2,RenderableImageProducer,16,"void setPixels(int x, int y, int w, int h, ColorModel cm, short[] pixels, int off, int scansize, RenderingHints hints)",False,NULL
2,RenderableImageProducer,17,"void setPixels(int x, int y, int w, int h, ColorModel cm, short[] pixels, int off, RenderingHints hints)",False,NULL
3,RenderContext,1,"void setRenderingHint(RenderingHints.Key key, Object value)",False,NULL
3,RenderContext,2,Object getRenderingHint(RenderingHints.Key key),False,NULL
3,RenderContext,3,void setTransform(AffineTransform tx),True,Sets the current user-to-device AffineTransform contained in the RenderContext to a given transform.
3,RenderContext,4,AffineTransform getTransform(),True,Gets the current user-to-device AffineTransform.
3,RenderContext,5,void setPaint(Paint paint),False,NULL
3,RenderContext,6,Paint getPaint(),False,NULL
3,RenderContext,7,void setClip(Shape clip),False,NULL
3,RenderContext,8,Shape getClip(),False,NULL
3,RenderContext,9,void setRenderingBounds(Rectangle2D bounds),False,NULL
3,RenderContext,10,Rectangle2D getRenderingBounds(),False,NULL
3,RenderContext,11,void setRenderingHints(RenderingHints rh),True,Sets the rendering hints of this RenderContext.
3,RenderContext,12,RenderingHints getRenderingHints(),True,Gets the rendering hints of this RenderContext.
3,RenderContext,13,void setBackground(Paint bg),False,NULL
