Sample Number,ClassName,Snippet Number,Method,Exist
0,AdapterAlreadyExistsHelper,1,void set_adapter_id(int id),False
0,AdapterAlreadyExistsHelper,2,int get_adapter_id(),False
0,AdapterAlreadyExistsHelper,3,void set_adapter_name(String name),False
0,AdapterAlreadyExistsHelper,4,String get_adapter_name(),False
0,AdapterAlreadyExistsHelper,5,void set_adapter_type(String type),False
0,AdapterAlreadyExistsHelper,6,String get_adapter_type(),False
0,AdapterAlreadyExistsHelper,7,void set_adapter_state(int state),False
0,AdapterAlreadyExistsHelper,8,int get_adapter_state(),False
0,AdapterAlreadyExistsHelper,9,void set_adapter_info(String info),False
0,AdapterAlreadyExistsHelper,10,String get_adapter_info(),False
0,AdapterAlreadyExistsHelper,11,void set_adapter_activation_time(long time),False
0,AdapterAlreadyExistsHelper,12,long get_adapter_activation_time(),False
0,AdapterAlreadyExistsHelper,13,void set_adapter_expiration_time(long time),False
0,AdapterAlreadyExistsHelper,14,long get_adapter_expiration_time(),False
0,AdapterAlreadyExistsHelper,15,void set_adapter_lifespan(long lifespan),False
0,AdapterAlreadyExistsHelper,16,long get_adapter_lifespan(),False
0,AdapterAlreadyExistsHelper,17,void set_adapter_resource_id(int id),False
0,AdapterAlreadyExistsHelper,18,int get_adapter_resource_id(),False
0,AdapterAlreadyExistsHelper,19,void set_adapter_resource_name(String name),False
0,AdapterAlreadyExistsHelper,20,String get_adapter_resource_name(),False
0,AdapterAlreadyExistsHelper,21,void set_adapter_resource_type(String type),False
0,AdapterAlreadyExistsHelper,22,String get_adapter_resource_type(),False
0,AdapterAlreadyExistsHelper,23,void set_adapter_resource_state(int state),False
0,AdapterAlreadyExistsHelper,24,int get_adapter_resource_state(),False
0,AdapterAlreadyExistsHelper,25,void set_adapter_resource_info(String info),False
0,AdapterAlreadyExistsHelper,26,String get_adapter_resource_info(),False
0,AdapterAlreadyExistsHelper,27,void set_adapter_resource_activation_time(long time),False
0,AdapterAlreadyExistsHelper,28,long get_adapter_resource_activation_time(),False
0,AdapterAlreadyExistsHelper,29,void set_adapter_resource_expiration_time(long time),False
0,AdapterAlreadyExistsHelper,30,long get_adapter_resource_expiration_time(),False
0,AdapterAlreadyExistsHelper,31,void set_adapter_resource_lifespan(long lifespan),False
0,AdapterAlreadyExistsHelper,32,long get_adapter_resource_lifespan(),False
1,AdapterNonExistentHelper,1,void _duplicate(),False
1,AdapterNonExistentHelper,2,org.omg.CORBA.Object _narrow(java.lang.Class<?> clazz),False
1,AdapterNonExistentHelper,3,org.omg.CORBA.Object _narrow(),False
1,AdapterNonExistentHelper,4,org.omg.CORBA.Object _unchecked_narrow(java.lang.Class<?> clazz),False
1,AdapterNonExistentHelper,5,org.omg.CORBA.Object _unchecked_narrow(),False
2,InvalidPolicyHelper,1,void _set_ID(int id),False
2,InvalidPolicyHelper,2,int _get_ID(),False
2,InvalidPolicyHelper,3,void _set_repositoryID(String id),False
2,InvalidPolicyHelper,4,String _get_repositoryID(),False
2,InvalidPolicyHelper,5,void _set_type(String type),False
2,InvalidPolicyHelper,6,String _get_type(),False
2,InvalidPolicyHelper,7,void _set_desc(String description),False
2,InvalidPolicyHelper,8,String _get_desc(),False
2,InvalidPolicyHelper,9,void _set_name(String name),False
2,InvalidPolicyHelper,10,String _get_name(),False
2,InvalidPolicyHelper,11,void _set_version(String version),False
2,InvalidPolicyHelper,12,String _get_version(),False
2,InvalidPolicyHelper,13,void _set_vendor(String vendor),False
2,InvalidPolicyHelper,14,String _get_vendor(),False
2,InvalidPolicyHelper,15,void _set_copyright(String copyright),False
2,InvalidPolicyHelper,16,String _get_copyright(),False
2,InvalidPolicyHelper,17,void _set_license(String license),False
2,InvalidPolicyHelper,18,String _get_license(),False
2,InvalidPolicyHelper,19,void _set_url(String url),False
2,InvalidPolicyHelper,20,String _get_url(),False
3,NoServantHelper,1,void _delegate(),False
3,NoServantHelper,2,void _dispatch(),False
3,NoServantHelper,3,void _invoke_servant(),False
3,NoServantHelper,4,void _remove_ref(),False
3,NoServantHelper,5,void _system_id(),False
4,ObjectAlreadyActiveHelper,1,void _raise_already_active(),False
4,ObjectAlreadyActiveHelper,2,void _raise_no_such_object(),False
4,ObjectAlreadyActiveHelper,3,void _raise_not_this_time(),False
