ClassName,Method,Return Type,Description,Full Description
Attributes2Impl,"addAttribute(String uri, String localName, String qName, String type, String value)",void,"Add an attribute to the end of the list, setting its ""specified"" flag to true.","

addAttribute
public void addAttribute(String uri,
                         String localName,
                         String qName,
                         String type,
                         String value)
Add an attribute to the end of the list, setting its
 ""specified"" flag to true.  To set that flag's value
 to false, use setSpecified(int, boolean).

 Unless the attribute type is CDATA, this attribute
 is marked as being declared in the DTD.  To set that flag's value
 to true for CDATA attributes, use setDeclared(int, boolean).

Overrides:
addAttribute in class AttributesImpl
Parameters:
uri - The Namespace URI, or the empty string if
        none is available or Namespace processing is not
        being performed.
localName - The local name, or the empty string if
        Namespace processing is not being performed.
qName - The qualified (prefixed) name, or the empty string
        if qualified names are not available.
type - The attribute type as a string.
value - The attribute value.
See Also:
AttributesImpl.addAttribute(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String)


"
Attributes2Impl,isDeclared(int index),boolean,"Returns the current value of the attribute's ""declared"" flag.","

isDeclared
public boolean isDeclared(int index)
Returns the current value of the attribute's ""declared"" flag.

Specified by:
isDeclared in interface Attributes2
Parameters:
index - The attribute index (zero-based).
Returns:
true if the attribute was declared in the DTD,
          false otherwise.


"
Attributes2Impl,isDeclared(String qName),boolean,"Returns the current value of the attribute's ""declared"" flag.","

isDeclared
public boolean isDeclared(String qName)
Returns the current value of the attribute's ""declared"" flag.

Specified by:
isDeclared in interface Attributes2
Parameters:
qName - The XML qualified (prefixed) name.
Returns:
true if the attribute was declared in the DTD,
          false otherwise.


"
Attributes2Impl,"isDeclared(String uri, String localName)",boolean,"Returns the current value of the attribute's ""declared"" flag.","

isDeclared
public boolean isDeclared(String uri,
                          String localName)
Returns the current value of the attribute's ""declared"" flag.

Specified by:
isDeclared in interface Attributes2
Parameters:
uri - The Namespace URI, or the empty string if
        the name has no Namespace URI.
localName - The attribute's local name.
Returns:
true if the attribute was declared in the DTD,
          false otherwise.


"
Attributes2Impl,isSpecified(int index),boolean,"Returns the current value of an attribute's ""specified"" flag.","

isSpecified
public boolean isSpecified(int index)
Returns the current value of an attribute's ""specified"" flag.

Specified by:
isSpecified in interface Attributes2
Parameters:
index - The attribute index (zero-based).
Returns:
current flag value
Throws:
ArrayIndexOutOfBoundsException - When the
            supplied index does not identify an attribute.


"
Attributes2Impl,isSpecified(String qName),boolean,"Returns the current value of an attribute's ""specified"" flag.","

isSpecified
public boolean isSpecified(String qName)
Returns the current value of an attribute's ""specified"" flag.

Specified by:
isSpecified in interface Attributes2
Parameters:
qName - The XML qualified (prefixed) name.
Returns:
current flag value
Throws:
IllegalArgumentException - When the
            supplied name does not identify an attribute.


"
Attributes2Impl,"isSpecified(String uri, String localName)",boolean,"Returns the current value of an attribute's ""specified"" flag.","

isSpecified
public boolean isSpecified(String uri,
                           String localName)
Returns the current value of an attribute's ""specified"" flag.

Specified by:
isSpecified in interface Attributes2
Parameters:
uri - The Namespace URI, or the empty string if
        the name has no Namespace URI.
localName - The attribute's local name.
Returns:
current flag value
Throws:
IllegalArgumentException - When the
            supplied names do not identify an attribute.


"
Attributes2Impl,removeAttribute(int index),void,Remove an attribute from the list.,"

removeAttribute
public void removeAttribute(int index)
Description copied from class: AttributesImpl
Remove an attribute from the list.

Overrides:
removeAttribute in class AttributesImpl
Parameters:
index - The index of the attribute (zero-based).


"
Attributes2Impl,setAttributes(Attributes atts),void,Copy an entire Attributes object.,"

setAttributes
public void setAttributes(Attributes atts)
Copy an entire Attributes object.  The ""specified"" flags are
 assigned as true, and ""declared"" flags as false (except when
 an attribute's type is not CDATA),
 unless the object is an Attributes2 object.
 In that case those flag values are all copied.

Overrides:
setAttributes in class AttributesImpl
Parameters:
atts - The attributes to copy.
See Also:
AttributesImpl.setAttributes(org.xml.sax.Attributes)


"
Attributes2Impl,"setDeclared(int index, boolean value)",void,"Assign a value to the ""declared"" flag of a specific attribute.","

setDeclared
public void setDeclared(int index,
                        boolean value)
Assign a value to the ""declared"" flag of a specific attribute.
 This is normally needed only for attributes of type CDATA,
 including attributes whose type is changed to or from CDATA.

Parameters:
index - The index of the attribute (zero-based).
value - The desired flag value.
Throws:
ArrayIndexOutOfBoundsException - When the
            supplied index does not identify an attribute.
See Also:
AttributesImpl.setType(int, java.lang.String)


"
Attributes2Impl,"setSpecified(int index, boolean value)",void,"Assign a value to the ""specified"" flag of a specific attribute.","

setSpecified
public void setSpecified(int index,
                         boolean value)
Assign a value to the ""specified"" flag of a specific attribute.
 This is the only way this flag can be cleared, except clearing
 by initialization with the copy constructor.

Parameters:
index - The index of the attribute (zero-based).
value - The desired flag value.
Throws:
ArrayIndexOutOfBoundsException - When the
            supplied index does not identify an attribute.


"
DefaultHandler2,"attributeDecl(String eName, String aName, String type, String mode, String value)",void,Report an attribute type declaration.,"

attributeDecl
public void attributeDecl(String eName,
                          String aName,
                          String type,
                          String mode,
                          String value)
                   throws SAXException
Description copied from interface: DeclHandler
Report an attribute type declaration.

 Only the effective (first) declaration for an attribute will
 be reported.  The type will be one of the strings ""CDATA"",
 ""ID"", ""IDREF"", ""IDREFS"", ""NMTOKEN"", ""NMTOKENS"", ""ENTITY"",
 ""ENTITIES"", a parenthesized token group with
 the separator ""|"" and all whitespace removed, or the word
 ""NOTATION"" followed by a space followed by a parenthesized
 token group with all whitespace removed.
The value will be the value as reported to applications,
 appropriately normalized and with entity and character
 references expanded.  

Specified by:
attributeDecl in interface DeclHandler
Parameters:
eName - The name of the associated element.
aName - The name of the attribute.
type - A string representing the attribute type.
mode - A string representing the attribute defaulting mode
        (""#IMPLIED"", ""#REQUIRED"", or ""#FIXED"") or null if
        none of these applies.
value - A string representing the attribute's default value,
        or null if there is none.
Throws:
SAXException - The application may raise an exception.


"
DefaultHandler2,"comment(char[] ch, int start, int length)",void,Report an XML comment anywhere in the document.,"

comment
public void comment(char[] ch,
                    int start,
                    int length)
             throws SAXException
Description copied from interface: LexicalHandler
Report an XML comment anywhere in the document.

 This callback will be used for comments inside or outside the
 document element, including comments in the external DTD
 subset (if read).  Comments in the DTD must be properly
 nested inside start/endDTD and start/endEntity events (if
 used).

Specified by:
comment in interface LexicalHandler
Parameters:
ch - An array holding the characters in the comment.
start - The starting position in the array.
length - The number of characters to use from the array.
Throws:
SAXException - The application may raise an exception.


"
DefaultHandler2,"elementDecl(String name, String model)",void,Report an element type declaration.,"

elementDecl
public void elementDecl(String name,
                        String model)
                 throws SAXException
Description copied from interface: DeclHandler
Report an element type declaration.

 The content model will consist of the string ""EMPTY"", the
 string ""ANY"", or a parenthesised group, optionally followed
 by an occurrence indicator.  The model will be normalized so
 that all parameter entities are fully resolved and all whitespace
 is removed,and will include the enclosing parentheses.  Other
 normalization (such as removing redundant parentheses or
 simplifying occurrence indicators) is at the discretion of the
 parser.

Specified by:
elementDecl in interface DeclHandler
Parameters:
name - The element type name.
model - The content model as a normalized string.
Throws:
SAXException - The application may raise an exception.


"
DefaultHandler2,endCDATA(),void,Report the end of a CDATA section.,"

endCDATA
public void endCDATA()
              throws SAXException
Description copied from interface: LexicalHandler
Report the end of a CDATA section.

Specified by:
endCDATA in interface LexicalHandler
Throws:
SAXException - The application may raise an exception.
See Also:
LexicalHandler.startCDATA()


"
DefaultHandler2,endDTD(),void,Report the end of DTD declarations.,"

endDTD
public void endDTD()
            throws SAXException
Description copied from interface: LexicalHandler
Report the end of DTD declarations.

 This method is intended to report the end of the
 DOCTYPE declaration; if the document has no DOCTYPE declaration,
 this method will not be invoked.

Specified by:
endDTD in interface LexicalHandler
Throws:
SAXException - The application may raise an exception.
See Also:
LexicalHandler.startDTD(java.lang.String, java.lang.String, java.lang.String)


"
DefaultHandler2,endEntity(String name),void,Report the end of an entity.,"

endEntity
public void endEntity(String name)
               throws SAXException
Description copied from interface: LexicalHandler
Report the end of an entity.

Specified by:
endEntity in interface LexicalHandler
Parameters:
name - The name of the entity that is ending.
Throws:
SAXException - The application may raise an exception.
See Also:
LexicalHandler.startEntity(java.lang.String)


"
DefaultHandler2,"externalEntityDecl(String name, String publicId, String systemId)",void,Report a parsed external entity declaration.,"

externalEntityDecl
public void externalEntityDecl(String name,
                               String publicId,
                               String systemId)
                        throws SAXException
Description copied from interface: DeclHandler
Report a parsed external entity declaration.

 Only the effective (first) declaration for each entity
 will be reported.
If the system identifier is a URL, the parser must resolve it
 fully before passing it to the application.

Specified by:
externalEntityDecl in interface DeclHandler
Parameters:
name - The name of the entity.  If it is a parameter
        entity, the name will begin with '%'.
publicId - The entity's public identifier, or null if none
        was given.
systemId - The entity's system identifier.
Throws:
SAXException - The application may raise an exception.
See Also:
DeclHandler.internalEntityDecl(java.lang.String, java.lang.String), 
DTDHandler.unparsedEntityDecl(java.lang.String, java.lang.String, java.lang.String, java.lang.String)


"
DefaultHandler2,"getExternalSubset(String name, String baseURI)",InputSource,"Tells the parser that if no external subset has been declared in the document text, none should be used.","

getExternalSubset
public InputSource getExternalSubset(String name,
                                     String baseURI)
                              throws SAXException,
                                     IOException
Tells the parser that if no external subset has been declared
 in the document text, none should be used.

Specified by:
getExternalSubset in interface EntityResolver2
Parameters:
name - Identifies the document root element.  This name comes
  from a DOCTYPE declaration (where available) or from the actual
  root element.
baseURI - The document's base URI, serving as an additional
  hint for selecting the external subset.  This is always an absolute
  URI, unless it is null because the XMLReader was given an InputSource
  without one.
Returns:
An InputSource object describing the new external subset
  to be used by the parser, or null to indicate that no external
  subset is provided.
Throws:
SAXException - Any SAX exception, possibly wrapping
  another exception.
IOException - Probably indicating a failure to create
  a new InputStream or Reader, or an illegal URL.


"
DefaultHandler2,"internalEntityDecl(String name, String value)",void,Report an internal entity declaration.,"

internalEntityDecl
public void internalEntityDecl(String name,
                               String value)
                        throws SAXException
Description copied from interface: DeclHandler
Report an internal entity declaration.

 Only the effective (first) declaration for each entity
 will be reported.  All parameter entities in the value
 will be expanded, but general entities will not.

Specified by:
internalEntityDecl in interface DeclHandler
Parameters:
name - The name of the entity.  If it is a parameter
        entity, the name will begin with '%'.
value - The replacement text of the entity.
Throws:
SAXException - The application may raise an exception.
See Also:
DeclHandler.externalEntityDecl(java.lang.String, java.lang.String, java.lang.String), 
DTDHandler.unparsedEntityDecl(java.lang.String, java.lang.String, java.lang.String, java.lang.String)


"
