Sample Number,ClassName,Snippet Number,Method,Exist
0,AttributeListImpl,1,String getName(int i),True
0,AttributeListImpl,2,String getType(int i),True
0,AttributeListImpl,3,String getType(String name),True
0,AttributeListImpl,4,String getValue(int i),True
0,AttributeListImpl,5,String getValue(String name),True
1,AttributesImpl,1,void clear(),True
1,AttributesImpl,2,int getIndex(String qName),True
1,AttributesImpl,3,String getLocalName(int index),True
1,AttributesImpl,4,String getQName(int index),True
1,AttributesImpl,5,String getType(int index),True
2,DefaultHandler,1,"void startElement(String uri, String localName, String qName, Attributes attributes)",True
2,DefaultHandler,2,"void endElement(String uri, String localName, String qName)",True
2,DefaultHandler,3,"void characters(char[] ch, int start, int length)",True
2,DefaultHandler,4,void startDocument(),True
2,DefaultHandler,5,void endDocument(),True
4,NamespaceSupport,1,"void declarePrefix(String prefix, String uri)",False
4,NamespaceSupport,2,String getURI(String prefix),True
4,NamespaceSupport,3,Enumeration getPrefixes(),True
4,NamespaceSupport,4,void pushContext(),True
4,NamespaceSupport,5,void popContext(),True
5,ParserAdapter,1,void startDocument(),True
5,ParserAdapter,2,void endDocument(),True
5,ParserAdapter,3,"void startElement(String uri, String localName, String qName, Attributes attributes)",False
5,ParserAdapter,4,"void endElement(String uri, String localName, String qName)",False
5,ParserAdapter,5,"void characters(char[] ch, int start, int length)",True
6,ParserFactory,1,XMLReader createXMLReader(),False
6,ParserFactory,2,void setNamespaceAware(boolean awareness),False
6,ParserFactory,3,"void setFeature(String name, boolean value)",False
6,ParserFactory,4,"void setProperty(String name, Object value)",False
6,ParserFactory,5,ContentHandler createContentHandler(),False
7,XMLFilterImpl,1,void startDocument(),True
7,XMLFilterImpl,2,void endDocument(),True
7,XMLFilterImpl,3,"void startPrefixMapping(String prefix, String uri)",True
7,XMLFilterImpl,4,void endPrefixMapping(String prefix),True
7,XMLFilterImpl,5,"void startElement(String uri, String localName, String qName, Attributes attributes)",True
8,XMLReaderAdapter,1,ContentHandler getContentHandler(),False
8,XMLReaderAdapter,2,DTDHandler getDTDHandler(),False
8,XMLReaderAdapter,3,EntityResolver getEntityResolver(),False
8,XMLReaderAdapter,4,ErrorHandler getErrorHandler(),False
8,XMLReaderAdapter,5,final void setContentHandler(ContentHandler handler),False
9,XMLReaderFactory,1,XMLReader createXMLReader(),True
9,XMLReaderFactory,2,XMLReader createXMLReader(String className),True
9,XMLReaderFactory,3,XMLReader createXMLReader(boolean namespaceAware),False
9,XMLReaderFactory,4,"XMLReader createXMLReader(boolean namespaceAware, boolean validating)",False
9,XMLReaderFactory,5,"XMLReader createXMLReader(String className, boolean namespaceAware, boolean validating)",False
