Sample Number,ClassName,Snippet Number,Method,Exist
0,Attribute,1,Object getValue(),True
0,Attribute,2,void setValue(Object value),False
0,Attribute,3,String getName(),True
0,Attribute,4,boolean isReadable(),False
0,Attribute,5,boolean isWritable(),False
1,AttributeChangeNotification,1,String getAttributeName(),True
1,AttributeChangeNotification,2,Attribute getValue(),False
1,AttributeChangeNotification,3,AttributeChangeNotification clone(),False
1,AttributeChangeNotification,4,String toString(),False
1,AttributeChangeNotification,5,void setSequenceNumber(long newValue),False
2,AttributeChangeNotificationFilter,1,void enableAttribute(String attribute),True
2,AttributeChangeNotificationFilter,2,void disableAttribute(String attribute),True
2,AttributeChangeNotificationFilter,3,String[] getEnabledAttributes(),False
2,AttributeChangeNotificationFilter,4,boolean isAttributeEnabled(String attribute),False
2,AttributeChangeNotificationFilter,5,void setAttributeName(String attribute),False
3,AttributeList,1,boolean contains(Attribute attribute),False
3,AttributeList,2,int size(),False
3,AttributeList,3,void add(Attribute attribute),True
3,AttributeList,4,boolean remove(Attribute attribute),False
3,AttributeList,5,Attribute get(int index),False
4,AttributeValueExp,1,boolean isNumericValue(),False
4,AttributeValueExp,2,String getUnits(),False
4,AttributeValueExp,3,boolean isInstanceOf(String className),False
4,AttributeValueExp,4,long longValue(),False
4,AttributeValueExp,5,double doubleValue(),False
5,DefaultLoaderRepository,1,MBeanClassLoaderRepository class_loader_repository(),False
5,DefaultLoaderRepository,2,DefaultLoaderRepository new_instance(),False
5,DefaultLoaderRepository,3,String[] load_all_class_names(),False
5,DefaultLoaderRepository,4,ClassLoader load_class(String className),False
5,DefaultLoaderRepository,5,"void addMBean(ClassLoader loader, ObjectName name)",False
6,ImmutableDescriptor,1,java.lang.Object getField(String fieldName),False
6,ImmutableDescriptor,2,String[] getFieldNames(),True
6,ImmutableDescriptor,3,String[] getFields(),True
6,ImmutableDescriptor,4,java.lang.String[] legalValues(String name),False
6,ImmutableDescriptor,5,"boolean isValid(String name, Object value)",False
7,JMX,1,"void registerMBean(Object object, ObjectName name)",False
7,JMX,2,void unregisterMBean(ObjectName name),False
7,JMX,3,MBeanInfo getMBeanInfo(ObjectName name),False
7,JMX,4,"List<ObjectName> queryNames(ObjectName name, QueryExp query)",False
7,JMX,5,"void addNotificationListener(ObjectName name, NotificationListener listener, NotificationFilter filter, Object handback)",False
8,MBeanAttributeInfo,1,String getName(),False
8,MBeanAttributeInfo,2,String getDescription(),False
8,MBeanAttributeInfo,3,boolean isReadable(),True
8,MBeanAttributeInfo,4,boolean isWritable(),True
8,MBeanAttributeInfo,5,boolean isIs(),True
9,MBeanConstructorInfo,1,String getDescription(),False
9,MBeanConstructorInfo,2,int getDescriptor(),False
9,MBeanConstructorInfo,3,MBeanParameterInfo[] getSignature(),True
9,MBeanConstructorInfo,4,String toString(),True
9,MBeanConstructorInfo,5,boolean equals(Object obj),True
10,MBeanFeatureInfo,1,String getDescription(),True
10,MBeanFeatureInfo,2,String getName(),True
10,MBeanFeatureInfo,3,String getType(),False
10,MBeanFeatureInfo,4,boolean isReadable(),False
10,MBeanFeatureInfo,5,boolean isWritable(),False
11,MBeanInfo,1,String getDescription(),True
11,MBeanInfo,2,String getClassName(),True
11,MBeanInfo,3,MBeanAttributeInfo[] getAttributes(),True
11,MBeanInfo,4,MBeanConstructorInfo[] getConstructors(),True
11,MBeanInfo,5,MBeanNotificationInfo[] getNotifications(),True
12,MBeanNotificationInfo,1,String[] getNotifTypes(),True
12,MBeanNotificationInfo,2,String getDescription(),False
12,MBeanNotificationInfo,3,String getName(),False
12,MBeanNotificationInfo,4,boolean isDescriptor(),False
12,MBeanNotificationInfo,5,String[] getNotifTypes(),True
13,MBeanOperationInfo,1,String getDescription(),False
13,MBeanOperationInfo,2,int getImpact(),True
13,MBeanOperationInfo,3,String getName(),False
13,MBeanOperationInfo,4,MBeanParameterInfo[] getSignature(),True
13,MBeanOperationInfo,5,String getReturnType(),True
14,MBeanParameterInfo,1,String getDescription(),False
14,MBeanParameterInfo,2,String getName(),False
14,MBeanParameterInfo,3,int hashCode(),True
14,MBeanParameterInfo,4,boolean equals(Object obj),True
14,MBeanParameterInfo,5,String toString(),True
15,MBeanPermission,1,void add(javax.management.MBeanPermission.Permission permission),False
15,MBeanPermission,2,void remove(javax.management.MBeanPermission.Permission permission),False
15,MBeanPermission,3,boolean implies(javax.management.MBeanPermission.Permission permission),False
15,MBeanPermission,4,java.lang.String getActions(),False
15,MBeanPermission,5,java.lang.String getClassName(),False
16,MBeanServerBuilder,1,"MBeanServer newMBeanServer(java.lang.String defaultDomain, javax.management.MBeanServer outer, javax.management.MBeanServerDelegate delegate)",False
16,MBeanServerBuilder,2,MBeanServerDelegate newMBeanServerDelegate(),True
