Sample Number,ClassName,Snippet Number,Method,Exist
0,AuthPermission,1,boolean implies(Permission p),False
0,AuthPermission,2,boolean equals(Object obj),False
0,AuthPermission,3,String getActions(),False
0,AuthPermission,4,String getName(),False
0,AuthPermission,5,int hashCode(),False
1,Policy,1,boolean implies(Subject subject),False
1,Policy,2,boolean equals(Object object),False
1,Policy,3,int hashCode(),False
1,Policy,4,String toString(),False
1,Policy,5,Enumeration elements(),False
2,PrivateCredentialPermission,1,boolean implies(Subject subject),False
2,PrivateCredentialPermission,2,boolean equals(Object obj),True
2,PrivateCredentialPermission,3,int hashCode(),True
2,PrivateCredentialPermission,4,Action getActions(),False
2,PrivateCredentialPermission,5,String getPrincipal(),False
3,Subject,1,Principal getPrincipal(),False
3,Subject,2,boolean implies(Subject other),False
3,Subject,3,boolean isReadOnly(),True
3,Subject,4,boolean getPublicCredentials(),False
3,Subject,5,boolean getPrivateCredentials(),False
4,SubjectDomainCombiner,1,SubjectDomainCombiner getDefaultCombiner(),False
4,SubjectDomainCombiner,2,SubjectDomainCombiner(),False
4,SubjectDomainCombiner,3,SubjectDomainCombiner(boolean allowEmpty),False
4,SubjectDomainCombiner,4,"SubjectDomainCombiner(boolean allowEmpty, boolean allowUnresolved)",False
4,SubjectDomainCombiner,5,"List<Object> combine(List<? extends Principal> principals, List<? extends Principal> credentials)",False
4,SubjectDomainCombiner,6,"List<Object> combine(List<? extends Principal> principals, List<? extends Principal> credentials, List<? extends Principal> constraints)",False
4,SubjectDomainCombiner,7,"List<Object> combine(List<? extends Principal> principals, List<? extends Principal> credentials, List<? extends Principal> constraints, List<? extends Principal> delegates)",False
4,SubjectDomainCombiner,8,"List<Object> combine(List<? extends Principal> principals, List<? extends Principal> credentials, List<? extends Principal> constraints, List<? extends Principal> delegates, List<? extends Principal> target)",False
4,SubjectDomainCombiner,9,"List<Object> combine(List<? extends Principal> principals, List<? extends Principal> credentials, List<? extends Principal> constraints, List<? extends Principal> delegates, List<? extends Principal> target, List<? extends Principal> roles)",False
4,SubjectDomainCombiner,10,"List<Object> combine(List<? extends Principal> principals, List<? extends Principal> credentials, List<? extends Principal> constraints, List<? extends Principal> delegates, List<? extends Principal> target, List<? extends Principal> roles, List<? extends Principal> permissions)",False
