Sample Number,ClassName,Snippet Number,Method,Exist
0,HttpContext,1,Object getAttribute(String name),True
0,HttpContext,2,String getMethod(),False
0,HttpContext,3,String getPathInfo(),False
0,HttpContext,4,String getQueryString(),False
0,HttpContext,5,String getRequestURI(),False
1,HttpExchange,1,InputStream getRequestContent(),False
1,HttpExchange,2,OutputStream getResponseContent(),False
1,HttpExchange,3,"Map<String, List<String>> getRequestHeaders()",False
1,HttpExchange,4,"Map<String, List<String>> getResponseHeaders()",False
1,HttpExchange,5,void setStatus(int status),True
2,HttpHandler,1,HttpExchange find(long exchangeId),False
2,HttpHandler,2,void close(long exchangeId),False
2,HttpHandler,3,void remove(long exchangeId),False
2,HttpHandler,4,"void register(long exchangeId, HttpExchange exchange)",False
2,HttpHandler,5,void unregister(long exchangeId),False
