Sample Number,ClassName,Snippet Number,Method,Exist
0,AlreadyBoundHelper,1,boolean isAlreadyBound(org.omg.CORBA.Object obj),False
0,AlreadyBoundHelper,2,org.omg.CORBA.Object resolve_str(String name),False
0,AlreadyBoundHelper,3,org.omg.CORBA.Object resolve_compound_str(String name),False
0,AlreadyBoundHelper,4,org.omg.CORBA.Object resolve_n_components(String[] name),False
0,AlreadyBoundHelper,5,org.omg.CORBA.Object resolve_compound_n_components(String[] name),False
1,AlreadyBoundHolder,1,void set_already_bound(boolean already_bound),False
1,AlreadyBoundHolder,2,boolean get_already_bound(),False
1,AlreadyBoundHolder,3,AlreadyBoundHolder(),False
1,AlreadyBoundHolder,4,AlreadyBoundHolder(boolean already_bound),False
1,AlreadyBoundHolder,5,void _read(org.omg.CORBA.portable.InputStream istream),False
1,AlreadyBoundHolder,6,void _write(org.omg.CORBA.portable.OutputStream ostream),False
2,CannotProceedHelper,1,void systemException(org.omg.CosNaming.NamingContextPackage.CannotProceed ex),False
2,CannotProceedHelper,2,void noResource(org.omg.CosNaming.NamingContextPackage.CannotProceed ex),False
2,CannotProceedHelper,3,void notEmpty(org.omg.CosNaming.NamingContextPackage.CannotProceed ex),False
2,CannotProceedHelper,4,void invalidName(org.omg.CosNaming.NamingContextPackage.CannotProceed ex),False
2,CannotProceedHelper,5,void alreadyBound(org.omg.CosNaming.NamingContextPackage.CannotProceed ex),False
3,CannotProceedHolder,1,void set_context_list(org.omg.CosNaming.NamingContextPackage.NameComponent[] nc),False
3,CannotProceedHolder,2,org.omg.CosNaming.NamingContextPackage.NameComponent[] get_context_list(),False
3,CannotProceedHolder,3,void set_rest_of_name(org.omg.CosNaming.NamingContextPackage.NameComponent[] nc),False
3,CannotProceedHolder,4,org.omg.CosNaming.NamingContextPackage.NameComponent[] get_rest_of_name(),False
3,CannotProceedHolder,5,void set_proceed_value(boolean val),False
3,CannotProceedHolder,6,boolean get_proceed_value(),False
4,InvalidNameHelper,1,boolean isInvalidName(String name),False
4,InvalidNameHelper,2,String toValidName(String name),False
4,InvalidNameHelper,3,String toValidURL(String url),False
4,InvalidNameHelper,4,String toValidId(String id),False
4,InvalidNameHelper,5,String toValidAddress(String address),False
5,InvalidNameHolder,1,void _set(InvalidNameHolder value),False
5,InvalidNameHolder,2,InvalidNameHolder _get(),False
5,InvalidNameHolder,3,void _set_value(String value),False
5,InvalidNameHolder,4,String _get_value(),False
5,InvalidNameHolder,5,void _set_form(String form),False
5,InvalidNameHolder,6,String _get_form(),False
6,NotEmptyHelper,1,boolean isEmpty(),False
6,NotEmptyHelper,2,int size(),False
6,NotEmptyHelper,3,boolean contains(Object o),False
6,NotEmptyHelper,4,Object[] toArray(),False
6,NotEmptyHelper,5,boolean add(E e),False
7,NotEmptyHolder,1,void finalize(),False
7,NotEmptyHolder,2,boolean equals(Object obj),False
7,NotEmptyHolder,3,int hashCode(),False
7,NotEmptyHolder,4,String toString(),False
7,NotEmptyHolder,5,void notify(),False
8,NotFoundHelper,1,void throwNotFound(),False
8,NotFoundHelper,2,void throwAlreadyBound(),False
8,NotFoundHelper,3,void throwInvalidName(),False
8,NotFoundHelper,4,void throwNotEmpty(),False
8,NotFoundHelper,5,void throwNoPermission(),False
9,NotFoundHolder,1,void _set_value(int value),False
9,NotFoundHolder,2,int _get_value(),False
9,NotFoundHolder,3,void _duplicate(),False
9,NotFoundHolder,4,void _disconnect(),False
9,NotFoundHolder,5,boolean _non_existent(),False
10,NotFoundReason,1,String getName(),False
10,NotFoundReason,2,String getReason(),False
10,NotFoundReason,3,String toString(),False
10,NotFoundReason,4,void printStackTrace(),False
10,NotFoundReason,5,void printStackTrace(PrintStream s),False
10,NotFoundReason,6,void printStackTrace(PrintWriter w),False
11,NotFoundReasonHelper,1,String toString(int reason),False
11,NotFoundReasonHelper,2,int fromString(String reason),False
11,NotFoundReasonHelper,3,String[] getAllReasons(),False
11,NotFoundReasonHelper,4,boolean isValidReason(int reason),False
11,NotFoundReasonHelper,5,String getDefaultReason(int minorCode),False
12,NotFoundReasonHolder,1,void _set_not_found_reason(short reason),False
12,NotFoundReasonHolder,2,short _get_not_found_reason(),False
12,NotFoundReasonHolder,3,void _set_minor_code(short code),False
12,NotFoundReasonHolder,4,short _get_minor_code(),False
12,NotFoundReasonHolder,5,void _set_completion_status(short status),False
12,NotFoundReasonHolder,6,short _get_completion_status(),False
