Sample Number,ClassName,Snippet Number,Method,Exist
1,AreaAveragingScaleFilter,1,void setHints(Map hints),False
1,AreaAveragingScaleFilter,2,Map getHints(),False
1,AreaAveragingScaleFilter,3,"void setPixels(int x, int y, int w, int h, ColorModel model, int[] pixels, int off, int scansize)",True
1,AreaAveragingScaleFilter,4,"int[] getPixels(int x, int y, int w, int h, int[] pixels, int off, int scansize)",False
1,AreaAveragingScaleFilter,5,void setProperties(Hashtable props),False
2,BandCombineOp,1,"RenderedImage filter(RenderedImage src, RenderedImage dest)",False
2,BandCombineOp,2,int getNumSources(),False
2,BandCombineOp,3,int getNumDestBands(),False
2,BandCombineOp,4,int[] getMatrix(),False
2,BandCombineOp,5,"Point2D getPoint2D(Point2D srcPt, Point2D destPt)",True
3,BandedSampleModel,1,int getNumBands(),False
3,BandedSampleModel,2,int[] getSampleSize(),False
3,BandedSampleModel,3,int[] getBandOffsets(),False
3,BandedSampleModel,4,int[] getBankIndices(),False
3,BandedSampleModel,5,int[] getScanlineStride(),False
4,BufferedImage,1,int getWidth(),True
4,BufferedImage,2,int getHeight(),True
4,BufferedImage,3,"void setRGB(int x, int y, int rgb)",True
4,BufferedImage,4,"int getRGB(int x, int y)",True
4,BufferedImage,5,"BufferedImage getSubimage(int x, int y, int w, int h)",True
5,BufferedImageFilter,1,"void setRGB(int x, int y, int rgb)",False
5,BufferedImageFilter,2,"int getRGB(int x, int y)",False
5,BufferedImageFilter,3,void createGraphics(),False
5,BufferedImageFilter,4,"BufferedImage getSubimage(int x, int y, int w, int h)",False
5,BufferedImageFilter,5,int getWidth(),False
6,BufferStrategy,1,void show(),True
6,BufferStrategy,2,Graphics getDrawGraphics(),True
6,BufferStrategy,3,boolean contentsLost(),True
6,BufferStrategy,4,boolean contentsRestored(),True
6,BufferStrategy,5,void dispose(),True
7,ByteLookupTable,1,byte[][] getTable(),True
7,ByteLookupTable,2,int getOffset(),False
7,ByteLookupTable,3,int getNCorners(),False
7,ByteLookupTable,4,int getNEntries(),False
7,ByteLookupTable,5,ByteLookupTable createInverse(),False
8,ColorConvertOp,1,"BufferedImage filter(BufferedImage src, BufferedImage dest)",True
8,ColorConvertOp,2,ColorSpace getDestinationCS(),False
8,ColorConvertOp,3,ColorModel getDestinationCM(),False
8,ColorConvertOp,4,"int filterRGB(int x, int y, int rgb)",False
