Sample Number,ClassName,Snippet Number,Method,Exist
1,Transformer,1,"void setOutputProperty(String name, String value)",True
1,Transformer,2,"void transform(Source source, Result result)",True
1,Transformer,3,Templates newTemplates(Source source),False
1,Transformer,4,"void setParameter(String name, String value)",False
1,Transformer,5,void setErrorListener(ErrorListener listener),True
2,TransformerFactory,1,TransformerFactory newInstance(),True
2,TransformerFactory,2,Transformer newTransformer(),True
2,TransformerFactory,3,Templates newTemplates(),False
2,TransformerFactory,4,Source newSource(),False
2,TransformerFactory,5,Result newResult(),False
