Sample Number,ClassName,Snippet Number,Method,Exist
0,MBeanServerNotificationFilter,1,boolean matches(Notification n),False
0,MBeanServerNotificationFilter,2,void setFilter(String filter),False
0,MBeanServerNotificationFilter,3,String getFilter(),False
0,MBeanServerNotificationFilter,4,void setType(String type),False
0,MBeanServerNotificationFilter,5,String getType(),False
1,RelationNotification,1,long getSequenceNumber(),False
1,RelationNotification,2,String getType(),False
1,RelationNotification,3,String getSource(),False
1,RelationNotification,4,long getTimeStamp(),False
1,RelationNotification,5,String getUserData(),False
2,RelationService,1,RelationService createRelationService(String[] roleNames),False
2,RelationService,2,void addRole(String roleName),False
2,RelationService,3,"void addRole(String roleName, String[] attributes)",False
2,RelationService,4,void removeRole(String roleName),False
2,RelationService,5,"void addRelation(String roleName1, String roleName2, String[] attributes)",False
2,RelationService,6,"void removeRelation(String roleName1, String roleName2)",False
2,RelationService,7,String[] getRelations(String roleName),False
2,RelationService,8,String[] getRoles(String relationType),False
2,RelationService,9,String[] getRelationTypes(),False
2,RelationService,10,String[] getAttributes(String roleName),False
2,RelationService,11,String[] getAttributeTypes(String roleName),False
2,RelationService,12,"void addAttribute(String roleName, String attributeName, String attributeType, String attributeValue)",False
2,RelationService,13,"void removeAttribute(String roleName, String attributeName)",False
2,RelationService,14,"String getAttributeValue(String roleName, String attributeName)",False
2,RelationService,15,"String getAttributeType(String roleName, String attributeName)",False
2,RelationService,16,String[] getAllRoles(),False
2,RelationService,17,String[] getAllRelations(),False
2,RelationService,18,String[] getAllAttributeTypes(),False
2,RelationService,19,String[] getAllAttributeValues(),False
2,RelationService,20,void clear(),False
3,RelationSupport,1,boolean add(RelationType type),False
3,RelationSupport,2,boolean remove(RelationType type),False
3,RelationSupport,3,boolean contains(RelationType type),False
3,RelationSupport,4,RelationType[] getRelationTypes(),False
3,RelationSupport,5,Relation getRelation(RelationType type),False
4,RelationTypeSupport,1,boolean isEmpty(),False
4,RelationTypeSupport,2,int size(),False
4,RelationTypeSupport,3,boolean contains(Object o),False
4,RelationTypeSupport,4,boolean add(RelationType rt),False
4,RelationTypeSupport,5,boolean remove(Object o),False
5,Role,1,boolean equals(Object obj),False
5,Role,2,int hashCode(),False
5,Role,3,String getRoleName(),True
5,Role,4,String getRoleValue(),False
5,Role,5,String toString(),True
6,RoleInfo,1,String getRoleName(),False
6,RoleInfo,2,String getRoleType(),False
6,RoleInfo,3,String getDescription(),True
6,RoleInfo,4,String[] getAttributeNames(),False
6,RoleInfo,5,Object getAttributeValue(String name),False
7,RoleList,1,boolean add(Role r),False
7,RoleList,2,boolean remove(Role r),False
7,RoleList,3,boolean contains(Role r),False
7,RoleList,4,int size(),False
7,RoleList,5,boolean isEmpty(),False
8,RoleResult,1,boolean add(Role r),False
8,RoleResult,2,boolean addAll(Collection<? extends Role> c),False
8,RoleResult,3,void clear(),False
8,RoleResult,4,boolean contains(Object o),False
8,RoleResult,5,boolean containsAll(Collection<?> c),False
8,RoleResult,6,boolean equals(Object o),False
8,RoleResult,7,int hashCode(),False
8,RoleResult,8,boolean isEmpty(),False
8,RoleResult,9,Iterator<Role> iterator(),False
8,RoleResult,10,boolean remove(Object o),False
8,RoleResult,11,boolean removeAll(Collection<?> c),False
8,RoleResult,12,boolean retainAll(Collection<?> c),False
8,RoleResult,13,int size(),False
8,RoleResult,14,Object[] toArray(),False
8,RoleResult,15,<T> T[] toArray(T[] a),False
8,RoleResult,16,"List<Role> subList(int fromIndex, int toIndex)",False
9,RoleStatus,1,RoleStatus getRoleStatus(),False
9,RoleStatus,2,String getRoleName(),False
9,RoleStatus,3,String getRoleValue(),False
9,RoleStatus,4,String getRoleDescription(),False
9,RoleStatus,5,String getRoleSyntax(),False
10,RoleUnresolved,1,boolean addRole(String role),False
10,RoleUnresolved,2,boolean removeRole(String role),False
10,RoleUnresolved,3,boolean containsRole(String role),False
10,RoleUnresolved,4,String[] getRoles(),False
10,RoleUnresolved,5,boolean isEmpty(),False
11,RoleUnresolvedList,1,boolean add(Role r),False
11,RoleUnresolvedList,2,"void add(int index, Role element)",False
11,RoleUnresolvedList,3,boolean addAll(Collection<? extends Role> c),False
11,RoleUnresolvedList,4,"boolean addAll(int index, Collection<? extends Role> c)",False
11,RoleUnresolvedList,5,void clear(),False
