Sample Number,ClassName,Snippet Number,Method,Exist
0,Chromaticity,1,Chromaticity getChromaticity(),False
0,Chromaticity,2,Chromaticity setChromaticity(Chromaticity chromaticity),False
0,Chromaticity,3,Chromaticity getValue(),False
0,Chromaticity,4,Chromaticity getDefaultValue(),False
0,Chromaticity,5,Chromaticity getSupportedValues(),False
1,ColorSupported,1,boolean isColorSupported(),False
1,ColorSupported,2,boolean isMonochromeSupported(),False
1,ColorSupported,3,boolean isDuplexSupported(),False
1,ColorSupported,4,boolean isStapleSupported(),False
1,ColorSupported,5,boolean isCopiesSupported(),False
2,Compression,1,CompressionAttribute(float value),False
2,Compression,2,float getValue(),False
2,Compression,3,String valueToString(float value),False
2,Compression,4,float stringToValue(String s),False
2,Compression,5,Set<Categories> getSupportedCategories(),False
3,Copies,1,int getValue(),False
3,Copies,2,Copies setValue(int copies),False
3,Copies,3,Copies getSupportedValues(),False
3,Copies,4,boolean isSupported(int copies),False
3,Copies,5,Copies getResolvedValue(),False
4,CopiesSupported,1,int getValue(),False
4,CopiesSupported,2,int getMinimumValue(),False
4,CopiesSupported,3,int getMaximumValue(),False
4,CopiesSupported,4,boolean isSupported(int copies),False
4,CopiesSupported,5,boolean equals(Object object),True
5,DateTimeAtCompleted,1,DateTimeAtCompleted getDateTimeAtCompleted(),False
5,DateTimeAtCompleted,2,DateTimeAtCompleted setDateTimeAtCompleted(Calendar dateTimeAtCompleted),False
5,DateTimeAtCompleted,3,DateTimeAtCompleted setDateTimeAtCompleted(Date dateTimeAtCompleted),False
5,DateTimeAtCompleted,4,DateTimeAtCompleted setDateTimeAtCompleted(long dateTimeAtCompleted),False
5,DateTimeAtCompleted,5,DateTimeAtCompleted setDateTimeAtCompleted(String dateTimeAtCompleted),False
6,DateTimeAtCreation,1,DateTimeAtCreation getDateTimeAtCreation(),False
6,DateTimeAtCreation,2,DateTimeAtCreation getDateTimeAtCreation(Locale locale),False
6,DateTimeAtCreation,3,DateTimeAtCreation getDateTimeAtCreation(TimeZone timeZone),False
6,DateTimeAtCreation,4,"DateTimeAtCreation getDateTimeAtCreation(Locale locale, TimeZone timeZone)",False
6,DateTimeAtCreation,5,DateTimeAtCreation getDateTimeAtCreation(Calendar calendar),False
7,DateTimeAtProcessing,1,DateTimeAtProcessing getDateTimeAtProcessing(),False
7,DateTimeAtProcessing,2,DateTimeAtProcessing setDateTimeAtProcessing(DateTime dt),False
7,DateTimeAtProcessing,3,"DateTimeAtProcessing setDateTimeAtProcessing(Date date, Time time)",False
7,DateTimeAtProcessing,4,DateTimeAtProcessing setDateTimeAtProcessing(Calendar calendar),False
7,DateTimeAtProcessing,5,DateTimeAtProcessing setDateTimeAtProcessing(long milliseconds),False
8,Destination,1,setValue(String value),False
8,Destination,2,getValue(),False
8,Destination,3,getDestination(),False
8,Destination,4,getClass(),False
8,Destination,5,hashCode(),False
9,DialogTypeSelection,1,DialogTypeSelection(String value),False
9,DialogTypeSelection,2,String getValue(),False
9,DialogTypeSelection,3,int hashCode(),False
9,DialogTypeSelection,4,boolean equals(Object obj),False
9,DialogTypeSelection,5,String toString(),False
10,DocumentName,1,String getName(),True
10,DocumentName,2,int getLength(),False
10,DocumentName,3,char charAt(int index),False
10,DocumentName,4,"CharSequence subSequence(int start, int end)",False
10,DocumentName,5,boolean equals(Object obj),True
11,Fidelity,1,Fidelity getFidelity(),False
11,Fidelity,2,Fidelity getFidelity(int fidelity),False
11,Fidelity,3,int getValue(),False
11,Fidelity,4,boolean equals(Object obj),False
11,Fidelity,5,int hashCode(),False
12,Finishings,1,Finishings getFinishings(),False
12,Finishings,2,Finishings setFinishings(Finishings finishings),False
12,Finishings,3,Finishings getDefaultFinishings(),False
12,Finishings,4,Finishings getSupportedFinishings(),False
12,Finishings,5,Finishings getUnsupportedFinishings(),False
13,JobHoldUntil,1,getTime(),False
13,JobHoldUntil,2,getDate(),False
13,JobHoldUntil,3,getDateTime(),False
13,JobHoldUntil,4,getDuration(),False
13,JobHoldUntil,5,getInstant(),False
14,JobImpressions,1,int getNumberOfImpressions(),False
14,JobImpressions,2,Impression getImpression(int index),False
14,JobImpressions,3,int getImpressionCount(),False
14,JobImpressions,4,Impression getImpression(int index),False
14,JobImpressions,5,Impression getSelectedImpression(),False
15,JobImpressionsCompleted,1,int getValue(),False
15,JobImpressionsCompleted,2,boolean equals(Object obj),True
15,JobImpressionsCompleted,3,int hashCode(),False
15,JobImpressionsCompleted,4,String toString(),False
15,JobImpressionsCompleted,5,Class<?> getClass(),False
16,JobImpressionsSupported,1,boolean getValue(),False
16,JobImpressionsSupported,2,Set<Category> getCategories(),False
16,JobImpressionsSupported,3,boolean isNameSupported(String name),False
16,JobImpressionsSupported,4,boolean isValueSupported(Object value),False
16,JobImpressionsSupported,5,boolean isWritable(),False
17,JobKOctets,1,int getValue(),False
17,JobKOctets,2,int getKOctets(),False
17,JobKOctets,3,boolean equals(Object obj),True
17,JobKOctets,4,int hashCode(),False
17,JobKOctets,5,String toString(),False
18,JobKOctetsProcessed,1,long getValue(),False
18,JobKOctetsProcessed,2,int compareTo(JobKOctetsProcessed jobKOctetsProcessed),False
18,JobKOctetsProcessed,3,boolean equals(Object object),True
18,JobKOctetsProcessed,4,int hashCode(),False
18,JobKOctetsProcessed,5,String toString(),False
19,JobKOctetsSupported,1,int getValue(),False
19,JobKOctetsSupported,2,boolean equals(Object obj),True
19,JobKOctetsSupported,3,int hashCode(),False
19,JobKOctetsSupported,4,String toString(),False
19,JobKOctetsSupported,5,Class<?> getClass(),False
20,JobMediaSheets,1,int getNumberOfSheets(),False
20,JobMediaSheets,2,MediaSheet getMediaSheet(int index),False
20,JobMediaSheets,3,int size(),False
20,JobMediaSheets,4,boolean isEmpty(),False
20,JobMediaSheets,5,boolean contains(Object o),False
21,JobMediaSheetsCompleted,1,int getValue(),False
21,JobMediaSheetsCompleted,2,boolean equals(Object obj),True
21,JobMediaSheetsCompleted,3,int hashCode(),False
21,JobMediaSheetsCompleted,4,String toString(),False
21,JobMediaSheetsCompleted,5,Class<?> getClass(),False
22,JobMediaSheetsSupported,1,int getValue(),False
