Sample Number,ClassName,Snippet Number,Method,Exist
0,BufferedInputStream,1,int read(),True
0,BufferedInputStream,2,"int read(byte[] b, int off, int len)",True
0,BufferedInputStream,3,long skip(long n),True
0,BufferedInputStream,4,int available(),True
0,BufferedInputStream,5,void close(),True
1,BufferedOutputStream,1,void flush(),True
1,BufferedOutputStream,2,void write(int b),True
1,BufferedOutputStream,3,"void write(byte[] b, int off, int len)",True
1,BufferedOutputStream,4,void write(byte[] b),False
1,BufferedOutputStream,5,void close(),False
3,BufferedWriter,1,void write(String str),False
3,BufferedWriter,2,void newLine(),True
3,BufferedWriter,3,void flush(),True
3,BufferedWriter,4,void close(),True
3,BufferedWriter,5,void append(CharSequence csq),False
4,ByteArrayInputStream,1,int read(byte[] b),False
4,ByteArrayInputStream,2,"int read(byte[] b, int off, int len)",True
4,ByteArrayInputStream,3,int available(),True
4,ByteArrayInputStream,4,long skip(long n),True
4,ByteArrayInputStream,5,void reset(),True
5,ByteArrayOutputStream,1,void write(int b),True
5,ByteArrayOutputStream,2,"void write(byte[] b, int off, int len)",True
5,ByteArrayOutputStream,3,void writeTo(OutputStream out),True
5,ByteArrayOutputStream,4,void reset(),True
5,ByteArrayOutputStream,5,byte[] toByteArray(),True
6,CharArrayReader,1,int read(),True
6,CharArrayReader,2,"int read(char[] cbuf, int off, int len)",True
6,CharArrayReader,3,void close(),True
6,CharArrayReader,4,boolean markSupported(),True
6,CharArrayReader,5,void mark(int readAheadLimit),True
7,CharArrayWriter,1,"void write(char[] cbuf, int off, int len)",True
7,CharArrayWriter,2,void write(int c),True
7,CharArrayWriter,3,void append(char c),False
7,CharArrayWriter,4,"void append(CharSequence csq, int start, int end)",False
7,CharArrayWriter,5,void append(CharSequence csq),False
8,Console,1,String readLine(),True
8,Console,2,char[] readPassword(),True
8,Console,3,PrintWriter writer(),True
8,Console,4,Reader reader(),True
8,Console,5,Console console(),False
10,DataOutputStream,1,void write(int b),True
10,DataOutputStream,2,void write(byte[] b),False
10,DataOutputStream,3,void writeBoolean(boolean v),True
10,DataOutputStream,4,void writeDouble(double v),True
10,DataOutputStream,5,void writeChar(int v),True
11,File,1,boolean createNewFile(),True
11,File,2,boolean delete(),True
11,File,3,String[] list(),True
11,File,4,boolean mkdir(),True
11,File,5,long length(),True
12,FileDescriptor,1,FileDescriptor getFileDescriptor(),False
12,FileDescriptor,2,void sync(),True
12,FileDescriptor,3,boolean valid(),True
12,FileDescriptor,4,boolean validInterruptibly() throws ClosedByInterruptException,False
12,FileDescriptor,5,int getInt$(),False
14,FileOutputStream,1,void write(int b),True
14,FileOutputStream,2,void write(byte[] b),True
14,FileOutputStream,3,"void write(byte[] b, int off, int len)",True
14,FileOutputStream,4,void close(),True
14,FileOutputStream,5,void flush(),False
15,FilePermission,1,boolean implies(java.security.Permission permission),False
15,FilePermission,2,String getActions(),True
15,FilePermission,3,boolean equals(Object obj),True
15,FilePermission,4,int hashCode(),True
15,FilePermission,5,String toString(),False
16,FileReader,1,int read(),False
16,FileReader,2,"int read(char[] cbuf, int off, int len)",False
16,FileReader,3,long skip(long n),False
16,FileReader,4,void close(),False
16,FileReader,5,void mark(int readAheadLimit),False
17,FileWriter,1,void write(String str),False
17,FileWriter,2,void flush(),False
17,FileWriter,3,void close(),False
17,FileWriter,4,"void write(char[] cbuf, int off, int len)",False
17,FileWriter,5,void write(int c),False
19,FilterOutputStream,1,void write(int b),True
19,FilterOutputStream,2,void write(byte[] b),True
19,FilterOutputStream,3,"void write(byte[] b, int off, int len)",True
19,FilterOutputStream,4,void flush(),True
19,FilterOutputStream,5,void close(),True
20,FilterReader,1,int read(),True
20,FilterReader,2,"int read(char[] cbuf, int off, int len)",True
20,FilterReader,3,boolean ready(),True
20,FilterReader,4,long skip(long n),True
20,FilterReader,5,void mark(int readAheadLimit),True
21,FilterWriter,1,void write(int c),True
21,FilterWriter,2,void write(char[] cbuf),False
21,FilterWriter,3,void write(String str),False
21,FilterWriter,4,"void write(String str, int off, int len)",True
21,FilterWriter,5,"void write(char[] cbuf, int off, int len)",True
22,InputStream,1,int read(),True
22,InputStream,2,int read(byte[] b),True
22,InputStream,3,long skip(long n),True
22,InputStream,4,int available(),True
22,InputStream,5,void close(),True
23,InputStreamReader,1,int read(),True
23,InputStreamReader,2,int read(char[] cbuf),False
23,InputStreamReader,3,String getEncoding(),True
23,InputStreamReader,4,void close(),True
23,InputStreamReader,5,void mark(int readAheadLimit),False
24,LineNumberInputStream,1,int read(),True
24,LineNumberInputStream,2,"int read(byte[] b, int off, int len)",True
24,LineNumberInputStream,3,int available(),True
24,LineNumberInputStream,4,long skip(long n),True
24,LineNumberInputStream,5,void mark(int readlimit),True
25,LineNumberReader,1,int getLineNumber(),True
25,LineNumberReader,2,String readLine(),True
25,LineNumberReader,3,void setLineNumber(int lineNumber),True
25,LineNumberReader,4,String readLine(long limit),False
25,LineNumberReader,5,boolean markSupported(),False
26,ObjectInputStream,1,Object readObject(),True
26,ObjectInputStream,2,int available(),True
26,ObjectInputStream,3,void defaultReadObject(),True
26,ObjectInputStream,4,boolean readBoolean(),True
26,ObjectInputStream,5,char readChar(),True
27,ObjectInputStream.GetField,1,boolean defaulted(String name),True
27,ObjectInputStream.GetField,2,"byte get(String name, byte defaultValue)",True
27,ObjectInputStream.GetField,3,"char get(String name, char defaultValue)",True
27,ObjectInputStream.GetField,4,"double get(String name, double defaultValue)",True
27,ObjectInputStream.GetField,5,"float get(String name, float defaultValue)",True
29,ObjectOutputStream.PutField,1,"void put(String name, boolean val)",True
29,ObjectOutputStream.PutField,2,"void put(String name, byte val)",True
29,ObjectOutputStream.PutField,3,"void put(String name, char val)",True
29,ObjectOutputStream.PutField,4,"void put(String name, double val)",True
29,ObjectOutputStream.PutField,5,"void put(String name, float val)",True
30,ObjectStreamClass,1,long getSerialVersionUID(),True
30,ObjectStreamClass,2,String getName(),True
30,ObjectStreamClass,3,ObjectStreamField getField(String name),True
30,ObjectStreamClass,4,long getSerialVersionUID(),True
30,ObjectStreamClass,5,Class<?> forClass(),True
31,ObjectStreamField,1,String getName(),True
31,ObjectStreamField,2,int getOffset(),True
31,ObjectStreamField,3,Class<?> getType(),True
31,ObjectStreamField,4,String getTypeString(),True
31,ObjectStreamField,5,char getTypeCode(),True
32,OutputStream,1,void write(int b),True
32,OutputStream,2,void flush(),True
32,OutputStream,3,void close(),True
32,OutputStream,4,void write(byte[] b),True
32,OutputStream,5,"void write(byte[] b, int off, int len)",True
33,OutputStreamWriter,1,void write(int c),True
33,OutputStreamWriter,2,void write(char[] cbuf),False
33,OutputStreamWriter,3,void write(String str),False
33,OutputStreamWriter,4,void flush(),True
33,OutputStreamWriter,5,void close(),True
34,PipedInputStream,1,int read(),True
34,PipedInputStream,2,int read(byte[] b),False
34,PipedInputStream,3,"int read(byte[] b, int off, int len)",True
34,PipedInputStream,4,void connect(PipedOutputStream src),True
34,PipedInputStream,5,int available(),True
35,PipedOutputStream,1,void write(int b),True
35,PipedOutputStream,2,void write(byte[] b),False
35,PipedOutputStream,3,"void write(byte[] b, int off, int len)",True
35,PipedOutputStream,4,void flush(),True
35,PipedOutputStream,5,void close(),True
36,PipedReader,1,void connect(PipedWriter src),True
36,PipedReader,2,int read(),True
36,PipedReader,3,"int read(char[] cbuf, int off, int len)",True
36,PipedReader,4,boolean ready(),True
36,PipedReader,5,void close(),True
38,PrintStream,1,void print(boolean b),True
38,PrintStream,2,void print(char c),True
38,PrintStream,3,void print(int i),True
38,PrintStream,4,void print(String s),True
38,PrintStream,5,void println(),True
39,PrintWriter,1,void print(String s),True
39,PrintWriter,2,void println(String x),True
39,PrintWriter,3,void flush(),True
39,PrintWriter,4,void close(),True
39,PrintWriter,5,"PrintWriter format(String format, Object... args)",True
42,RandomAccessFile,1,void seek(long pos),True
42,RandomAccessFile,2,void write(byte[] b),True
42,RandomAccessFile,3,int readInt(),True
42,RandomAccessFile,4,long length(),True
42,RandomAccessFile,5,void writeUTF(String str),True
43,Reader,1,int read(),True
43,Reader,2,int read(char[] cbuf),True
43,Reader,3,long skip(long n),True
43,Reader,4,boolean ready(),True
43,Reader,5,void close(),True
44,SequenceInputStream,1,int read(),True
44,SequenceInputStream,2,"int read(byte[] b, int off, int len)",True
44,SequenceInputStream,3,int available(),True
44,SequenceInputStream,4,void close(),True
45,SerializablePermission,1,"SerializablePermission(String name, String actions)",False
45,SerializablePermission,2,String getActions(),False
45,SerializablePermission,3,String getName(),False
45,SerializablePermission,4,boolean implies(Permission p),False
45,SerializablePermission,5,boolean equals(Object obj),False
46,StreamTokenizer,1,int nextToken(),True
46,StreamTokenizer,2,String sval(),False
46,StreamTokenizer,3,double nval(),False
46,StreamTokenizer,4,void eolIsSignificant(boolean flag),True
47,StringBufferInputStream,1,int read(),True
47,StringBufferInputStream,2,"int read(byte[] b, int off, int len)",True
47,StringBufferInputStream,3,long skip(long n),True
47,StringBufferInputStream,4,int available(),True
47,StringBufferInputStream,5,void reset(),True
48,StringReader,1,int read(),True
48,StringReader,2,"int read(char[] cbuf, int off, int len)",True
48,StringReader,3,long skip(long n),True
48,StringReader,4,void close(),True
48,StringReader,5,boolean markSupported(),True
49,StringWriter,1,void write(String str),True
49,StringWriter,2,void write(int c),True
49,StringWriter,3,"void write(char[] cbuf, int off, int len)",True
49,StringWriter,4,"void write(String str, int off, int len)",True
49,StringWriter,5,String toString(),True
50,Writer,1,void write(String str),True
50,Writer,2,"void write(char[] cbuf, int off, int len)",True
50,Writer,3,void flush(),True
50,Writer,4,void close(),True
50,Writer,5,void append(CharSequence csq),False
