Sample Number,ClassName,Snippet Number,Method,Exist
0,Clipboard,1,"void setContents(Transferable contents, ClipboardOwner owner)",True
0,Clipboard,2,Transferable getContents(Object requestor),True
0,Clipboard,3,String getName(),True
0,Clipboard,4,void setName(String name),False
0,Clipboard,5,void addFlavorListener(FlavorListener listener),True
1,DataFlavor,1,String getMimeType(),True
1,DataFlavor,2,Class<?> getRepresentationClass(),True
1,DataFlavor,3,String getHumanPresentableName(),True
1,DataFlavor,4,int hashCode(),True
1,DataFlavor,5,boolean equals(Object obj),True
2,FlavorEvent,1,FlavorEvent getFlavorEvent(),False
2,FlavorEvent,2,DataFlavor[] getTransferDataFlavors(),False
2,FlavorEvent,3,boolean isFlavorChanged(),False
2,FlavorEvent,4,boolean isLocalTransfer(),False
2,FlavorEvent,5,boolean isMimeTypeEqual(String mimeType),False
3,StringSelection,1,String getTransferDataFlavors(),False
3,StringSelection,2,void setString(String data),False
3,StringSelection,3,void addFlavorListener(FlavorListener listener),False
3,StringSelection,4,void removeFlavorListener(FlavorListener listener),False
3,StringSelection,5,boolean isDataFlavorSupported(DataFlavor flavor),True
4,SystemFlavorMap,1,"void addFlavorForUnencodedNative(String nat, DataFlavor flav)",True
4,SystemFlavorMap,2,void resetFlavors(),False
4,SystemFlavorMap,3,"void removeFlavorForUnencodedNative(String nat, DataFlavor flav)",False
4,SystemFlavorMap,4,"void removeFlavorForNatives(DataFlavor flav, String[] nat)",False
