Sample Number,ClassName,Snippet Number,Method,Exist
0,StreamResult,1,void setSystemId(String systemId),True
0,StreamResult,2,String getSystemId(),True
0,StreamResult,3,void setWriter(Writer writer),True
0,StreamResult,4,Writer getWriter(),True
0,StreamResult,5,void setOutputStream(OutputStream outputStream),True
0,StreamResult,6,OutputStream getOutputStream(),True
0,StreamResult,7,void setCharacterStream(Reader reader),False
0,StreamResult,8,Reader getCharacterStream(),False
0,StreamResult,9,void setEncoding(String encoding),False
0,StreamResult,10,String getEncoding(),False
0,StreamResult,11,void setPublicId(String publicId),False
0,StreamResult,12,String getPublicId(),False
0,StreamResult,13,void setLocator(Locator locator),False
0,StreamResult,14,Locator getLocator(),False
0,StreamResult,15,void setXMLVersion(String xmlVersion),False
0,StreamResult,16,String getXMLVersion(),False
0,StreamResult,17,void setXmlStandalone(boolean xmlStandalone),False
0,StreamResult,18,boolean getXmlStandalone(),False
0,StreamResult,19,void setMediaType(String mediaType),False
0,StreamResult,20,String getMediaType(),False
0,StreamResult,21,void setCharacterEncoding(String encoding),False
0,StreamResult,22,String getCharacterEncoding(),False
0,StreamResult,23,void setHref(String href),False
0,StreamResult,24,String getHref(),False
0,StreamResult,25,void setNamespaceContext(NamespaceContext namespaceContext),False
0,StreamResult,26,NamespaceContext getNamespaceContext(),False
0,StreamResult,27,void setNode(Node node),False
0,StreamResult,28,Node getNode(),False
0,StreamResult,29,void setParser(XMLParser parser),False
0,StreamResult,30,XMLParser getParser(),False
0,StreamResult,31,void setXMLReader(XMLReader xmlReader),False
0,StreamResult,32,XMLReader getXMLReader(),False
0,StreamResult,33,void setHandler(ContentHandler handler),False
1,StreamSource,1,StreamSource(InputStream stream),False
1,StreamSource,2,StreamSource(Reader reader),False
1,StreamSource,3,StreamSource(String systemId),False
1,StreamSource,4,InputStream getInputStream(),True
1,StreamSource,5,Reader getReader(),True
1,StreamSource,6,String getSystemId(),True
1,StreamSource,7,void setInputStream(InputStream inputStream),True
1,StreamSource,8,void setReader(Reader reader),True
1,StreamSource,9,void setSystemId(String systemId),True
1,StreamSource,10,String toString(),False
