Sample Number,ClassName,Snippet Number,Method,Exist
0,StreamResult,1,void setSystemId(String systemId),True
0,StreamResult,2,void setOutputStream(OutputStream outputStream),True
0,StreamResult,3,void setWriter(Writer writer),True
0,StreamResult,4,void setURIResolver(URIResolver resolver),False
0,StreamResult,5,void setSystemId(File f),True
1,StreamSource,1,void setSystemId(String systemId),True
1,StreamSource,2,void setByteStream(InputStream byteStream),False
1,StreamSource,3,void setCharacterStream(Reader characterStream),False
1,StreamSource,4,void setPublicId(String publicId),True
1,StreamSource,5,void setReader(Reader reader),True
