Sample Number,ClassName,Snippet Number,Method,Exist
0,DiagnosticCollector,1,List<Diagnostic<? extends JCTree>> getDiagnostics(),False
0,DiagnosticCollector,2,void report(),False
0,DiagnosticCollector,3,boolean isNotEmpty(),False
0,DiagnosticCollector,4,int getCount(),False
0,DiagnosticCollector,5,void reset(),False
1,ForwardingFileObject,1,CharSequence getCharContent(boolean ignoreEncodingErrors),True
1,ForwardingFileObject,2,OutputStream openOutputStream(),True
1,ForwardingFileObject,3,Writer openWriter(),True
1,ForwardingFileObject,4,Writer openWriter(boolean append),False
1,ForwardingFileObject,5,Reader openReader(boolean ignoreEncodingErrors),True
2,ForwardingJavaFileManager,1,void close(),True
2,ForwardingJavaFileManager,2,boolean contains(Object obj),False
2,ForwardingJavaFileManager,3,"boolean isSameFile(FileObject a, FileObject b)",True
2,ForwardingJavaFileManager,4,"Iterable<? extends JavaFileObject> list(Location location, String packageName, Set<JavaFileObject.Kind> kinds, boolean recurse)",False
2,ForwardingJavaFileManager,5,"JavaFileObject getJavaFileForOutput(Location location, String className, JavaFileObject.Kind kind, FileObject sibling)",False
3,ForwardingJavaFileObject,1,CharSequence getCharContent(boolean ignoreEncodingErrors),False
3,ForwardingJavaFileObject,2,Writer openWriter(),False
3,ForwardingJavaFileObject,3,InputStream openInputStream(),False
3,ForwardingJavaFileObject,4,OutputStream openOutputStream(),False
3,ForwardingJavaFileObject,5,boolean delete(),False
4,SimpleJavaFileObject,1,CharSequence getCharContent(boolean ignoreEncodingErrors),True
4,SimpleJavaFileObject,2,byte[] getBytes(),False
4,SimpleJavaFileObject,3,Kind getKind(),False
4,SimpleJavaFileObject,4,JavaFileObject.Kind getKind(),True
4,SimpleJavaFileObject,5,JavaFileObject.Kind getKind(),True
5,ToolProvider,1,Iterable<JavaCompiler> getSystemJavaCompilers(),False
5,ToolProvider,2,JavaCompiler getSystemJavaCompiler(),True
5,ToolProvider,3,"Iterable<JavaFileManager> getStandardFileManager(DiagnosticListener<? super JavaFileObject> diagnosticListener, Locale locale, Charset charset)",False
5,ToolProvider,4,Iterable<String> isSupportedOption(String option),False
5,ToolProvider,5,"int run(InputStream in, OutputStream out, OutputStream err, String... arguments)",False
