Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,IIOImage,1,ImageReader getImageReader(),False,,NULL
0,IIOImage,2,ImageWriter getImageWriter(),False,,NULL
0,IIOImage,3,IIOMetadata getMetadata(),True,,"

getMetadata
public IIOMetadata getMetadata()
Returns a reference to the current IIOMetadata
 object, or null is none is set.

Returns:
an IIOMetadata object, or null.
See Also:
setMetadata(javax.imageio.metadata.IIOMetadata)


"
0,IIOImage,4,Raster getRaster(),True,,"

getRaster
public Raster getRaster()
Returns the currently set Raster, or
 null if only a RenderedImage is
 available.

Returns:
a Raster, or null.
See Also:
setRaster(java.awt.image.Raster)


"
0,IIOImage,5,void setRaster(Raster raster),True,,"

setRaster
public void setRaster(Raster raster)
Sets the current Raster.  The value is
 stored by reference.  Any existing RenderedImage is
 discarded.

Parameters:
raster - a Raster.
Throws:
IllegalArgumentException - if raster is
 null.
See Also:
getRaster()


"
1,IIOParam,1,void setSourceRegion(Rectangle sourceRegion),True,,"

setSourceRegion
public void setSourceRegion(Rectangle sourceRegion)
Sets the source region of interest.  The region of interest is
 described as a rectangle, with the upper-left corner of the
 source image as pixel (0, 0) and increasing values down and to
 the right.  The actual number of pixels used will depend on
 the subsampling factors set by setSourceSubsampling.
 If subsampling has been set such that this number is zero,
 an IllegalStateException will be thrown.

  The source region of interest specified by this method will
 be clipped as needed to fit within the source bounds, as well
 as the destination offsets, width, and height at the time of
 actual I/O.

  A value of null for sourceRegion
 will remove any region specification, causing the entire image
 to be used.

Parameters:
sourceRegion - a Rectangle specifying the
 source region of interest, or null.
Throws:
IllegalArgumentException - if
 sourceRegion is non-null and either
 sourceRegion.x or sourceRegion.y is
 negative.
IllegalArgumentException - if
 sourceRegion is non-null and either
 sourceRegion.width or
 sourceRegion.height is negative or 0.
IllegalStateException - if subsampling is such that
 this region will have a subsampled width or height of zero.
See Also:
getSourceRegion(), 
setSourceSubsampling(int, int, int, int), 
setDestinationOffset(java.awt.Point), 
getDestinationOffset()


"
1,IIOParam,2,Rectangle getSourceRegion(),True,,"

getSourceRegion
public Rectangle getSourceRegion()
Returns the source region to be used.  The returned value is
 that set by the most recent call to
 setSourceRegion, and will be null if
 there is no region set.

Returns:
the source region of interest as a
 Rectangle, or null.
See Also:
setSourceRegion(java.awt.Rectangle)


"
1,IIOParam,3,void setSourceRenderSize(Dimension size),False,,NULL
1,IIOParam,4,Dimension getSourceRenderSize(),False,,NULL
1,IIOParam,5,void setSourceBands(int[] sourceBands),True,,"

setSourceBands
public void setSourceBands(int[] sourceBands)
Sets the indices of the source bands to be used.  Duplicate
 indices are not allowed.

  A null value indicates that all source bands
 will be used.

  At the time of reading, an
 IllegalArgumentException will be thrown by the
 reader or writer if a value larger than the largest available
 source band index has been specified or if the number of source
 bands and destination bands to be used differ.  The
 ImageReader.checkReadParamBandSettings method may
 be used to automate this test.

  Semantically, a copy is made of the array; changes to the
 array contents subsequent to this call have no effect on
 this IIOParam.

Parameters:
sourceBands - an array of integer band indices to be
 used.
Throws:
IllegalArgumentException - if sourceBands
 contains a negative or duplicate value.
See Also:
getSourceBands(), 
ImageReadParam.setDestinationBands(int[]), 
ImageReader.checkReadParamBandSettings(javax.imageio.ImageReadParam, int, int)


"
2,ImageIO,1,ImageReader getImageReaderByFormatName(String formatName),False,,NULL
2,ImageIO,2,ImageWriter getImageWriterByFormatName(String formatName),False,,NULL
2,ImageIO,3,String[] getReaderFormatNames(),True,,"

getReaderFormatNames
public static String[] getReaderFormatNames()
Returns an array of Strings listing all of the
 informal format names understood by the current set of registered
 readers.

Returns:
an array of Strings.


"
2,ImageIO,4,String[] getWriterFormatNames(),True,,"

getWriterFormatNames
public static String[] getWriterFormatNames()
Returns an array of Strings listing all of the
 informal format names understood by the current set of registered
 writers.

Returns:
an array of Strings.


"
2,ImageIO,5,"boolean write(RenderedImage im, String formatName, OutputStream output)",True,,"

write
public static boolean write(RenderedImage im,
                            String formatName,
                            OutputStream output)
                     throws IOException
Writes an image using an arbitrary ImageWriter
 that supports the given format to an OutputStream.

  This method does not close the provided
 OutputStream after the write operation has completed;
 it is the responsibility of the caller to close the stream, if desired.

  The current cache settings from getUseCacheand
 getCacheDirectory will be used to control caching.

Parameters:
im - a RenderedImage to be written.
formatName - a String containing the informal
 name of the format.
output - an OutputStream to be written to.
Returns:
false if no appropriate writer is found.
Throws:
IllegalArgumentException - if any parameter is
 null.
IOException - if an error occurs during writing.


"
3,ImageReader,1,int getNumImages(boolean allowSearch),True,,"

getNumImages
public abstract int getNumImages(boolean allowSearch)
                          throws IOException
Returns the number of images, not including thumbnails, available
 from the current input source.

  Note that some image formats (such as animated GIF) do not
 specify how many images are present in the stream.  Thus
 determining the number of images will require the entire stream
 to be scanned and may require memory for buffering.  If images
 are to be processed in order, it may be more efficient to
 simply call read with increasing indices until an
 IndexOutOfBoundsException is thrown to indicate
 that no more images are available.  The
 allowSearch parameter may be set to
 false to indicate that an exhaustive search is not
 desired; the return value will be -1 to indicate
 that a search is necessary.  If the input has been specified
 with seekForwardOnly set to true,
 this method throws an IllegalStateException if
 allowSearch is set to true.

Parameters:
allowSearch - if true, the true number of
 images will be returned even if a search is required.  If
 false, the reader may return -1
 without performing the search.
Returns:
the number of images, as an int, or
 -1 if allowSearch is
 false and a search would be required.
Throws:
IllegalStateException - if the input source has not been set,
 or if the input has been specified with seekForwardOnly
 set to true.
IOException - if an error occurs reading the
 information from the input source.
See Also:
setInput(java.lang.Object, boolean, boolean)


"
3,ImageReader,2,ImageReadParam getDefaultReadParam(),True,,"

getDefaultReadParam
public ImageReadParam getDefaultReadParam()
Returns a default ImageReadParam object
 appropriate for this format.  All subclasses should define a
 set of default values for all parameters and return them with
 this call.  This method may be called before the input source
 is set.

  The default implementation constructs and returns a new
 ImageReadParam object that does not allow source
 scaling (i.e., it returns new
 ImageReadParam().

Returns:
an ImageReadParam object which may be used
 to control the decoding process using a set of default settings.


"
3,ImageReader,3,IIOMetadata getImageMetadata(int imageIndex),True,,"

getImageMetadata
public abstract IIOMetadata getImageMetadata(int imageIndex)
                                      throws IOException
Returns an IIOMetadata object containing metadata
 associated with the given image, or null if the
 reader does not support reading metadata, is set to ignore
 metadata, or if no metadata is available.

Parameters:
imageIndex - the index of the image whose metadata is to
 be retrieved.
Returns:
an IIOMetadata object, or
 null.
Throws:
IllegalStateException - if the input source has not been
 set.
IndexOutOfBoundsException - if the supplied index is
 out of bounds.
IOException - if an error occurs during reading.


"
3,ImageReader,4,ImageTypeSpecifier getImageType(int imageIndex),False,,NULL
