ClassName,Method,Return Type,Description
AdapterManagerIdHelper,extract(Any a),static int,NULL
AdapterManagerIdHelper,id(),static String,NULL
AdapterManagerIdHelper,"insert(Any a, int that)",static void,NULL
AdapterManagerIdHelper,read(InputStream istream),static int,NULL
AdapterManagerIdHelper,type(),static TypeCode,NULL
AdapterManagerIdHelper,"write(OutputStream ostream, int value)",static void,NULL
AdapterNameHelper,extract(Any a),static String[],NULL
AdapterNameHelper,id(),static String,NULL
AdapterNameHelper,"insert(Any a, String[] that)",static void,NULL
AdapterNameHelper,read(InputStream istream),static String[],NULL
AdapterNameHelper,type(),static TypeCode,NULL
AdapterNameHelper,"write(OutputStream ostream, String[] value)",static void,NULL
AdapterStateHelper,extract(Any a),static short,NULL
AdapterStateHelper,id(),static String,NULL
AdapterStateHelper,"insert(Any a, short that)",static void,NULL
AdapterStateHelper,read(InputStream istream),static short,NULL
AdapterStateHelper,type(),static TypeCode,NULL
AdapterStateHelper,"write(OutputStream ostream, short value)",static void,NULL
CurrentHelper,extract(Any a),static Current,NULL
CurrentHelper,id(),static String,NULL
CurrentHelper,"insert(Any a, Current that)",static void,NULL
CurrentHelper,narrow(Object obj),static Current,NULL
CurrentHelper,read(InputStream istream),static Current,NULL
CurrentHelper,type(),static TypeCode,NULL
CurrentHelper,unchecked_narrow(Object obj),static Current,NULL
CurrentHelper,"write(OutputStream ostream, Current value)",static void,NULL
ForwardRequestHelper,extract(Any a),static ForwardRequest,NULL
ForwardRequestHelper,id(),static String,NULL
ForwardRequestHelper,"insert(Any a, ForwardRequest that)",static void,NULL
ForwardRequestHelper,read(InputStream istream),static ForwardRequest,NULL
ForwardRequestHelper,type(),static TypeCode,NULL
ForwardRequestHelper,"write(OutputStream ostream, ForwardRequest value)",static void,NULL
InvalidSlotHelper,extract(Any a),static InvalidSlot,NULL
InvalidSlotHelper,id(),static String,NULL
InvalidSlotHelper,"insert(Any a, InvalidSlot that)",static void,NULL
InvalidSlotHelper,read(InputStream istream),static InvalidSlot,NULL
InvalidSlotHelper,type(),static TypeCode,NULL
InvalidSlotHelper,"write(OutputStream ostream, InvalidSlot value)",static void,NULL
IORInterceptor_3_0Helper,extract(Any a),static IORInterceptor_3_0,NULL
IORInterceptor_3_0Helper,id(),static String,NULL
IORInterceptor_3_0Helper,"insert(Any a, IORInterceptor_3_0 that)",static void,NULL
IORInterceptor_3_0Helper,narrow(Object obj),static IORInterceptor_3_0,NULL
IORInterceptor_3_0Helper,read(InputStream istream),static IORInterceptor_3_0,NULL
IORInterceptor_3_0Helper,type(),static TypeCode,NULL
IORInterceptor_3_0Helper,unchecked_narrow(Object obj),static IORInterceptor_3_0,NULL
IORInterceptor_3_0Helper,"write(OutputStream ostream, IORInterceptor_3_0 value)",static void,NULL
IORInterceptor_3_0Holder,_read(InputStream i),void,Reads data from istream and initalizes the value field of the Holder with the unmarshalled data.
IORInterceptor_3_0Holder,_type(),TypeCode,Retrieves the TypeCode object corresponding to the value in the value field of the Holder.
IORInterceptor_3_0Holder,_write(OutputStream o),void,Marshals to ostream the value in the value field of the Holder.
ObjectIdHelper,extract(Any a),static byte[],NULL
ObjectIdHelper,id(),static String,NULL
ObjectIdHelper,"insert(Any a, byte[] that)",static void,NULL
ObjectIdHelper,read(InputStream istream),static byte[],NULL
ObjectIdHelper,type(),static TypeCode,NULL
ObjectIdHelper,"write(OutputStream ostream, byte[] value)",static void,NULL
ObjectReferenceFactoryHelper,extract(Any a),static ObjectReferenceFactory,NULL
ObjectReferenceFactoryHelper,id(),static String,NULL
ObjectReferenceFactoryHelper,"insert(Any a, ObjectReferenceFactory that)",static void,NULL
ObjectReferenceFactoryHelper,read(InputStream istream),static ObjectReferenceFactory,NULL
ObjectReferenceFactoryHelper,type(),static TypeCode,NULL
ObjectReferenceFactoryHelper,"write(OutputStream ostream, ObjectReferenceFactory value)",static void,NULL
ObjectReferenceFactoryHolder,_read(InputStream i),void,Reads data from istream and initalizes the value field of the Holder with the unmarshalled data.
ObjectReferenceFactoryHolder,_type(),TypeCode,Retrieves the TypeCode object corresponding to the value in the value field of the Holder.
ObjectReferenceFactoryHolder,_write(OutputStream o),void,Marshals to ostream the value in the value field of the Holder.
ObjectReferenceTemplateHelper,extract(Any a),static ObjectReferenceTemplate,NULL
ObjectReferenceTemplateHelper,id(),static String,NULL
ObjectReferenceTemplateHelper,"insert(Any a, ObjectReferenceTemplate that)",static void,NULL
ObjectReferenceTemplateHelper,read(InputStream istream),static ObjectReferenceTemplate,NULL
ObjectReferenceTemplateHelper,type(),static TypeCode,NULL
ObjectReferenceTemplateHelper,"write(OutputStream ostream, ObjectReferenceTemplate value)",static void,NULL
ObjectReferenceTemplateHolder,_read(InputStream i),void,Reads data from istream and initalizes the value field of the Holder with the unmarshalled data.
ObjectReferenceTemplateHolder,_type(),TypeCode,Retrieves the TypeCode object corresponding to the value in the value field of the Holder.
ObjectReferenceTemplateHolder,_write(OutputStream o),void,Marshals to ostream the value in the value field of the Holder.
ObjectReferenceTemplateSeqHelper,extract(Any a),static ObjectReferenceTemplate[],NULL
ObjectReferenceTemplateSeqHelper,id(),static String,NULL
ObjectReferenceTemplateSeqHelper,"insert(Any a, ObjectReferenceTemplate[] that)",static void,NULL
ObjectReferenceTemplateSeqHelper,read(InputStream istream),static ObjectReferenceTemplate[],NULL
ObjectReferenceTemplateSeqHelper,type(),static TypeCode,NULL
ObjectReferenceTemplateSeqHelper,"write(OutputStream ostream, ObjectReferenceTemplate[] value)",static void,NULL
ObjectReferenceTemplateSeqHolder,_read(InputStream i),void,Reads data from istream and initalizes the value field of the Holder with the unmarshalled data.
ObjectReferenceTemplateSeqHolder,_type(),TypeCode,Retrieves the TypeCode object corresponding to the value in the value field of the Holder.
ObjectReferenceTemplateSeqHolder,_write(OutputStream o),void,Marshals to ostream the value in the value field of the Holder.
ORBIdHelper,extract(Any a),static String,NULL
ORBIdHelper,id(),static String,NULL
ORBIdHelper,"insert(Any a, String that)",static void,NULL
ORBIdHelper,read(InputStream istream),static String,NULL
ORBIdHelper,type(),static TypeCode,NULL
ORBIdHelper,"write(OutputStream ostream, String value)",static void,NULL
ServerIdHelper,extract(Any a),static String,NULL
ServerIdHelper,id(),static String,NULL
ServerIdHelper,"insert(Any a, String that)",static void,NULL
ServerIdHelper,read(InputStream istream),static String,NULL
