ClassName,URL,Description
BufferedInputStream,https://docs.oracle.com/javase/8/docs/api/java/io/BufferedInputStream.html,"A BufferedInputStream adds functionality to another input stream-namely, the ability to buffer the input and to support the mark and reset methods."
BufferedOutputStream,https://docs.oracle.com/javase/8/docs/api/java/io/BufferedOutputStream.html,The class implements a buffered output stream.
BufferedReader,https://docs.oracle.com/javase/8/docs/api/java/io/BufferedReader.html,"Reads text from a character-input stream, buffering characters so as to provide for the efficient reading of characters, arrays, and lines."
BufferedWriter,https://docs.oracle.com/javase/8/docs/api/java/io/BufferedWriter.html,"Writes text to a character-output stream, buffering characters so as to provide for the efficient writing of single characters, arrays, and strings."
ByteArrayInputStream,https://docs.oracle.com/javase/8/docs/api/java/io/ByteArrayInputStream.html,A ByteArrayInputStream contains an internal buffer that contains bytes that may be read from the stream.
ByteArrayOutputStream,https://docs.oracle.com/javase/8/docs/api/java/io/ByteArrayOutputStream.html,This class implements an output stream in which the data is written into a byte array.
CharArrayReader,https://docs.oracle.com/javase/8/docs/api/java/io/CharArrayReader.html,This class implements a character buffer that can be used as a character-input stream.
CharArrayWriter,https://docs.oracle.com/javase/8/docs/api/java/io/CharArrayWriter.html,This class implements a character buffer that can be used as an Writer.
Console,https://docs.oracle.com/javase/8/docs/api/java/io/Console.html,"Methods to access the character-based console device, if any, associated with the current Java virtual machine."
DataInputStream,https://docs.oracle.com/javase/8/docs/api/java/io/DataInputStream.html,A data input stream lets an application read primitive Java data types from an underlying input stream in a machine-independent way.
DataOutputStream,https://docs.oracle.com/javase/8/docs/api/java/io/DataOutputStream.html,A data output stream lets an application write primitive Java data types to an output stream in a portable way.
File,https://docs.oracle.com/javase/8/docs/api/java/io/File.html,An abstract representation of file and directory pathnames.
FileDescriptor,https://docs.oracle.com/javase/8/docs/api/java/io/FileDescriptor.html,"Instances of the file descriptor class serve as an opaque handle to the underlying machine-specific structure representing an open file, an open socket, or another source or sink of bytes."
FileInputStream,https://docs.oracle.com/javase/8/docs/api/java/io/FileInputStream.html,A FileInputStream obtains input bytes from a file in a file system.
FileOutputStream,https://docs.oracle.com/javase/8/docs/api/java/io/FileOutputStream.html,A file output stream is an output stream for writing data to a File or to a FileDescriptor.
FilePermission,https://docs.oracle.com/javase/8/docs/api/java/io/FilePermission.html,This class represents access to a file or directory.
FileReader,https://docs.oracle.com/javase/8/docs/api/java/io/FileReader.html,Convenience class for reading character files.
FileWriter,https://docs.oracle.com/javase/8/docs/api/java/io/FileWriter.html,Convenience class for writing character files.
FilterInputStream,https://docs.oracle.com/javase/8/docs/api/java/io/FilterInputStream.html,"A FilterInputStream contains some other input stream, which it uses as its basic source of data, possibly transforming the data along the way or providing additional functionality."
FilterOutputStream,https://docs.oracle.com/javase/8/docs/api/java/io/FilterOutputStream.html,This class is the superclass of all classes that filter output streams.
FilterReader,https://docs.oracle.com/javase/8/docs/api/java/io/FilterReader.html,Abstract class for reading filtered character streams.
FilterWriter,https://docs.oracle.com/javase/8/docs/api/java/io/FilterWriter.html,Abstract class for writing filtered character streams.
InputStream,https://docs.oracle.com/javase/8/docs/api/java/io/InputStream.html,This abstract class is the superclass of all classes representing an input stream of bytes.
InputStreamReader,https://docs.oracle.com/javase/8/docs/api/java/io/InputStreamReader.html,An InputStreamReader is a bridge from byte streams to character streams: It reads bytes and decodes them into characters using a specified charset.
LineNumberInputStream,https://docs.oracle.com/javase/8/docs/api/java/io/LineNumberInputStream.html,This class incorrectly assumes that bytes adequately represent characters.
LineNumberReader,https://docs.oracle.com/javase/8/docs/api/java/io/LineNumberReader.html,A buffered character-input stream that keeps track of line numbers.
ObjectInputStream,https://docs.oracle.com/javase/8/docs/api/java/io/ObjectInputStream.html,An ObjectInputStream deserializes primitive data and objects previously written using an ObjectOutputStream.
ObjectInputStream.GetField,https://docs.oracle.com/javase/8/docs/api/java/io/ObjectInputStream.GetField.html,Provide access to the persistent fields read from the input stream.
ObjectOutputStream,https://docs.oracle.com/javase/8/docs/api/java/io/ObjectOutputStream.html,An ObjectOutputStream writes primitive data types and graphs of Java objects to an OutputStream.
ObjectOutputStream.PutField,https://docs.oracle.com/javase/8/docs/api/java/io/ObjectOutputStream.PutField.html,Provide programmatic access to the persistent fields to be written to ObjectOutput.
ObjectStreamClass,https://docs.oracle.com/javase/8/docs/api/java/io/ObjectStreamClass.html,Serialization's descriptor for classes.
ObjectStreamField,https://docs.oracle.com/javase/8/docs/api/java/io/ObjectStreamField.html,A description of a Serializable field from a Serializable class.
OutputStream,https://docs.oracle.com/javase/8/docs/api/java/io/OutputStream.html,This abstract class is the superclass of all classes representing an output stream of bytes.
OutputStreamWriter,https://docs.oracle.com/javase/8/docs/api/java/io/OutputStreamWriter.html,An OutputStreamWriter is a bridge from character streams to byte streams: Characters written to it are encoded into bytes using a specified charset.
PipedInputStream,https://docs.oracle.com/javase/8/docs/api/java/io/PipedInputStream.html,A piped input stream should be connected to a piped output stream; the piped input stream then provides whatever data bytes are written to the piped output stream.
PipedOutputStream,https://docs.oracle.com/javase/8/docs/api/java/io/PipedOutputStream.html,A piped output stream can be connected to a piped input stream to create a communications pipe.
PipedReader,https://docs.oracle.com/javase/8/docs/api/java/io/PipedReader.html,Piped character-input streams.
PipedWriter,https://docs.oracle.com/javase/8/docs/api/java/io/PipedWriter.html,Piped character-output streams.
PrintStream,https://docs.oracle.com/javase/8/docs/api/java/io/PrintStream.html,"A PrintStream adds functionality to another output stream, namely the ability to print representations of various data values conveniently."
PrintWriter,https://docs.oracle.com/javase/8/docs/api/java/io/PrintWriter.html,Prints formatted representations of objects to a text-output stream.
PushbackInputStream,https://docs.oracle.com/javase/8/docs/api/java/io/PushbackInputStream.html,"A PushbackInputStream adds functionality to another input stream, namely the ability to ""push back"" or ""unread"" one byte."
PushbackReader,https://docs.oracle.com/javase/8/docs/api/java/io/PushbackReader.html,A character-stream reader that allows characters to be pushed back into the stream.
RandomAccessFile,https://docs.oracle.com/javase/8/docs/api/java/io/RandomAccessFile.html,Instances of this class support both reading and writing to a random access file.
Reader,https://docs.oracle.com/javase/8/docs/api/java/io/Reader.html,Abstract class for reading character streams.
SequenceInputStream,https://docs.oracle.com/javase/8/docs/api/java/io/SequenceInputStream.html,A SequenceInputStream represents the logical concatenation of other input streams.
