ClassName,Method,Return Type,Description,Full Description
HttpContext,getAttribute(String name),abstract Object,Returns an attribute value for container's configuration and other data that can be used by jax-ws runtime.,"

getAttribute
public abstract Object getAttribute(String name)
Returns an attribute value for container's configuration
 and other data that can be used by jax-ws runtime.

Parameters:
name - attribute name
Returns:
attribute value


"
HttpContext,getAttributeNames(),abstract Set<String>,Returns all attribute names for container's configuration and other data that can be used by jax-ws runtime.,"

getAttributeNames
public abstract Set<String> getAttributeNames()
Returns all attribute names for container's configuration
 and other data that can be used by jax-ws runtime.

Returns:
set of all attribute names


"
HttpContext,getPath(),abstract String,Returns the path for this context.,"

getPath
public abstract String getPath()
Returns the path for this context. This path uniquely identifies
 an endpoint inside an application and the path is relative to
 application's context path. Container should give this
 path based on how it matches request URIs to this HttpContext object.

 
 For servlet container, this is typically a url-pattern for an endpoint.

 
 Endpoint's address for this context can be computed as follows:
 
  HttpExchange exch = ...;
  String endpointAddress =
      exch.getScheme() + ""://""
      + exch.getLocalAddress().getHostName()
      + "":"" + exch.getLocalAddress().getPort()
      + exch.getContextPath() + getPath();
 

Returns:
this context's path


"
HttpContext,setHandler(HttpHandler handler),void,JAX-WS runtime sets its handler during Endpoint.publish(HttpContext) to handle HTTP requests for this context.,"

setHandler
public void setHandler(HttpHandler handler)
JAX-WS runtime sets its handler during
 Endpoint.publish(HttpContext) to handle
 HTTP requests for this context. Container or its extensions
 use this handler to process the requests.

Parameters:
handler - the handler to set for this context


"
HttpExchange,"addResponseHeader(String name, String value)",abstract void,Adds a response header with the given name and value.,"

addResponseHeader
public abstract void addResponseHeader(String name,
                                       String value)
Adds a response header with the given name and value. This method
 allows a response header to have multiple values. This is a
 convenience method to add a response header(instead of using the
 getResponseHeaders()).

Parameters:
name - the name of the header
value - the additional header value. If it contains octet string,
        it should be encoded according to
        RFC 2047 (http://www.ietf.org/rfc/rfc2047.txt)
See Also:
getResponseHeaders()


"
HttpExchange,close(),abstract void,This must be called to end an exchange.,"

close
public abstract void close()
                    throws IOException
This must be called to end an exchange. Container takes care of
 closing request and response streams. This must be called so that
 the container can free or reuse underlying resources.

Throws:
IOException - if any i/o error


"
HttpExchange,getAttribute(String name),abstract Object,Returns an attribute that is associated with this HttpExchange.,"

getAttribute
public abstract Object getAttribute(String name)
Returns an attribute that is associated with this
 HttpExchange. JAX-WS handlers and endpoints may then
 access the attribute via MessageContext.
 
 Servlet containers must expose MessageContext.SERVLET_CONTEXT,
 MessageContext.SERVLET_REQUEST, and
 MessageContext.SERVLET_RESPONSE
 as attributes.

 If the request has been received by the container using HTTPS, the
 following information must be exposed as attributes. These attributes
 are REQUEST_CIPHER_SUITE, and REQUEST_KEY_SIZE.
 If there is a SSL certificate associated with the request, it must
 be exposed using REQUEST_X509CERTIFICATE

Parameters:
name - attribute name
Returns:
the attribute value, or null if the attribute doesn't
         exist


"
HttpExchange,getAttributeNames(),abstract Set<String>,Gives all the attribute names that are associated with this HttpExchange.,"

getAttributeNames
public abstract Set<String> getAttributeNames()
Gives all the attribute names that are associated with
 this HttpExchange.

Returns:
set of all attribute names
See Also:
getAttribute(String)


"
HttpExchange,getContextPath(),abstract String,Returns the context path of all the endpoints in an application.,"

getContextPath
public abstract String getContextPath()
Returns the context path of all the endpoints in an application.
 This path is the portion of the request URI that indicates the
 context of the request. The context path always comes first in a
 request URI. The path starts with a ""/"" character but does not
 end with a ""/"" character. If this method returns """", the request
 is for default context. The container does not decode this string.

 
 Context path is used in computing the endpoint address. See
 HttpContext.getPath()

Returns:
context path of all the endpoints in an application
See Also:
HttpContext.getPath()


"
HttpExchange,getHttpContext(),abstract HttpContext,Returns a HttpContext for this exchange.,"

getHttpContext
public abstract HttpContext getHttpContext()
Returns a HttpContext for this exchange.
 Container matches the request with the associated Endpoint's HttpContext

Returns:
the HttpContext for this exchange


"
