Sample Number,ClassName,Snippet Number,Method,Exist
0,AbstractPreferences,1,String[] childrenNames(),True
0,AbstractPreferences,2,void sync(),True
0,AbstractPreferences,3,void flush(),True
0,AbstractPreferences,4,boolean isUserNode(),True
0,AbstractPreferences,5,"void putByteArray(String key, byte[] value)",True
1,NodeChangeEvent,1,Preferences getNode(),False
1,NodeChangeEvent,2,String getKey(),False
1,NodeChangeEvent,3,Preferences getParent(),True
1,NodeChangeEvent,4,Type getType(),False
1,NodeChangeEvent,5,long getTimeStamp(),False
2,PreferenceChangeEvent,1,String getKey(),True
2,PreferenceChangeEvent,2,Preferences getNode(),True
2,PreferenceChangeEvent,3,Object getNewValue(),False
2,PreferenceChangeEvent,4,Object getOldValue(),False
2,PreferenceChangeEvent,5,boolean isNodeChangeEvent(),False
3,Preferences,1,"void put(String key, String value)",True
3,Preferences,2,"String get(String key, String defaultValue)",True
3,Preferences,3,void remove(String key),True
3,Preferences,4,void clear(),True
3,Preferences,5,String[] keys(),True
