ClassName,Method,Return Type,Description,Full Description
ConsoleHandler,close(),void,Override StreamHandler.close to do a flush but not to close the output stream.,"

close
public void close()
Override StreamHandler.close to do a flush but not
 to close the output stream.  That is, we do not
 close System.err.

Overrides:
close in class StreamHandler


"
ConsoleHandler,publish(LogRecord record),void,Publish a LogRecord.,"

publish
public void publish(LogRecord record)
Publish a LogRecord.
 
 The logging request was made initially to a Logger object,
 which initialized the LogRecord and forwarded it here.
 

Overrides:
publish in class StreamHandler
Parameters:
record - description of the log event. A null record is
                 silently ignored and is not published


"
ErrorManager,"error(String msg, Exception ex, int code)",void,The error method is called when a Handler failure occurs.,"

error
public void error(String msg,
                  Exception ex,
                  int code)
The error method is called when a Handler failure occurs.
 
 This method may be overridden in subclasses.  The default
 behavior in this base class is that the first call is
 reported to System.err, and subsequent calls are ignored.

Parameters:
msg - a descriptive string (may be null)
ex - an exception (may be null)
code - an error code defined in ErrorManager


"
FileHandler,close(),void,Close all the files.,"

close
public void close()
           throws SecurityException
Close all the files.

Overrides:
close in class StreamHandler
Throws:
SecurityException - if a security manager exists and if
             the caller does not have LoggingPermission(""control"").


"
FileHandler,publish(LogRecord record),void,Format and publish a LogRecord.,"

publish
public void publish(LogRecord record)
Format and publish a LogRecord.

Overrides:
publish in class StreamHandler
Parameters:
record - description of the log event. A null record is
                 silently ignored and is not published


"
Formatter,format(LogRecord record),abstract String,Format the given log record and return the formatted string.,"

format
public abstract String format(LogRecord record)
Format the given log record and return the formatted string.
 
 The resulting formatted String will normally include a
 localized and formatted version of the LogRecord's message field.
 It is recommended to use the formatMessage(java.util.logging.LogRecord)
 convenience method to localize and format the message field.

Parameters:
record - the log record to be formatted.
Returns:
the formatted log record


"
Formatter,formatMessage(LogRecord record),String,Localize and format the message string from a log record.,"

formatMessage
public String formatMessage(LogRecord record)
Localize and format the message string from a log record.  This
 method is provided as a convenience for Formatter subclasses to
 use when they are performing formatting.
 
 The message string is first localized to a format string using
 the record's ResourceBundle.  (If there is no ResourceBundle,
 or if the message key is not found, then the key is used as the
 format string.)  The format String uses java.text style
 formatting.
 
If there are no parameters, no formatter is used.
 Otherwise, if the string contains ""{0"" then
     java.text.MessageFormat  is used to format the string.
 Otherwise no formatting is performed.
 


Parameters:
record - the log record containing the raw message
Returns:
a localized and formatted message


"
Formatter,getHead(Handler h),String,Return the header string for a set of formatted records.,"

getHead
public String getHead(Handler h)
Return the header string for a set of formatted records.
 
 This base class returns an empty string, but this may be
 overridden by subclasses.

Parameters:
h - The target handler (can be null)
Returns:
header string


"
Formatter,getTail(Handler h),String,Return the tail string for a set of formatted records.,"

getTail
public String getTail(Handler h)
Return the tail string for a set of formatted records.
 
 This base class returns an empty string, but this may be
 overridden by subclasses.

Parameters:
h - The target handler (can be null)
Returns:
tail string


"
Handler,close(),abstract void,Close the Handler and free all associated resources.,"

close
public abstract void close()
                    throws SecurityException
Close the Handler and free all associated resources.
 
 The close method will perform a flush and then close the
 Handler.   After close has been called this Handler
 should no longer be used.  Method calls may either be silently
 ignored or may throw runtime exceptions.

Throws:
SecurityException - if a security manager exists and if
             the caller does not have LoggingPermission(""control"").


"
Handler,flush(),abstract void,Flush any buffered output.,"

flush
public abstract void flush()
Flush any buffered output.

"
Handler,getEncoding(),String,Return the character encoding for this Handler.,"

getEncoding
public String getEncoding()
Return the character encoding for this Handler.

Returns:
The encoding name.  May be null, which indicates the
          default encoding should be used.


"
Handler,getErrorManager(),ErrorManager,Retrieves the ErrorManager for this Handler.,"

getErrorManager
public ErrorManager getErrorManager()
Retrieves the ErrorManager for this Handler.

Returns:
the ErrorManager for this Handler
Throws:
SecurityException - if a security manager exists and if
             the caller does not have LoggingPermission(""control"").


"
Handler,getFilter(),Filter,Get the current Filter for this Handler.,"

getFilter
public Filter getFilter()
Get the current Filter for this Handler.

Returns:
a Filter object (may be null)


"
Handler,getFormatter(),Formatter,Return the Formatter for this Handler.,"

getFormatter
public Formatter getFormatter()
Return the Formatter for this Handler.

Returns:
the Formatter (may be null).


"
Handler,getLevel(),Level,Get the log level specifying which messages will be logged by this Handler.,"

getLevel
public Level getLevel()
Get the log level specifying which messages will be
 logged by this Handler.  Message levels lower
 than this level will be discarded.

Returns:
the level of messages being logged.


"
Handler,isLoggable(LogRecord record),boolean,Check if this Handler would actually log a given LogRecord.,"

isLoggable
public boolean isLoggable(LogRecord record)
Check if this Handler would actually log a given LogRecord.
 
 This method checks if the LogRecord has an appropriate
 Level and  whether it satisfies any Filter.  It also
 may make other Handler specific checks that might prevent a
 handler from logging the LogRecord. It will return false if
 the LogRecord is null.
 

Parameters:
record - a LogRecord
Returns:
true if the LogRecord would be logged.


"
Handler,publish(LogRecord record),abstract void,Publish a LogRecord.,"

publish
public abstract void publish(LogRecord record)
Publish a LogRecord.
 
 The logging request was made initially to a Logger object,
 which initialized the LogRecord and forwarded it here.
 
 The Handler  is responsible for formatting the message, when and
 if necessary.  The formatting should include localization.

Parameters:
record - description of the log event. A null record is
                 silently ignored and is not published


"
Handler,"reportError(String msg, Exception ex, int code)",protected void,Protected convenience method to report an error to this Handler's ErrorManager.,"

reportError
protected void reportError(String msg,
                           Exception ex,
                           int code)
Protected convenience method to report an error to this Handler's
 ErrorManager.  Note that this method retrieves and uses the ErrorManager
 without doing a security check.  It can therefore be used in
 environments where the caller may be non-privileged.

Parameters:
msg - a descriptive string (may be null)
ex - an exception (may be null)
code - an error code defined in ErrorManager


"
Handler,setEncoding(String encoding),void,Set the character encoding used by this Handler.,"

setEncoding
public void setEncoding(String encoding)
                 throws SecurityException,
                        UnsupportedEncodingException
Set the character encoding used by this Handler.
 
 The encoding should be set before any LogRecords are written
 to the Handler.

Parameters:
encoding - The name of a supported character encoding.
        May be null, to indicate the default platform encoding.
Throws:
SecurityException - if a security manager exists and if
             the caller does not have LoggingPermission(""control"").
UnsupportedEncodingException - if the named encoding is
          not supported.


"
Handler,setErrorManager(ErrorManager em),void,Define an ErrorManager for this Handler.,"

setErrorManager
public void setErrorManager(ErrorManager em)
Define an ErrorManager for this Handler.
 
 The ErrorManager's ""error"" method will be invoked if any
 errors occur while using this Handler.

Parameters:
em - the new ErrorManager
Throws:
SecurityException - if a security manager exists and if
             the caller does not have LoggingPermission(""control"").


"
