Sample Number,ClassName,Snippet Number,Method,Exist
0,AppConfigurationEntry,1,boolean add(E e),False
0,AppConfigurationEntry,2,"void add(int index, E element)",False
0,AppConfigurationEntry,3,void clear(),False
0,AppConfigurationEntry,4,boolean contains(Object o),False
0,AppConfigurationEntry,5,E get(int index),False
0,AppConfigurationEntry,6,int indexOf(Object o),False
0,AppConfigurationEntry,7,boolean isEmpty(),False
0,AppConfigurationEntry,8,E remove(int index),False
0,AppConfigurationEntry,9,boolean remove(Object o),False
0,AppConfigurationEntry,10,"E set(int index, E element)",False
0,AppConfigurationEntry,11,int size(),False
0,AppConfigurationEntry,12,Object[] toArray(),False
0,AppConfigurationEntry,13,<T> T[] toArray(T[] a),False
1,AppConfigurationEntry.LoginModuleControlFlag,1,boolean isAuthenticate(),False
1,AppConfigurationEntry.LoginModuleControlFlag,2,boolean isUserLevel(),False
1,AppConfigurationEntry.LoginModuleControlFlag,3,boolean isLoginLevel(),False
1,AppConfigurationEntry.LoginModuleControlFlag,4,boolean isSuccessLevel(),False
1,AppConfigurationEntry.LoginModuleControlFlag,5,boolean isAbort(),False
2,Configuration,1,"void add(String name, LoginModule lm)",False
2,Configuration,2,LoginModule getLoginModule(String name),False
2,Configuration,3,void refresh(),True
2,Configuration,4,void remove(String name),False
2,Configuration,5,Enumeration<String> getLoginModuleNames(),False
3,ConfigurationSpi,1,void refresh(),False
3,ConfigurationSpi,2,void commit(),False
3,ConfigurationSpi,3,void rollback(),False
3,ConfigurationSpi,4,boolean isReadOnly(),False
3,ConfigurationSpi,5,boolean isCommitted(),False
4,LoginContext,1,void login() throws LoginException,True
4,LoginContext,2,Subject getSubject(),True
4,LoginContext,3,void logout() throws LoginException,True
4,LoginContext,4,void setCallbackHandler(CallbackHandler callbackHandler),False
4,LoginContext,5,void refresh() throws LoginException,False
