Sample Number,ClassName,Snippet Number,Method,Exist
0,Endpoint,1,void publish(Object implementor),True
0,Endpoint,2,"void publish(String address, Object implementor)",False
0,Endpoint,3,void stop(),True
0,Endpoint,4,void setExecutor(Executor executor),True
0,Endpoint,5,Binding getBinding(),True
1,EndpointContext,1,javax.xml.ws.Endpoint getEndpoint(),False
1,EndpointContext,2,java.util.List<ServiceRef> getServiceRefs(),False
1,EndpointContext,3,void setEndpoint(javax.xml.ws.Endpoint endpoint),False
1,EndpointContext,4,void setServiceRefs(java.util.List<ServiceRef> serviceRefs),False
1,EndpointContext,5,"java.util.Map<java.lang.String, java.lang.Object> getProperties()",False
2,EndpointReference,1,Element getAddress(),False
2,EndpointReference,2,List<Attr> getAttributes(),False
2,EndpointReference,3,List<Element> getReferenceParameters(),False
2,EndpointReference,4,Element get(),False
2,EndpointReference,5,void addReferenceParameters(List<Element> referenceParameters),False
4,RespectBindingFeature,1,boolean isEnabled(),False
4,RespectBindingFeature,2,String getID(),True
4,RespectBindingFeature,3,RespectBindingFeature(),False
4,RespectBindingFeature,4,RespectBindingFeature(boolean enabled),False
4,RespectBindingFeature,5,void setEnabled(boolean enabled),False
5,Service,1,QName getServiceName(),True
5,Service,2,Endpoint getPort(Class<T> serviceEndpointInterface),False
5,Service,3,HandlerResolver getHandlerResolver(),True
5,Service,4,java.util.Iterator<QName> getPorts(),False
5,Service,5,Executor getExecutor(),True
6,WebServiceFeature,1,List<WebServiceFeature> getFeatures(),False
6,WebServiceFeature,2,WebServiceFeature[] toArray(),False
6,WebServiceFeature,3,void clear(),False
6,WebServiceFeature,4,boolean isEmpty(),False
6,WebServiceFeature,5,int size(),False
7,WebServicePermission,1,void checkPermission(WebServicePermission perm),False
7,WebServicePermission,2,boolean implies(Permission permission),False
7,WebServicePermission,3,String getName(),False
7,WebServicePermission,4,void setActions(String actions),False
7,WebServicePermission,5,boolean equals(Object obj),False
