ClassName,Method,Return Type,Description
AbstractMarshallerImpl,getAdapter(Class<A> type),<A extends XmlAdapter>A,Gets the adapter associated with the specified type.
AbstractMarshallerImpl,getAttachmentMarshaller(),AttachmentMarshaller,NULL
AbstractMarshallerImpl,getEncoding(),protected String,Convenience method for getting the current output encoding.
AbstractMarshallerImpl,getEventHandler(),ValidationEventHandler,Return the current event handler or the default event handler if one hasn't been set.
AbstractMarshallerImpl,getJavaEncoding(String encoding),protected String,Gets the corresponding Java encoding name from an IANA name.
AbstractMarshallerImpl,getListener(),Marshaller.Listener,Return Marshaller.Listener registered with this Marshaller.
AbstractMarshallerImpl,getNode(Object obj),Node,"By default, the getNode method is unsupported and throw an UnsupportedOperationException."
AbstractMarshallerImpl,getNoNSSchemaLocation(),protected String,Convenience method for getting the current noNamespaceSchemaLocation.
AbstractMarshallerImpl,getProperty(String name),Object,Default implementation of the getProperty method handles the four defined properties in Marshaller.
AbstractMarshallerImpl,getSchema(),Schema,Get the JAXP 1.3 Schema object being used to perform marshal-time validation.
AbstractMarshallerImpl,getSchemaLocation(),protected String,Convenience method for getting the current schemaLocation.
AbstractMarshallerImpl,isFormattedOutput(),protected boolean,Convenience method for getting the formatted output flag.
AbstractMarshallerImpl,isFragment(),protected boolean,Convenience method for getting the fragment flag.
AbstractMarshallerImpl,"marshal(Object obj, ContentHandler handler)",void,Marshal the content tree rooted at jaxbElement into SAX2 events.
AbstractMarshallerImpl,"marshal(Object jaxbElement, File output)",void,Marshal the content tree rooted at jaxbElement into a file.
AbstractMarshallerImpl,"marshal(Object obj, Node node)",void,Marshal the content tree rooted at jaxbElement into a DOM tree.
AbstractMarshallerImpl,"marshal(Object obj, OutputStream os)",void,Marshal the content tree rooted at jaxbElement into an output stream.
AbstractMarshallerImpl,"marshal(Object obj, Writer w)",void,Marshal the content tree rooted at jaxbElement into a Writer.
AbstractMarshallerImpl,"marshal(Object obj, XMLEventWriter writer)",void,Marshal the content tree rooted at jaxbElement into a XMLEventWriter.
AbstractMarshallerImpl,"marshal(Object obj, XMLStreamWriter writer)",void,Marshal the content tree rooted at jaxbElement into a XMLStreamWriter.
AbstractMarshallerImpl,"setAdapter(Class<A> type, A adapter)",<A extends XmlAdapter>void,Associates a configured instance of XmlAdapter with this marshaller.
AbstractMarshallerImpl,setAdapter(XmlAdapter adapter),void,Associates a configured instance of XmlAdapter with this marshaller.
AbstractMarshallerImpl,setAttachmentMarshaller(AttachmentMarshaller am),void,Associate a context that enables binary data within an XML document to be transmitted as XML-binary optimized attachment.
AbstractMarshallerImpl,setEncoding(String encoding),protected void,Convenience method for setting the output encoding.
AbstractMarshallerImpl,setEventHandler(ValidationEventHandler handler),void,Allow an application to register a validation event handler.
AbstractMarshallerImpl,setFormattedOutput(boolean v),protected void,Convenience method for setting the formatted output flag.
AbstractMarshallerImpl,setFragment(boolean v),protected void,Convenience method for setting the fragment flag.
AbstractMarshallerImpl,setListener(Marshaller.Listener listener),void,Register marshal event callback Marshaller.Listener with this Marshaller.
AbstractMarshallerImpl,setNoNSSchemaLocation(String location),protected void,Convenience method for setting the noNamespaceSchemaLocation.
AbstractMarshallerImpl,"setProperty(String name, Object value)",void,Default implementation of the setProperty method handles the four defined properties in Marshaller.
AbstractMarshallerImpl,setSchema(Schema schema),void,Specify the JAXP 1.3 Schema object that should be used to validate subsequent marshal operations against.
AbstractMarshallerImpl,setSchemaLocation(String location),protected void,Convenience method for setting the schemaLocation.
AbstractUnmarshallerImpl,createUnmarshalException(SAXException e),protected UnmarshalException,Creates an UnmarshalException from a SAXException.
AbstractUnmarshallerImpl,getAdapter(Class<A> type),<A extends XmlAdapter>A,Gets the adapter associated with the specified type.
AbstractUnmarshallerImpl,getAttachmentUnmarshaller(),AttachmentUnmarshaller,NULL
AbstractUnmarshallerImpl,getEventHandler(),ValidationEventHandler,Return the current event handler or the default event handler if one hasn't been set.
AbstractUnmarshallerImpl,getListener(),Unmarshaller.Listener,Return Unmarshaller.Listener registered with this Unmarshaller.
AbstractUnmarshallerImpl,getProperty(String name),Object,Default implementation of the getProperty method always throws PropertyException since there are no required properties.
AbstractUnmarshallerImpl,getSchema(),Schema,Get the JAXP 1.3 Schema object being used to perform unmarshal-time validation.
AbstractUnmarshallerImpl,getXMLReader(),protected XMLReader,Obtains a configured XMLReader.
AbstractUnmarshallerImpl,isValidating(),boolean,Indicates whether or not the Unmarshaller is configured to validate during unmarshal operations.
AbstractUnmarshallerImpl,"setAdapter(Class<A> type, A adapter)",<A extends XmlAdapter>void,Associates a configured instance of XmlAdapter with this unmarshaller.
AbstractUnmarshallerImpl,setAdapter(XmlAdapter adapter),void,Associates a configured instance of XmlAdapter with this unmarshaller.
AbstractUnmarshallerImpl,setAttachmentUnmarshaller(AttachmentUnmarshaller au),void,"Associate a context that resolves cid's, content-id URIs, to binary data passed as attachments."
AbstractUnmarshallerImpl,setEventHandler(ValidationEventHandler handler),void,Allow an application to register a validation event handler.
AbstractUnmarshallerImpl,setListener(Unmarshaller.Listener listener),void,Register unmarshal event callback Unmarshaller.Listener with this Unmarshaller.
AbstractUnmarshallerImpl,"setProperty(String name, Object value)",void,Default implementation of the setProperty method always throws PropertyException since there are no required properties.
AbstractUnmarshallerImpl,setSchema(Schema schema),void,Specify the JAXP 1.3 Schema object that should be used to validate subsequent unmarshal operations against.
AbstractUnmarshallerImpl,setValidating(boolean validating),void,Specifies whether or not the Unmarshaller should validate during unmarshal operations.
AbstractUnmarshallerImpl,unmarshal(File f),Object,Unmarshal XML data from the specified file and return the resulting content tree.
AbstractUnmarshallerImpl,unmarshal(InputSource source),Object,Unmarshal XML data from the specified SAX InputSource and return the resulting content tree.
AbstractUnmarshallerImpl,unmarshal(InputStream is),Object,Unmarshal XML data from the specified InputStream and return the resulting content tree.
AbstractUnmarshallerImpl,"unmarshal(Node node, Class<T> expectedType)",<T> JAXBElement<T>,Unmarshal XML data by JAXB mapped declaredType and return the resulting content tree.
AbstractUnmarshallerImpl,unmarshal(Reader reader),Object,Unmarshal XML data from the specified Reader and return the resulting content tree.
AbstractUnmarshallerImpl,unmarshal(Source source),Object,Unmarshal XML data from the specified XML Source and return the resulting content tree.
AbstractUnmarshallerImpl,"unmarshal(Source source, Class<T> expectedType)",<T> JAXBElement<T>,Unmarshal XML data from the specified XML Source by declaredType and return the resulting content tree.
AbstractUnmarshallerImpl,unmarshal(URL url),Object,Unmarshal XML data from the specified URL and return the resulting content tree.
AbstractUnmarshallerImpl,unmarshal(XMLEventReader reader),Object,Unmarshal XML data from the specified pull parser and return the resulting content tree.
AbstractUnmarshallerImpl,"unmarshal(XMLEventReader reader, Class<T> expectedType)",<T> JAXBElement<T>,Unmarshal root element to JAXB mapped declaredType and return the resulting content tree.
AbstractUnmarshallerImpl,"unmarshal(XMLReader reader, InputSource source)",protected abstract Object,Unmarshals an object by using the specified XMLReader and the InputSource.
AbstractUnmarshallerImpl,unmarshal(XMLStreamReader reader),Object,Unmarshal XML data from the specified pull parser and return the resulting content tree.
AbstractUnmarshallerImpl,"unmarshal(XMLStreamReader reader, Class<T> expectedType)",<T> JAXBElement<T>,Unmarshal root element to JAXB mapped declaredType and return the resulting content tree.
DefaultValidationEventHandler,handleEvent(ValidationEvent event),boolean,Receive notification of a validation warning or error.
ValidationEventImpl,getLinkedException(),Throwable,Retrieve the linked exception for this warning/error.
ValidationEventImpl,getLocator(),ValidationEventLocator,Retrieve the locator for this warning/error.
ValidationEventImpl,getMessage(),String,Retrieve the text message for this warning/error.
ValidationEventImpl,getSeverity(),int,Retrieve the severity code for this warning/error.
ValidationEventImpl,setLinkedException(Throwable _linkedException),void,Set the linked exception field of this event.
ValidationEventImpl,setLocator(ValidationEventLocator _locator),void,Set the locator object for this event.
ValidationEventImpl,setMessage(String _message),void,Set the message field of this event.
ValidationEventImpl,setSeverity(int _severity),void,Set the severity field of this event.
ValidationEventImpl,toString(),String,Returns a string representation of this object in a format helpful to debugging.
ValidationEventLocatorImpl,getColumnNumber(),int,Return the column number if available
ValidationEventLocatorImpl,getLineNumber(),int,Return the line number if available
ValidationEventLocatorImpl,getNode(),Node,Return a reference to the DOM Node if available
ValidationEventLocatorImpl,getObject(),Object,Return a reference to the object in the Java content tree if available
ValidationEventLocatorImpl,getOffset(),int,Return the byte offset if available
ValidationEventLocatorImpl,getURL(),URL,Return the name of the XML source as a URL if available
ValidationEventLocatorImpl,setColumnNumber(int _columnNumber),void,Set the columnNumber field on this event locator.
ValidationEventLocatorImpl,setLineNumber(int _lineNumber),void,Set the lineNumber field on this event locator.
ValidationEventLocatorImpl,setNode(Node _node),void,Set the Node field on this event locator.
ValidationEventLocatorImpl,setObject(Object _object),void,Set the Object field on this event locator.
ValidationEventLocatorImpl,setOffset(int _offset),void,Set the offset field on this event locator.
ValidationEventLocatorImpl,setURL(URL _url),void,Set the URL field on this event locator.
ValidationEventLocatorImpl,toString(),String,Returns a string representation of this object in a format helpful to debugging.
