ClassName,Method,Return Type,Description,Full Description
Invoker,inject(WebServiceContext webServiceContext),abstract void,JAX-WS runtimes calls this method to ask container to inject WebServiceContext on the endpoint instance.,"

inject
public abstract void inject(WebServiceContext webServiceContext)
                     throws IllegalAccessException,
                            IllegalArgumentException,
                            InvocationTargetException
JAX-WS runtimes calls this method to ask container to inject
 WebServiceContext on the endpoint instance. The
 WebServiceContext object uses thread-local information
 to return the correct information during the actual endpoint invocation
 regardless of how many threads are concurrently being used to serve
 requests.

Parameters:
webServiceContext - a holder for MessageContext
Throws:
IllegalAccessException - if the injection done
         by reflection API throws this exception
IllegalArgumentException - if the injection done
         by reflection API throws this exception
InvocationTargetException - if the injection done
         by reflection API throws this exception


"
Invoker,"invoke(Method m, Object... args)",abstract Object,JAX-WS runtime calls this method to do the actual web service invocation on endpoint instance.,"

invoke
public abstract Object invoke(Method m,
                              Object... args)
                       throws IllegalAccessException,
                              IllegalArgumentException,
                              InvocationTargetException
JAX-WS runtime calls this method to do the actual web service
 invocation on endpoint instance. The injected
 WebServiceContext.getMessageContext() gives the correct
 information for this invocation.

Parameters:
m - Method to be invoked on the service
args - Method arguments
Returns:
return value of the method
Throws:
IllegalAccessException - if the invocation done
         by reflection API throws this exception
IllegalArgumentException - if the invocation done
         by reflection API throws this exception
InvocationTargetException - if the invocation done
         by reflection API throws this exception
See Also:
Method.invoke(java.lang.Object, java.lang.Object...)


"
Provider,"createAndPublishEndpoint(String address, Object implementor)",abstract Endpoint,Creates and publishes an endpoint object with the specified address and implementation object.,"

createAndPublishEndpoint
public abstract Endpoint createAndPublishEndpoint(String address,
                                                  Object implementor)
Creates and publishes an endpoint object with the specified
 address and implementation object.

Parameters:
address - A URI specifying the address and transport/protocol
        to use. A http: URI MUST result in the SOAP 1.1/HTTP
        binding being used. Implementations may support other
        URI schemes.
implementor - A service implementation object to which
        incoming requests will be dispatched. The corresponding
        class MUST be annotated with all the necessary Web service
        annotations.
Returns:
The newly created endpoint.


"
Provider,"createAndPublishEndpoint(String address, Object implementor, WebServiceFeature... features)",Endpoint,"Creates and publishes an endpoint object with the specified address, implementation object and web service features.","

createAndPublishEndpoint
public Endpoint createAndPublishEndpoint(String address,
                                         Object implementor,
                                         WebServiceFeature... features)
Creates and publishes an endpoint object with the specified
 address, implementation object and web service features.
 Provider implementations must override the
 default implementation.

Parameters:
address - A URI specifying the address and transport/protocol
        to use. A http: URI MUST result in the SOAP 1.1/HTTP
        binding being used. Implementations may support other
        URI schemes.
implementor - A service implementation object to which
        incoming requests will be dispatched. The corresponding
        class MUST be annotated with all the necessary Web service
        annotations.
features - A list of WebServiceFeatures to configure on the
        endpoint.  Supported features not in the features
         parameter will have their default values.
Returns:
The newly created endpoint.
Since:
JAX-WS 2.2


"
Provider,"createEndpoint(String bindingId, Class<?> implementorClass, Invoker invoker, WebServiceFeature... features)",Endpoint,"Creates an endpoint object with the provided binding, implementation class, invoker and web service features.","

createEndpoint
public Endpoint createEndpoint(String bindingId,
                               Class<?> implementorClass,
                               Invoker invoker,
                               WebServiceFeature... features)
Creates an endpoint object with the provided binding, implementation
 class, invoker and web service features. Containers typically use
 this to create Endpoint objects. Provider
 implementations must override the default implementation.

Parameters:
bindingId - A URI specifying the desired binding (e.g. SOAP/HTTP).
        Can be null.
implementorClass - A service implementation class that
        MUST be annotated with all the necessary Web service
        annotations.
invoker - that does the actual invocation on the service instance.
features - A list of WebServiceFeatures to configure on the
        endpoint.  Supported features not in the features
         parameter will have their default values.
Returns:
The newly created endpoint.
Since:
JAX-WS 2.2


"
Provider,"createEndpoint(String bindingId, Object implementor)",abstract Endpoint,Creates an endpoint object with the provided binding and implementation object.,"

createEndpoint
public abstract Endpoint createEndpoint(String bindingId,
                                        Object implementor)
Creates an endpoint object with the provided binding and implementation
 object.

Parameters:
bindingId - A URI specifying the desired binding (e.g. SOAP/HTTP)
implementor - A service implementation object to which
        incoming requests will be dispatched. The corresponding
        class MUST be annotated with all the necessary Web service
        annotations.
Returns:
The newly created endpoint.


"
Provider,"createEndpoint(String bindingId, Object implementor, WebServiceFeature... features)",Endpoint,"Creates an endpoint object with the provided binding, implementation object and web service features.","

createEndpoint
public Endpoint createEndpoint(String bindingId,
                               Object implementor,
                               WebServiceFeature... features)
Creates an endpoint object with the provided binding, implementation
 object and web service features. Provider implementations
 must override the default implementation.

Parameters:
bindingId - A URI specifying the desired binding (e.g. SOAP/HTTP)
implementor - A service implementation object to which
        incoming requests will be dispatched. The corresponding
        class MUST be annotated with all the necessary Web service
        annotations.
features - A list of WebServiceFeatures to configure on the
        endpoint.  Supported features not in the features
         parameter will have their default values.
Returns:
The newly created endpoint.
Since:
JAX-WS 2.2


"
Provider,"createServiceDelegate(URL wsdlDocumentLocation, QName serviceName, Class<? extends Service> serviceClass)",abstract ServiceDelegate,Creates a service delegate object.,"

createServiceDelegate
public abstract ServiceDelegate createServiceDelegate(URL wsdlDocumentLocation,
                                                      QName serviceName,
                                                      Class<? extends Service> serviceClass)
Creates a service delegate object.
 

Parameters:
wsdlDocumentLocation - A URL pointing to the WSDL document
        for the service, or null if there isn't one.
serviceName - The qualified name of the service.
serviceClass - The service class, which MUST be either
        javax.xml.ws.Service or a subclass thereof.
Returns:
The newly created service delegate.


"
Provider,"createServiceDelegate(URL wsdlDocumentLocation, QName serviceName, Class<? extends Service> serviceClass, WebServiceFeature... features)",ServiceDelegate,Creates a service delegate object.,"

createServiceDelegate
public ServiceDelegate createServiceDelegate(URL wsdlDocumentLocation,
                                             QName serviceName,
                                             Class<? extends Service> serviceClass,
                                             WebServiceFeature... features)
Creates a service delegate object.
 

Parameters:
wsdlDocumentLocation - A URL pointing to the WSDL document
        for the service, or null if there isn't one.
serviceName - The qualified name of the service.
serviceClass - The service class, which MUST be either
        javax.xml.ws.Service or a subclass thereof.
features - Web Service features that must be configured on
        the service. If the provider doesn't understand a feature,
        it must throw a WebServiceException.
Returns:
The newly created service delegate.
Since:
JAX-WS 2.2


"
Provider,"createW3CEndpointReference(String address, QName serviceName, QName portName, List<Element> metadata, String wsdlDocumentLocation, List<Element> referenceParameters)",abstract W3CEndpointReference,Factory method to create a W3CEndpointReference.,"

createW3CEndpointReference
public abstract W3CEndpointReference createW3CEndpointReference(String address,
                                                                QName serviceName,
                                                                QName portName,
                                                                List<Element> metadata,
                                                                String wsdlDocumentLocation,
                                                                List<Element> referenceParameters)
Factory method to create a W3CEndpointReference.

 
 This method can be used to create a W3CEndpointReference
 for any endpoint by specifying the address property along
 with any other desired properties.  This method
 can also be used to create a W3CEndpointReference for
 an endpoint that is published by the same Java EE application.
 To do so the address property can be provided or this
 method can automatically determine the address of
 an endpoint that is published by the same Java EE application and is
 identified by the serviceName and
 portName propeties.  If the address is
 null and the serviceName and
 portName do not identify an endpoint published by the
 same Java EE application, a
 javax.lang.IllegalStateException MUST be thrown.

Parameters:
address - Specifies the address of the target endpoint
serviceName - Qualified name of the service in the WSDL.
portName - Qualified name of the endpoint in the WSDL.
metadata - A list of elements that should be added to the
 W3CEndpointReference instances wsa:metadata
 element.
wsdlDocumentLocation - URL for the WSDL document location for
 the service.
referenceParameters - Reference parameters to be associated
 with the returned EndpointReference instance.
Returns:
the W3CEndpointReference created from
          serviceName, portName,
          metadata, wsdlDocumentLocation
          and referenceParameters. This method
          never returns null.
Throws:
IllegalStateException - 
If the address, serviceName and
            portName are all null.
        If the serviceName service is null and the
            portName is NOT null.
        If the address property is null and
            the serviceName and portName do not
            specify a valid endpoint published by the same Java EE
            application.
        If the serviceNameis NOT null
             and is not present in the specified WSDL.
        If the portName port is not null and it
             is not present in serviceName service in the WSDL.
        If the wsdlDocumentLocation is NOT null
            and does not represent a valid WSDL.
     
WebServiceException - If an error occurs while creating the
                             W3CEndpointReference.
Since:
JAX-WS 2.1


"
