Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,Clock,1,Clock.systemDefaultZone(),False,,NULL
0,Clock,2,Clock.systemUTC(),False,,NULL
0,Clock,3,Clock.tickSeconds(ZoneId zone),False,,NULL
0,Clock,4,"Clock.fixed(Instant instant, ZoneId zone)",False,,NULL
0,Clock,5,"Clock.offset(Clock baseClock, Duration offset)",False,,NULL
1,Duration,1,"Duration.between(Temporal startInclusive, Temporal endExclusive)",False,,NULL
1,Duration,2,"Duration.of(long amount, TemporalUnit unit)",False,,NULL
1,Duration,3,Duration.ofDays(long days),False,,NULL
1,Duration,4,Duration.ofHours(long hours),False,,NULL
1,Duration,5,Duration.ofMinutes(long minutes),False,,NULL
1,Duration,6,Duration.ofSeconds(long seconds),False,,NULL
1,Duration,7,Duration.ofMillis(long millis),False,,NULL
1,Duration,8,Duration.ofNanos(long nanos),False,,NULL
1,Duration,9,"Duration.ofSeconds(long seconds, int nanoAdjustment)",False,,NULL
1,Duration,10,"Duration.of(long amount, ChronoUnit unit)",False,,NULL
1,Duration,11,"Duration.of(long amount, TemporalUnit unit, ChronoField field)",False,,NULL
1,Duration,12,"Duration.of(long amount, TemporalUnit unit, TemporalField field)",False,,NULL
1,Duration,13,"Duration.of(long amount, TemporalUnit unit, TemporalAdjuster adjuster)",False,,NULL
1,Duration,14,"Duration.of(long amount, TemporalUnit unit, TemporalAdjuster adjuster, TemporalField field)",False,,NULL
1,Duration,15,"Duration.of(long amount, TemporalUnit unit, TemporalAdjuster adjuster, TemporalField field, TemporalAdjuster adjuster2)",False,,NULL
1,Duration,16,"Duration.of(long amount, TemporalUnit unit, TemporalAdjuster adjuster, TemporalField field, TemporalAdjuster adjuster2, TemporalField field2)",False,,NULL
1,Duration,17,"Duration.of(long amount, TemporalUnit unit, TemporalAdjuster adjuster, TemporalField field, TemporalAdjuster adjuster2, TemporalField field2, TemporalAdjuster adjuster3)",False,,NULL
1,Duration,18,"Duration.of(long amount, TemporalUnit unit, TemporalAdjuster adjuster, TemporalField field, TemporalAdjuster adjuster2, TemporalField field2, TemporalAdjuster adjuster3, TemporalField field3)",False,,NULL
1,Duration,19,"Duration.of(long amount, TemporalUnit unit, TemporalAdjuster adjuster, TemporalField field, TemporalAdjuster adjuster2, TemporalField field2, TemporalAdjuster adjuster3, TemporalField field3, TemporalAdjuster adjuster4)",False,,NULL
1,Duration,20,"Duration.of(long amount, TemporalUnit unit, TemporalAdjuster adjuster, TemporalField field, TemporalAdjuster adjuster2, TemporalField field2, TemporalAdjuster adjuster3, TemporalField field3, TemporalAdjuster adjuster4, TemporalField field4)",False,,NULL
2,Instant,1,Instant now(),True,Obtains the current instant from the system clock.,"

now
public static Instant now()
Obtains the current instant from the system clock.
 
 This will query the system UTC clock to
 obtain the current instant.
 
 Using this method will prevent the ability to use an alternate time-source for
 testing because the clock is effectively hard-coded.

Returns:
the current instant using the system clock, not null


"
2,Instant,2,Instant ofEpochSecond(long epochSecond),True,Obtains an instance of Instant using seconds from the epoch of 1970-01-01T00:00:00Z.,"

ofEpochSecond
public static Instant ofEpochSecond(long epochSecond)
Obtains an instance of Instant using seconds from the
 epoch of 1970-01-01T00:00:00Z.
 
 The nanosecond field is set to zero.

Parameters:
epochSecond - the number of seconds from 1970-01-01T00:00:00Z
Returns:
an instant, not null
Throws:
DateTimeException - if the instant exceeds the maximum or minimum instant


"
