Sample Number,ClassName,Snippet Number,Method,Exist
0,AbstractMarshallerImpl,1,"void setProperty(String name, Object value)",True
0,AbstractMarshallerImpl,2,Object getProperty(String name),True
0,AbstractMarshallerImpl,3,void setListener(ValidationEventHandler handler),False
0,AbstractMarshallerImpl,4,void setEventHandler(ValidationEventHandler handler),True
0,AbstractMarshallerImpl,5,"void setProperty(String name, Object value)",True
1,AbstractUnmarshallerImpl,1,void setListener(UnmarshallerListener listener),False
1,AbstractUnmarshallerImpl,2,void setEventHandler(Unmarshaller.EventHandler handler),False
1,AbstractUnmarshallerImpl,3,"void setProperty(String name, Object value)",True
1,AbstractUnmarshallerImpl,4,Object getProperty(String name),True
1,AbstractUnmarshallerImpl,5,void setXMLReaderFactory(XMLReaderFactory xmlrf),False
2,DefaultValidationEventHandler,1,void fatalError(ValidationEvent event),False
2,DefaultValidationEventHandler,2,void error(ValidationEvent event),False
2,DefaultValidationEventHandler,3,void warning(ValidationEvent event),False
2,DefaultValidationEventHandler,4,boolean handle(ValidationEvent event),False
2,DefaultValidationEventHandler,5,void setEventHandler(ValidationEventHandler next),False
3,NotIdentifiableEventImpl,1,void setParent(NotIdentifiableEventImpl parent),False
3,NotIdentifiableEventImpl,2,NotIdentifiableEventImpl getParent(),False
3,NotIdentifiableEventImpl,3,void setNext(NotIdentifiableEventImpl next),False
3,NotIdentifiableEventImpl,4,NotIdentifiableEventImpl getNext(),False
3,NotIdentifiableEventImpl,5,void setPrevious(NotIdentifiableEventImpl previous),False
3,NotIdentifiableEventImpl,6,NotIdentifiableEventImpl getPrevious(),False
3,NotIdentifiableEventImpl,7,void setSource(Object source),False
3,NotIdentifiableEventImpl,8,Object getSource(),False
3,NotIdentifiableEventImpl,9,void setId(String id),False
3,NotIdentifiableEventImpl,10,String getId(),False
3,NotIdentifiableEventImpl,11,void setSystemId(String systemId),False
3,NotIdentifiableEventImpl,12,String getSystemId(),False
3,NotIdentifiableEventImpl,13,void setBaseURI(String baseURI),False
3,NotIdentifiableEventImpl,14,String getBaseURI(),False
3,NotIdentifiableEventImpl,15,void setLocator(Locator locator),False
3,NotIdentifiableEventImpl,16,Locator getLocator(),False
3,NotIdentifiableEventImpl,17,void setError(Exception e),False
3,NotIdentifiableEventImpl,18,Exception getError(),False
3,NotIdentifiableEventImpl,19,void setRole(String role),False
3,NotIdentifiableEventImpl,20,String getRole(),False
3,NotIdentifiableEventImpl,21,void setScope(String scope),False
3,NotIdentifiableEventImpl,22,String getScope(),False
3,NotIdentifiableEventImpl,23,void setType(String type),False
3,NotIdentifiableEventImpl,24,String getType(),False
3,NotIdentifiableEventImpl,25,void setValue(String value),False
3,NotIdentifiableEventImpl,26,String getValue(),False
3,NotIdentifiableEventImpl,27,void setValue(Object value),False
3,NotIdentifiableEventImpl,28,Object getValue(),False
3,NotIdentifiableEventImpl,29,void setValue(boolean value),False
3,NotIdentifiableEventImpl,30,boolean getValue(),False
3,NotIdentifiableEventImpl,31,void setValue(int value),False
3,NotIdentifiableEventImpl,32,int getValue(),False
3,NotIdentifiableEventImpl,33,void setValue(float value),False
3,NotIdentifiableEventImpl,34,float getValue(),False
3,NotIdentifiableEventImpl,35,void setValue(double value),False
3,NotIdentifiableEventImpl,36,double getValue(),False
4,ParseConversionEventImpl,1,String getMessage(),False
4,ParseConversionEventImpl,2,Source getSource(),False
4,ParseConversionEventImpl,3,Object getParameter(String name),False
4,ParseConversionEventImpl,4,String[] getParameterNames(),False
4,ParseConversionEventImpl,5,int getLineNumber(),False
5,PrintConversionEventImpl,1,void setWriter(PrintWriter writer),False
5,PrintConversionEventImpl,2,void setListener(ConversionEvent.Listener listener),False
5,PrintConversionEventImpl,3,void setDocumentLocator(Locator locator),False
5,PrintConversionEventImpl,4,void setErrorListener(ErrorListener errorListener),False
5,PrintConversionEventImpl,5,"void setOutputProperties(Map<?,?> map)",False
6,ValidationEventImpl,1,String getMessage(),True
6,ValidationEventImpl,2,String getLinkedException(),False
6,ValidationEventImpl,3,String getLocator(),False
6,ValidationEventImpl,4,Validator getValidator(),False
6,ValidationEventImpl,5,int getEventType(),False
7,ValidationEventLocatorImpl,1,int getColumnNumber(),True
7,ValidationEventLocatorImpl,2,int getLineNumber(),True
7,ValidationEventLocatorImpl,3,Object getObject(),True
7,ValidationEventLocatorImpl,4,Node getNode(),True
7,ValidationEventLocatorImpl,5,Source getSource(),False
