ClassName,Method,Return Type,Description
ColorType,getID(),int,"Returns a unique id, as an integer, for this ColorType."
ColorType,toString(),String,Returns the textual description of this ColorType.
Region,getName(),String,Returns the name of the region.
Region,isSubregion(),boolean,"Returns true if the Region is a subregion of a Component, otherwise false."
Region,toString(),String,Returns the name of the Region.
SynthButtonUI,createUI(JComponent c),static ComponentUI,Creates a new UI object for the given component.
SynthButtonUI,"getBaseline(JComponent c, int width, int height)",int,Returns the baseline.
SynthButtonUI,getContext(JComponent c),SynthContext,Returns the Context for the specified component.
SynthButtonUI,getDefaultIcon(AbstractButton b),protected Icon,Returns the default icon.
SynthButtonUI,getIcon(AbstractButton b),protected Icon,Returns the Icon to use for painting the button.
SynthButtonUI,getMaximumSize(JComponent c),Dimension,Returns the specified component's maximum size appropriate for the look and feel.
SynthButtonUI,getMinimumSize(JComponent c),Dimension,Returns the specified component's minimum size appropriate for the look and feel.
SynthButtonUI,getPreferredSize(JComponent c),Dimension,Returns the specified component's preferred size appropriate for the look and feel.
SynthButtonUI,getSizingIcon(AbstractButton b),protected Icon,Returns the Icon used in calculating the preferred/minimum/maximum size.
SynthButtonUI,installDefaults(AbstractButton b),protected void,NULL
SynthButtonUI,installListeners(AbstractButton b),protected void,NULL
SynthButtonUI,"paint(Graphics g, JComponent c)",void,Paints the specified component according to the Look and Feel.
SynthButtonUI,"paint(SynthContext context, Graphics g)",protected void,Paints the specified component.
SynthButtonUI,"paintBorder(SynthContext context, Graphics g, int x, int y, int w, int h)",void,Paints the border.
SynthButtonUI,propertyChange(PropertyChangeEvent e),void,This method gets called when a bound property is changed.
SynthButtonUI,uninstallDefaults(AbstractButton b),protected void,NULL
SynthButtonUI,uninstallListeners(AbstractButton b),protected void,NULL
SynthButtonUI,"update(Graphics g, JComponent c)",void,Notifies this UI delegate to repaint the specified component.
SynthCheckBoxMenuItemUI,createUI(JComponent c),static ComponentUI,Creates a new UI object for the given component.
SynthCheckBoxMenuItemUI,getPropertyPrefix(),protected String,NULL
SynthCheckBoxMenuItemUI,"paintBorder(SynthContext context, Graphics g, int x, int y, int w, int h)",void,Paints the border.
SynthCheckBoxUI,createUI(JComponent b),static ComponentUI,Creates a new UI object for the given component.
SynthCheckBoxUI,getPropertyPrefix(),protected String,NULL
SynthCheckBoxUI,"paintBorder(SynthContext context, Graphics g, int x, int y, int w, int h)",void,Paints the border.
SynthColorChooserUI,createDefaultChoosers(),protected AbstractColorChooserPanel[],NULL
SynthColorChooserUI,createUI(JComponent c),static ComponentUI,Creates a new UI object for the given component.
SynthColorChooserUI,getContext(JComponent c),SynthContext,Returns the Context for the specified component.
SynthColorChooserUI,installDefaults(),protected void,NULL
SynthColorChooserUI,installListeners(),protected void,NULL
SynthColorChooserUI,"paint(Graphics g, JComponent c)",void,Paints the specified component according to the Look and Feel.
SynthColorChooserUI,"paint(SynthContext context, Graphics g)",protected void,Paints the specified component.
SynthColorChooserUI,"paintBorder(SynthContext context, Graphics g, int x, int y, int w, int h)",void,Paints the border.
SynthColorChooserUI,propertyChange(PropertyChangeEvent e),void,This method gets called when a bound property is changed.
SynthColorChooserUI,uninstallDefaults(),protected void,NULL
SynthColorChooserUI,uninstallListeners(),protected void,NULL
SynthColorChooserUI,"update(Graphics g, JComponent c)",void,Notifies this UI delegate to repaint the specified component.
SynthComboBoxUI,createArrowButton(),protected JButton,Creates a button which will be used as the control to show or hide the popup portion of the combo box.
SynthComboBoxUI,createEditor(),protected ComboBoxEditor,Creates the default editor that will be used in editable combo boxes.
SynthComboBoxUI,createPopup(),protected ComboPopup,Creates the popup portion of the combo box.
SynthComboBoxUI,createRenderer(),protected ListCellRenderer,Creates the default renderer that will be used in a non-editiable combo box.
SynthComboBoxUI,createUI(JComponent c),static ComponentUI,Creates a new UI object for the given component.
SynthComboBoxUI,getContext(JComponent c),SynthContext,Returns the Context for the specified component.
SynthComboBoxUI,getDefaultSize(),protected Dimension,Returns the default size of an empty display area of the combo box using the current renderer and font.
SynthComboBoxUI,installDefaults(),protected void,"Installs the default colors, default font, default renderer, and default editor into the JComboBox."
SynthComboBoxUI,installListeners(),protected void,Creates and installs listeners for the combo box and its model.
SynthComboBoxUI,installUI(JComponent c),void,Configures the specified component appropriately for the look and feel.
SynthComboBoxUI,"paint(Graphics g, JComponent c)",void,Paints the specified component according to the Look and Feel.
SynthComboBoxUI,"paint(SynthContext context, Graphics g)",protected void,Paints the specified component.
SynthComboBoxUI,"paintBorder(SynthContext context, Graphics g, int x, int y, int w, int h)",void,Paints the border.
SynthComboBoxUI,"paintCurrentValue(Graphics g, Rectangle bounds, boolean hasFocus)",void,Paints the currently selected item.
SynthComboBoxUI,propertyChange(PropertyChangeEvent e),void,This method gets called when a bound property is changed.
SynthComboBoxUI,uninstallDefaults(),protected void,"Uninstalls the default colors, default font, default renderer, and default editor from the combo box."
SynthComboBoxUI,uninstallListeners(),protected void,Removes the installed listeners from the combo box and its model.
SynthComboBoxUI,uninstallUI(JComponent c),void,Reverses configuration which was done on the specified component during installUI.
SynthComboBoxUI,"update(Graphics g, JComponent c)",void,Notifies this UI delegate to repaint the specified component.
SynthContext,getComponent(),JComponent,Returns the hosting component containing the region.
SynthContext,getComponentState(),int,"Returns the state of the widget, which is a bitmask of the values defined in SynthConstants."
SynthContext,getRegion(),Region,Returns the Region identifying this state.
SynthContext,getStyle(),SynthStyle,Returns the style associated with this Region.
SynthDesktopIconUI,createUI(JComponent c),static ComponentUI,Creates a new UI object for the given component.
SynthDesktopIconUI,getContext(JComponent c),SynthContext,Returns the Context for the specified component.
SynthDesktopIconUI,installComponents(),protected void,NULL
SynthDesktopIconUI,installDefaults(),protected void,NULL
SynthDesktopIconUI,installListeners(),protected void,NULL
SynthDesktopIconUI,"paint(Graphics g, JComponent c)",void,Paints the specified component according to the Look and Feel.
SynthDesktopIconUI,"paint(SynthContext context, Graphics g)",protected void,Paints the specified component.
SynthDesktopIconUI,"paintBorder(SynthContext context, Graphics g, int x, int y, int w, int h)",void,Paints the border.
SynthDesktopIconUI,propertyChange(PropertyChangeEvent evt),void,This method gets called when a bound property is changed.
SynthDesktopIconUI,uninstallDefaults(),protected void,NULL
SynthDesktopIconUI,uninstallListeners(),protected void,NULL
SynthDesktopIconUI,"update(Graphics g, JComponent c)",void,Notifies this UI delegate to repaint the specified component.
SynthDesktopPaneUI,createUI(JComponent c),static ComponentUI,Creates a new UI object for the given component.
SynthDesktopPaneUI,getContext(JComponent c),SynthContext,Returns the Context for the specified component.
SynthDesktopPaneUI,installDefaults(),protected void,NULL
SynthDesktopPaneUI,installDesktopManager(),protected void,NULL
SynthDesktopPaneUI,installListeners(),protected void,Installs the PropertyChangeListener returned from createPropertyChangeListener on the JDesktopPane.
SynthDesktopPaneUI,"paint(Graphics g, JComponent c)",void,Paints the specified component according to the Look and Feel.
SynthDesktopPaneUI,"paint(SynthContext context, Graphics g)",protected void,Paints the specified component.
SynthDesktopPaneUI,"paintBorder(SynthContext context, Graphics g, int x, int y, int w, int h)",void,Paints the border.
SynthDesktopPaneUI,propertyChange(PropertyChangeEvent evt),void,This method gets called when a bound property is changed.
SynthDesktopPaneUI,uninstallDefaults(),protected void,NULL
SynthDesktopPaneUI,uninstallDesktopManager(),protected void,NULL
SynthDesktopPaneUI,uninstallListeners(),protected void,Uninstalls the PropertyChangeListener returned from createPropertyChangeListener from the JDesktopPane.
