ClassName,Method,Return Type,Description,Full Description
BasicControl,getEncodedValue(),byte[],Retrieves the control's ASN.1 BER encoded value.,"

getEncodedValue
public byte[] getEncodedValue()
Retrieves the control's ASN.1 BER encoded value.
 The result includes the BER tag and length for the control's value but
 does not include the control's object identifier and criticality setting.

Specified by:
getEncodedValue in interface Control
Returns:
A possibly null byte array representing the control's
          ASN.1 BER encoded value. It is not cloned - any changes to the
          returned value will affect the contents of the control.


"
BasicControl,getID(),String,Retrieves the control's object identifier string.,"

getID
public String getID()
Retrieves the control's object identifier string.

Specified by:
getID in interface Control
Returns:
The non-null object identifier string.


"
BasicControl,isCritical(),boolean,Determines the control's criticality.,"

isCritical
public boolean isCritical()
Determines the control's criticality.

Specified by:
isCritical in interface Control
Returns:
true if the control is critical; false otherwise.


"
ControlFactory,getControlInstance(Control ctl),abstract Control,Creates a control using this control factory.,"

getControlInstance
public abstract Control getControlInstance(Control ctl)
                                    throws NamingException
Creates a control using this control factory.

 The factory is used by the service provider to return controls
 that it reads from the LDAP protocol as specialized control classes.
 Without this mechanism, the provider would be returning
 controls that only contained data in BER encoded format.

 Typically, ctl is a ""basic"" control containing
 BER encoded data. The factory is used to create a specialized
 control implementation, usually by decoding the BER encoded data,
 that provides methods to access that data in a type-safe and friendly
 manner.
 
 For example, a factory might use the BER encoded data in
 basic control and return an instance of a VirtualListReplyControl.

 If this factory cannot create a control using the argument supplied,
 it should return null.
 A factory should only throw an exception if it is sure that
 it is the only intended factory and that no other control factories
 should be tried. This might happen, for example, if the BER data
 in the control does not match what is expected of a control with
 the given OID. Since this method throws NamingException,
 any other internally generated exception that should be propagated
 must be wrapped inside a NamingException.

Parameters:
ctl - A non-null control.
Returns:
A possibly null Control.
Throws:
NamingException - If ctl contains invalid data that prevents it
 from being used to create a control. A factory should only throw
 an exception if it knows how to produce the control (identified by the OID)
 but is unable to because of, for example invalid BER data.


"
ControlFactory,"getControlInstance(Control ctl, Context ctx, Hashtable<?,?> env)",static Control,Creates a control using known control factories.,"

getControlInstance
public static Control getControlInstance(Control ctl,
                                         Context ctx,
                                         Hashtable<?,?> env)
                                  throws NamingException
Creates a control using known control factories.
 
 The following rule is used to create the control:

 Use the control factories specified in
    the LdapContext.CONTROL_FACTORIES property of the
    environment, and of the provider resource file associated with
    ctx, in that order.
    The value of this property is a colon-separated list of factory
    class names that are tried in order, and the first one that succeeds
    in creating the control is the one used.
    If none of the factories can be loaded,
    return ctl.
    If an exception is encountered while creating the control, the
    exception is passed up to the caller.


 Note that a control factory
 must be public and must have a public constructor that accepts no arguments.
 

Parameters:
ctl - The non-null control object containing the OID and BER data.
ctx - The possibly null context in which the control is being created.
 If null, no such information is available.
env - The possibly null environment of the context. This is used
 to find the value of the LdapContext.CONTROL_FACTORIES property.
Returns:
A control object created using ctl; or
         ctl if a control object cannot be created using
         the algorithm described above.
Throws:
NamingException - if a naming exception was encountered
         while attempting to create the control object.
         If one of the factories accessed throws an
         exception, it is propagated up to the caller.
 If an error was encountered while loading
 and instantiating the factory and object classes, the exception
 is wrapped inside a NamingException and then rethrown.


"
InitialLdapContext,extendedOperation(ExtendedRequest request),ExtendedResponse,Performs an extended operation.,"

extendedOperation
public ExtendedResponse extendedOperation(ExtendedRequest request)
                                   throws NamingException
Description copied from interface: LdapContext
Performs an extended operation.

 This method is used to support LDAPv3 extended operations.

Specified by:
extendedOperation in interface LdapContext
Parameters:
request - The non-null request to be performed.
Returns:
The possibly null response of the operation. null means
 the operation did not generate any response.
Throws:
NamingException - If an error occurred while performing the
 extended operation.


"
InitialLdapContext,getConnectControls(),Control[],Retrieves the connection request controls in effect for this context.,"

getConnectControls
public Control[] getConnectControls()
                             throws NamingException
Description copied from interface: LdapContext
Retrieves the connection request controls in effect for this context.
 The controls are owned by the JNDI implementation and are
 immutable. Neither the array nor the controls may be modified by the
 caller.

Specified by:
getConnectControls in interface LdapContext
Returns:
A possibly-null array of controls. null means no connect controls
 have been set for this context.
Throws:
NamingException - If an error occurred while getting the request
 controls.


"
InitialLdapContext,getRequestControls(),Control[],Retrieves the request controls in effect for this context.,"

getRequestControls
public Control[] getRequestControls()
                             throws NamingException
Description copied from interface: LdapContext
Retrieves the request controls in effect for this context.
 The request controls are owned by the JNDI implementation and are
 immutable. Neither the array nor the controls may be modified by the
 caller.

Specified by:
getRequestControls in interface LdapContext
Returns:
A possibly-null array of controls. null means no request controls
 have been set for this context.
Throws:
NamingException - If an error occurred while getting the request
 controls.
See Also:
LdapContext.setRequestControls(javax.naming.ldap.Control[])


"
InitialLdapContext,getResponseControls(),Control[],Retrieves the response controls produced as a result of the last method invoked on this context.,"

getResponseControls
public Control[] getResponseControls()
                              throws NamingException
Description copied from interface: LdapContext
Retrieves the response controls produced as a result of the last
 method invoked on this context.
 The response controls are owned by the JNDI implementation and are
 immutable. Neither the array nor the controls may be modified by the
 caller.

 These response controls might have been generated by a successful or
 failed operation.

 When a context method that may return response controls is invoked,
 response controls from the previous method invocation are cleared.
 getResponseControls() returns all of the response controls
 generated by LDAP operations used by the context method in the order
 received from the LDAP server.
 Invoking getResponseControls() does not
 clear the response controls. You can call it many times (and get
 back the same controls) until the next context method that may return
 controls is invoked.


Specified by:
getResponseControls in interface LdapContext
Returns:
A possibly null array of controls. If null, the previous
 method invoked on this context did not produce any controls.
Throws:
NamingException - If an error occurred while getting the response
 controls.


"
InitialLdapContext,newInstance(Control[] reqCtls),LdapContext,Creates a new instance of this context initialized using request controls.,"

newInstance
public LdapContext newInstance(Control[] reqCtls)
                        throws NamingException
Description copied from interface: LdapContext
Creates a new instance of this context initialized using request controls.

 This method is a convenience method for creating a new instance
 of this context for the purposes of multithreaded access.
 For example, if multiple threads want to use different context
 request controls,
 each thread may use this method to get its own copy of this context
 and set/get context request controls without having to synchronize with other
 threads.

 The new context has the same environment properties and connection
 request controls as this context. See the class description for details.
 Implementations might also allow this context and the new context
 to share the same network connection or other resources if doing
 so does not impede the independence of either context.

Specified by:
newInstance in interface LdapContext
Parameters:
reqCtls - The possibly null request controls
 to use for the new context.
 If null, the context is initialized with no request controls.
Returns:
A non-null LdapContext instance.
Throws:
NamingException - If an error occurred while creating
 the new instance.
See Also:
InitialLdapContext


"
InitialLdapContext,reconnect(Control[] connCtls),void,Reconnects to the LDAP server using the supplied controls and this context's environment.,"

reconnect
public void reconnect(Control[] connCtls)
               throws NamingException
Description copied from interface: LdapContext
Reconnects to the LDAP server using the supplied controls and
 this context's environment.

 This method is a way to explicitly initiate an LDAP ""bind"" operation.
 For example, you can use this method to set request controls for
 the LDAP ""bind"" operation, or to explicitly connect to the server
 to get response controls returned by the LDAP ""bind"" operation.

 This method sets this context's connCtls
 to be its new connection request controls. This context's
 context request controls are not affected.
 After this method has been invoked, any subsequent
 implicit reconnections will be done using connCtls.
 connCtls are also used as
 connection request controls for new context instances derived from this
 context.
 These connection request controls are not
 affected by setRequestControls().

 Service provider implementors should read the ""Service Provider"" section
 in the class description for implementation details.

Specified by:
reconnect in interface LdapContext
Parameters:
connCtls - The possibly null controls to use. If null, no
 controls are used.
Throws:
NamingException - If an error occurred while reconnecting.
See Also:
LdapContext.getConnectControls(), 
LdapContext.newInstance(javax.naming.ldap.Control[])


"
InitialLdapContext,setRequestControls(Control[] requestControls),void,Sets the request controls for methods subsequently invoked on this context.,"

setRequestControls
public void setRequestControls(Control[] requestControls)
                        throws NamingException
Description copied from interface: LdapContext
Sets the request controls for methods subsequently
 invoked on this context.
 The request controls are owned by the JNDI implementation and are
 immutable. Neither the array nor the controls may be modified by the
 caller.
 
 This removes any previous request controls and adds
 requestControls
 for use by subsequent methods invoked on this context.
 This method does not affect this context's connection request controls.

 Note that requestControls will be in effect until the next
 invocation of setRequestControls(). You need to explicitly
 invoke setRequestControls() with null or an empty
 array to clear the controls if you don't want them to affect the
 context methods any more.
 To check what request controls are in effect for this context, use
 getRequestControls().

Specified by:
setRequestControls in interface LdapContext
Parameters:
requestControls - The possibly null controls to use. If null, no
 controls are used.
Throws:
NamingException - If an error occurred while setting the
 request controls.
See Also:
LdapContext.getRequestControls()


"
