ClassName,Method,Return Type,Description,Full Description
Transformer,clearParameters(),abstract void,Clear all parameters set with setParameter.,"

clearParameters
public abstract void clearParameters()
Clear all parameters set with setParameter.

"
Transformer,getErrorListener(),abstract ErrorListener,Get the error event handler in effect for the transformation.,"

getErrorListener
public abstract ErrorListener getErrorListener()
Get the error event handler in effect for the transformation.
 Implementations must provide a default error listener.

Returns:
The current error handler, which should never be null.


"
Transformer,getOutputProperties(),abstract Properties,Get a copy of the output properties for the transformation.,"

getOutputProperties
public abstract Properties getOutputProperties()
Get a copy of the output properties for the transformation.
The properties returned should contain properties set by the user,
 and properties set by the stylesheet, and these properties
 are ""defaulted"" by default properties specified by
 section 16 of the
 XSL Transformations (XSLT) W3C Recommendation.  The properties that
 were specifically set by the user or the stylesheet should be in the base
 Properties list, while the XSLT default properties that were not
 specifically set should be the default Properties list.  Thus,
 getOutputProperties().getProperty(String key) will obtain any
 property in that was set by setOutputProperty(java.lang.String, java.lang.String),
 setOutputProperties(java.util.Properties), in the stylesheet, or the default
 properties, while
 getOutputProperties().get(String key) will only retrieve properties
 that were explicitly set by setOutputProperty(java.lang.String, java.lang.String),
 setOutputProperties(java.util.Properties), or in the stylesheet.
Note that mutation of the Properties object returned will not
 effect the properties that the transformer contains.
If any of the argument keys are not recognized and are not
 namespace qualified, the property will be ignored and not returned.
 In other words the behaviour is not orthogonal with
 setOutputProperties.

Returns:
A copy of the set of output properties in effect for
   the next transformation.
See Also:
OutputKeys, 
Properties, 

   XSL Transformations (XSLT) Version 1.0


"
Transformer,getOutputProperty(String name),abstract String,Get an output property that is in effect for the transformer.,"

getOutputProperty
public abstract String getOutputProperty(String name)
                                  throws IllegalArgumentException
Get an output property that is in effect for the transformer.
If a property has been set using setOutputProperty(java.lang.String, java.lang.String),
 that value will be returned. Otherwise, if a property is explicitly
 specified in the stylesheet, that value will be returned. If
 the value of the property has been defaulted, that is, if no
 value has been set explicitly either with setOutputProperty(java.lang.String, java.lang.String) or
 in the stylesheet, the result may vary depending on
 implementation and input stylesheet.

Parameters:
name - A non-null String that specifies an output
 property name, which may be namespace qualified.
Returns:
The string value of the output property, or null
 if no property was found.
Throws:
IllegalArgumentException - If the property is not supported.
See Also:
OutputKeys


"
Transformer,getParameter(String name),abstract Object,Get a parameter that was explicitly set with setParameter.,"

getParameter
public abstract Object getParameter(String name)
Get a parameter that was explicitly set with setParameter.

 This method does not return a default parameter value, which
 cannot be determined until the node context is evaluated during
 the transformation process.

Parameters:
name - of Object to get
Returns:
A parameter that has been set with setParameter.


"
Transformer,getURIResolver(),abstract URIResolver,Get an object that will be used to resolve URIs used in document().,"

getURIResolver
public abstract URIResolver getURIResolver()
Get an object that will be used to resolve URIs used in
 document().

Returns:
An object that implements the URIResolver interface,
 or null.


"
Transformer,reset(),void,Reset this Transformer to its original configuration.,"

reset
public void reset()
Reset this Transformer to its original configuration.
Transformer is reset to the same state as when it was created with
 TransformerFactory.newTransformer(),
 TransformerFactory.newTransformer(Source source) or
 Templates.newTransformer().
 reset() is designed to allow the reuse of existing Transformers
 thus saving resources associated with the creation of new Transformers.
The reset Transformer is not guaranteed to have the same URIResolver
 or ErrorListener Objects, e.g. Object.equals(Object obj).
 It is guaranteed to have a functionally equal URIResolver
 and ErrorListener.

Throws:
UnsupportedOperationException - When implementation does not
   override this method.
Since:
1.5


"
Transformer,setErrorListener(ErrorListener listener),abstract void,Set the error event listener in effect for the transformation.,"

setErrorListener
public abstract void setErrorListener(ErrorListener listener)
                               throws IllegalArgumentException
Set the error event listener in effect for the transformation.

Parameters:
listener - The new error listener.
Throws:
IllegalArgumentException - if listener is null.


"
Transformer,setOutputProperties(Properties oformat),abstract void,Set the output properties for the transformation.,"

setOutputProperties
public abstract void setOutputProperties(Properties oformat)
Set the output properties for the transformation.  These
 properties will override properties set in the Templates
 with xsl:output.

 If argument to this function is null, any properties
 previously set are removed, and the value will revert to the value
 defined in the templates object.
Pass a qualified property key name as a two-part string, the namespace
 URI enclosed in curly braces ({}), followed by the local name. If the
 name has a null URL, the String only contain the local name. An
 application can safely check for a non-null URI by testing to see if the
 first character of the name is a '{' character.
For example, if a URI and local name were obtained from an element
 defined with <xyz:foo
 xmlns:xyz=""http://xyz.foo.com/yada/baz.html""/>,
 then the qualified name would be ""{http://xyz.foo.com/yada/baz.html}foo"".
 Note that no prefix is used.
 An IllegalArgumentException is thrown  if any of the
 argument keys are not recognized and are not namespace qualified.

Parameters:
oformat - A set of output properties that will be
   used to override any of the same properties in affect
   for the transformation.
Throws:
IllegalArgumentException - When keys are not recognized and
   are not namespace qualified.
See Also:
OutputKeys, 
Properties


"
Transformer,"setOutputProperty(String name, String value)",abstract void,Set an output property that will be in effect for the transformation.,"

setOutputProperty
public abstract void setOutputProperty(String name,
                                       String value)
                                throws IllegalArgumentException
Set an output property that will be in effect for the
 transformation.

 Pass a qualified property name as a two-part string, the namespace URI
 enclosed in curly braces ({}), followed by the local name. If the
 name has a null URL, the String only contain the local name. An
 application can safely check for a non-null URI by testing to see if the
 first character of the name is a '{' character.
For example, if a URI and local name were obtained from an element
 defined with <xyz:foo
 xmlns:xyz=""http://xyz.foo.com/yada/baz.html""/>,
 then the qualified name would be ""{http://xyz.foo.com/yada/baz.html}foo"".
 Note that no prefix is used.
The Properties object that was passed to setOutputProperties(java.util.Properties)
 won't be effected by calling this method.

Parameters:
name - A non-null String that specifies an output
 property name, which may be namespace qualified.
value - The non-null string value of the output property.
Throws:
IllegalArgumentException - If the property is not supported, and is
 not qualified with a namespace.
See Also:
OutputKeys


"
