Sample Number,ClassName,Snippet Number,Method,Exist
0,DuplicateNameHelper,1,boolean equals(Object obj),False
0,DuplicateNameHelper,2,int hashCode(),False
0,DuplicateNameHelper,3,String toString(),False
0,DuplicateNameHelper,4,String getName(),False
0,DuplicateNameHelper,5,String getId(),False
1,InvalidNameHelper,1,int length(),False
1,InvalidNameHelper,2,char charAt(int index),False
1,InvalidNameHelper,3,int indexOf(int ch),False
1,InvalidNameHelper,4,int lastIndexOf(int ch),False
1,InvalidNameHelper,5,boolean equals(Object anObject),False
2,ObjectIdHelper,1,boolean equals(Object obj),False
2,ObjectIdHelper,2,int hashCode(),False
2,ObjectIdHelper,3,String toString(),False
2,ObjectIdHelper,4,Object clone(),False
2,ObjectIdHelper,5,int compareTo(ObjectId oid),False
