ClassName,Method,Return Type,Description
AsynchronousChannelGroup,"awaitTermination(long timeout, TimeUnit unit)",abstract boolean,Awaits termination of the group.
AsynchronousChannelGroup,isShutdown(),abstract boolean,Tells whether or not this asynchronous channel group is shutdown.
AsynchronousChannelGroup,isTerminated(),abstract boolean,Tells whether or not this group has terminated.
AsynchronousChannelGroup,provider(),AsynchronousChannelProvider,Returns the provider that created this channel group.
AsynchronousChannelGroup,shutdown(),abstract void,Initiates an orderly shutdown of the group.
AsynchronousChannelGroup,shutdownNow(),abstract void,Shuts down the group and closes all open channels in the group.
AsynchronousChannelGroup,"withCachedThreadPool(ExecutorService executor, int initialSize)",static AsynchronousChannelGroup,Creates an asynchronous channel group with a given thread pool that creates new threads as needed.
AsynchronousChannelGroup,"withFixedThreadPool(int nThreads, ThreadFactory threadFactory)",static AsynchronousChannelGroup,Creates an asynchronous channel group with a fixed thread pool.
AsynchronousChannelGroup,withThreadPool(ExecutorService executor),static AsynchronousChannelGroup,Creates an asynchronous channel group with a given thread pool.
AsynchronousFileChannel,force(boolean metaData),abstract void,Forces any updates to this channel's file to be written to the storage device that contains it.
AsynchronousFileChannel,lock(),Future<FileLock>,Acquires an exclusive lock on this channel's file.
AsynchronousFileChannel,"lock(A attachment, CompletionHandler<FileLock,? super A> handler)",<A> void,Acquires an exclusive lock on this channel's file.
AsynchronousFileChannel,"lock(long position, long size, boolean shared)",abstract Future<FileLock>,Acquires a lock on the given region of this channel's file.
AsynchronousFileChannel,"lock(long position, long size, boolean shared, A attachment, CompletionHandler<FileLock,? super A> handler)",abstract <A> void,Acquires a lock on the given region of this channel's file.
AsynchronousFileChannel,"open(Path file, OpenOption... options)",static AsynchronousFileChannel,"Opens or creates a file for reading and/or writing, returning an asynchronous file channel to access the file."
AsynchronousFileChannel,"open(Path file, Set<? extends OpenOption> options, ExecutorService executor, FileAttribute<?>... attrs)",static AsynchronousFileChannel,"Opens or creates a file for reading and/or writing, returning an asynchronous file channel to access the file."
AsynchronousFileChannel,"read(ByteBuffer dst, long position)",abstract Future<Integer>,"Reads a sequence of bytes from this channel into the given buffer, starting at the given file position."
AsynchronousFileChannel,"read(ByteBuffer dst, long position, A attachment, CompletionHandler<Integer,? super A> handler)",abstract <A> void,"Reads a sequence of bytes from this channel into the given buffer, starting at the given file position."
AsynchronousFileChannel,size(),abstract long,Returns the current size of this channel's file.
AsynchronousFileChannel,truncate(long size),abstract AsynchronousFileChannel,Truncates this channel's file to the given size.
AsynchronousFileChannel,tryLock(),FileLock,Attempts to acquire an exclusive lock on this channel's file.
AsynchronousFileChannel,"tryLock(long position, long size, boolean shared)",abstract FileLock,Attempts to acquire a lock on the given region of this channel's file.
AsynchronousFileChannel,"write(ByteBuffer src, long position)",abstract Future<Integer>,"Writes a sequence of bytes to this channel from the given buffer, starting at the given file position."
AsynchronousFileChannel,"write(ByteBuffer src, long position, A attachment, CompletionHandler<Integer,? super A> handler)",abstract <A> void,"Writes a sequence of bytes to this channel from the given buffer, starting at the given file position."
AsynchronousServerSocketChannel,accept(),abstract Future<AsynchronousSocketChannel>,Accepts a connection.
AsynchronousServerSocketChannel,"accept(A attachment, CompletionHandler<AsynchronousSocketChannel,? super A> handler)",abstract <A> void,Accepts a connection.
AsynchronousServerSocketChannel,bind(SocketAddress local),AsynchronousServerSocketChannel,Binds the channel's socket to a local address and configures the socket to listen for connections.
AsynchronousServerSocketChannel,"bind(SocketAddress local, int backlog)",abstract AsynchronousServerSocketChannel,Binds the channel's socket to a local address and configures the socket to listen for connections.
AsynchronousServerSocketChannel,getLocalAddress(),abstract SocketAddress,Returns the socket address that this channel's socket is bound to.
AsynchronousServerSocketChannel,open(),static AsynchronousServerSocketChannel,Opens an asynchronous server-socket channel.
AsynchronousServerSocketChannel,open(AsynchronousChannelGroup group),static AsynchronousServerSocketChannel,Opens an asynchronous server-socket channel.
AsynchronousServerSocketChannel,provider(),AsynchronousChannelProvider,Returns the provider that created this channel.
AsynchronousServerSocketChannel,"setOption(SocketOption<T> name, T value)",abstract <T> AsynchronousServerSocketChannel,Sets the value of a socket option.
AsynchronousSocketChannel,bind(SocketAddress local),abstract AsynchronousSocketChannel,Binds the channel's socket to a local address.
AsynchronousSocketChannel,connect(SocketAddress remote),abstract Future<Void>,Connects this channel.
AsynchronousSocketChannel,"connect(SocketAddress remote, A attachment, CompletionHandler<Void,? super A> handler)",abstract <A> void,Connects this channel.
AsynchronousSocketChannel,getLocalAddress(),abstract SocketAddress,Returns the socket address that this channel's socket is bound to.
AsynchronousSocketChannel,getRemoteAddress(),abstract SocketAddress,Returns the remote address to which this channel's socket is connected.
AsynchronousSocketChannel,open(),static AsynchronousSocketChannel,Opens an asynchronous socket channel.
AsynchronousSocketChannel,open(AsynchronousChannelGroup group),static AsynchronousSocketChannel,Opens an asynchronous socket channel.
AsynchronousSocketChannel,provider(),AsynchronousChannelProvider,Returns the provider that created this channel.
AsynchronousSocketChannel,read(ByteBuffer dst),abstract Future<Integer>,Reads a sequence of bytes from this channel into the given buffer.
AsynchronousSocketChannel,"read(ByteBuffer[] dsts, int offset, int length, long timeout, TimeUnit unit, A attachment, CompletionHandler<Long,? super A> handler)",abstract <A> void,Reads a sequence of bytes from this channel into a subsequence of the given buffers.
AsynchronousSocketChannel,"read(ByteBuffer dst, A attachment, CompletionHandler<Integer,? super A> handler)",<A> void,Reads a sequence of bytes from this channel into the given buffer.
AsynchronousSocketChannel,"read(ByteBuffer dst, long timeout, TimeUnit unit, A attachment, CompletionHandler<Integer,? super A> handler)",abstract <A> void,Reads a sequence of bytes from this channel into the given buffer.
AsynchronousSocketChannel,"setOption(SocketOption<T> name, T value)",abstract <T> AsynchronousSocketChannel,Sets the value of a socket option.
AsynchronousSocketChannel,shutdownInput(),abstract AsynchronousSocketChannel,Shutdown the connection for reading without closing the channel.
AsynchronousSocketChannel,shutdownOutput(),abstract AsynchronousSocketChannel,Shutdown the connection for writing without closing the channel.
AsynchronousSocketChannel,write(ByteBuffer src),abstract Future<Integer>,Writes a sequence of bytes to this channel from the given buffer.
AsynchronousSocketChannel,"write(ByteBuffer[] srcs, int offset, int length, long timeout, TimeUnit unit, A attachment, CompletionHandler<Long,? super A> handler)",abstract <A> void,Writes a sequence of bytes to this channel from a subsequence of the given buffers.
AsynchronousSocketChannel,"write(ByteBuffer src, A attachment, CompletionHandler<Integer,? super A> handler)",<A> void,Writes a sequence of bytes to this channel from the given buffer.
AsynchronousSocketChannel,"write(ByteBuffer src, long timeout, TimeUnit unit, A attachment, CompletionHandler<Integer,? super A> handler)",abstract <A> void,Writes a sequence of bytes to this channel from the given buffer.
