Sample Number,ClassName,Snippet Number,Method,Exist
0,MultiButtonUI,1,void installDefaults(AbstractButton b),False
0,MultiButtonUI,2,void uninstallDefaults(AbstractButton b),False
0,MultiButtonUI,3,"void paint(Graphics g, JComponent c)",True
0,MultiButtonUI,4,"void update(Graphics g, JComponent c)",True
0,MultiButtonUI,5,void installFocus(AbstractButton b),False
0,MultiButtonUI,6,void uninstallFocus(AbstractButton b),False
0,MultiButtonUI,7,void installMouseListeners(AbstractButton b),False
0,MultiButtonUI,8,void uninstallMouseListeners(AbstractButton b),False
0,MultiButtonUI,9,void installKeyboardListeners(AbstractButton b),False
0,MultiButtonUI,10,void uninstallKeyboardListeners(AbstractButton b),False
0,MultiButtonUI,11,void installActionListeners(AbstractButton b),False
0,MultiButtonUI,12,void uninstallActionListeners(AbstractButton b),False
0,MultiButtonUI,13,void installIcon(AbstractButton b),False
0,MultiButtonUI,14,void uninstallIcon(AbstractButton b),False
0,MultiButtonUI,15,void installText(AbstractButton b),False
0,MultiButtonUI,16,void uninstallText(AbstractButton b),False
0,MultiButtonUI,17,void installMnemonic(AbstractButton b),False
0,MultiButtonUI,18,void uninstallMnemonic(AbstractButton b),False
0,MultiButtonUI,19,void installToolTipText(AbstractButton b),False
0,MultiButtonUI,20,void uninstallToolTipText(AbstractButton b),False
0,MultiButtonUI,21,void installEnabled(AbstractButton b),False
0,MultiButtonUI,22,void uninstallEnabled(AbstractButton b),False
0,MultiButtonUI,23,void installVisible(AbstractButton b),False
0,MultiButtonUI,24,void uninstallVisible(AbstractButton b),False
0,MultiButtonUI,25,void installBorder(AbstractButton b),False
0,MultiButtonUI,26,void uninstallBorder(AbstractButton b),False
0,MultiButtonUI,27,void installTransparency(AbstractButton b),False
0,MultiButtonUI,28,void uninstallTransparency(AbstractButton b),False
0,MultiButtonUI,29,void installFocusPainted(AbstractButton b),False
0,MultiButtonUI,30,void uninstallFocusPainted(AbstractButton b),False
1,MultiColorChooserUI,1,"void setColor(int index, Color color)",False
1,MultiColorChooserUI,2,Color getColor(int index),False
1,MultiColorChooserUI,3,void setColorCount(int count),False
1,MultiColorChooserUI,4,int getColorCount(),False
1,MultiColorChooserUI,5,void setSelectedColor(Color color),False
1,MultiColorChooserUI,6,Color getSelectedColor(),False
1,MultiColorChooserUI,7,void setColorSelectionMode(int mode),False
1,MultiColorChooserUI,8,int getColorSelectionMode(),False
1,MultiColorChooserUI,9,void setPreviewPanel(JComponent preview),False
1,MultiColorChooserUI,10,JComponent getPreviewPanel(),False
1,MultiColorChooserUI,11,void setColorChooserPanel(JComponent panel),False
1,MultiColorChooserUI,12,JComponent getColorChooserPanel(),False
1,MultiColorChooserUI,13,void setColorModel(ColorModel model),False
1,MultiColorChooserUI,14,ColorModel getColorModel(),False
1,MultiColorChooserUI,15,void setColorSelectionChangedListener(ActionListener listener),False
1,MultiColorChooserUI,16,ActionListener getColorSelectionChangedListener(),False
