Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,BufferedInputStream,1,int read(),True,See the general contract of the read method of InputStream.,"

read
public int read()
         throws IOException
See
 the general contract of the read
 method of InputStream.

Overrides:
read in class FilterInputStream
Returns:
the next byte of data, or -1 if the end of the
             stream is reached.
Throws:
IOException - if this input stream has been closed by
                          invoking its close() method,
                          or an I/O error occurs.
See Also:
FilterInputStream.in


"
0,BufferedInputStream,2,int read(byte[] b),False,,NULL
0,BufferedInputStream,3,"int read(byte[] b, int off, int len)",True,"Reads bytes from this byte-input stream into the specified byte array, starting at the given offset.","

read
public int read(byte[] b,
                int off,
                int len)
         throws IOException
Reads bytes from this byte-input stream into the specified byte array,
 starting at the given offset.

  This method implements the general contract of the corresponding
 read method of
 the InputStream class.  As an additional
 convenience, it attempts to read as many bytes as possible by repeatedly
 invoking the read method of the underlying stream.  This
 iterated read continues until one of the following
 conditions becomes true: 
 The specified number of bytes have been read,

    The read method of the underlying stream returns
   -1, indicating end-of-file, or

    The available method of the underlying stream
   returns zero, indicating that further input requests would block.

  If the first read on the underlying stream returns
 -1 to indicate end-of-file then this method returns
 -1.  Otherwise this method returns the number of bytes
 actually read.

  Subclasses of this class are encouraged, but not required, to
 attempt to read as many bytes as possible in the same fashion.

Overrides:
read in class FilterInputStream
Parameters:
b - destination buffer.
off - offset at which to start storing bytes.
len - maximum number of bytes to read.
Returns:
the number of bytes read, or -1 if the end of
             the stream has been reached.
Throws:
IOException - if this input stream has been closed by
                          invoking its close() method,
                          or an I/O error occurs.
See Also:
FilterInputStream.in


"
0,BufferedInputStream,4,long skip(long n),True,See the general contract of the skip method of InputStream.,"

skip
public long skip(long n)
          throws IOException
See the general contract of the skip
 method of InputStream.

Overrides:
skip in class FilterInputStream
Parameters:
n - the number of bytes to be skipped.
Returns:
the actual number of bytes skipped.
Throws:
IOException - if the stream does not support seek,
                          or if this input stream has been closed by
                          invoking its close() method, or an
                          I/O error occurs.


"
0,BufferedInputStream,5,int available(),True,Returns an estimate of the number of bytes that can be read (or skipped over) from this input stream without blocking by the next invocation of a method for this input stream.,"

available
public int available()
              throws IOException
Returns an estimate of the number of bytes that can be read (or
 skipped over) from this input stream without blocking by the next
 invocation of a method for this input stream. The next invocation might be
 the same thread or another thread.  A single read or skip of this
 many bytes will not block, but may read or skip fewer bytes.
 
 This method returns the sum of the number of bytes remaining to be read in
 the buffer (count - pos) and the result of calling the
 in.available().

Overrides:
available in class FilterInputStream
Returns:
an estimate of the number of bytes that can be read (or skipped
             over) from this input stream without blocking.
Throws:
IOException - if this input stream has been closed by
                          invoking its close() method,
                          or an I/O error occurs.


"
1,BufferedOutputStream,1,BufferedOutputStream(OutputStream out),False,,NULL
1,BufferedOutputStream,2,void write(int b),True,Writes the specified byte to this buffered output stream.,"

write
public void write(int b)
           throws IOException
Writes the specified byte to this buffered output stream.

Overrides:
write in class FilterOutputStream
Parameters:
b - the byte to be written.
Throws:
IOException - if an I/O error occurs.


"
1,BufferedOutputStream,3,void write(byte[] b),False,,NULL
1,BufferedOutputStream,4,"void write(byte[] b, int off, int len)",True,Writes len bytes from the specified byte array starting at offset off to this buffered output stream.,"

write
public void write(byte[] b,
                  int off,
                  int len)
           throws IOException
Writes len bytes from the specified byte array
 starting at offset off to this buffered output stream.

  Ordinarily this method stores bytes from the given array into this
 stream's buffer, flushing the buffer to the underlying output stream as
 needed.  If the requested length is at least as large as this stream's
 buffer, however, then this method will flush the buffer and write the
 bytes directly to the underlying output stream.  Thus redundant
 BufferedOutputStreams will not copy data unnecessarily.

Overrides:
write in class FilterOutputStream
Parameters:
b - the data.
off - the start offset in the data.
len - the number of bytes to write.
Throws:
IOException - if an I/O error occurs.
See Also:
FilterOutputStream.write(int)


"
1,BufferedOutputStream,5,void flush(),True,Flushes this buffered output stream.,"

flush
public void flush()
           throws IOException
Flushes this buffered output stream. This forces any buffered
 output bytes to be written out to the underlying output stream.

Specified by:
flush in interface Flushable
Overrides:
flush in class FilterOutputStream
Throws:
IOException - if an I/O error occurs.
See Also:
FilterOutputStream.out


"
2,BufferedReader,1,BufferedReader(Reader in),False,,NULL
2,BufferedReader,2,"BufferedReader(Reader in, int sz)",False,,NULL
2,BufferedReader,3,String readLine(),True,Reads a line of text.,"

readLine
public String readLine()
                throws IOException
Reads a line of text.  A line is considered to be terminated by any one
 of a line feed ('\n'), a carriage return ('\r'), or a carriage return
 followed immediately by a linefeed.

Returns:
A String containing the contents of the line, not including
             any line-termination characters, or null if the end of the
             stream has been reached
Throws:
IOException - If an I/O error occurs
See Also:
Files.readAllLines(java.nio.file.Path, java.nio.charset.Charset)


"
2,BufferedReader,4,"String readLine(char[] cbuf, int off, int len)",False,,NULL
2,BufferedReader,5,void close(),True,Closes the stream and releases any system resources associated with it.,"

close
public void close()
           throws IOException
Description copied from class: Reader
Closes the stream and releases any system resources associated with
 it.  Once the stream has been closed, further read(), ready(),
 mark(), reset(), or skip() invocations will throw an IOException.
 Closing a previously closed stream has no effect.

Specified by:
close in interface Closeable
Specified by:
close in interface AutoCloseable
Specified by:
close in class Reader
Throws:
IOException - If an I/O error occurs


"
3,BufferedWriter,1,BufferedWriter(Writer out),False,,NULL
3,BufferedWriter,2,void write(int c),True,Writes a single character.,"

write
public void write(int c)
           throws IOException
Writes a single character.

Overrides:
write in class Writer
Parameters:
c - int specifying a character to be written
Throws:
IOException - If an I/O error occurs


"
3,BufferedWriter,3,void write(char[] cbuf),False,,NULL
3,BufferedWriter,4,void write(String str),False,,NULL
3,BufferedWriter,5,void newLine(),True,Writes a line separator.,"

newLine
public void newLine()
             throws IOException
Writes a line separator.  The line separator string is defined by the
 system property line.separator, and is not necessarily a single
 newline ('\n') character.

Throws:
IOException - If an I/O error occurs


"
4,ByteArrayInputStream,1,ByteArrayInputStream(byte[] buf),False,,NULL
4,ByteArrayInputStream,2,int read(),True,Reads the next byte of data from this input stream.,"

read
public int read()
Reads the next byte of data from this input stream. The value
 byte is returned as an int in the range
 0 to 255. If no byte is available
 because the end of the stream has been reached, the value
 -1 is returned.
 
 This read method
 cannot block.

Specified by:
read in class InputStream
Returns:
the next byte of data, or -1 if the end of the
          stream has been reached.


"
4,ByteArrayInputStream,3,"int read(byte b[], int off, int len)",False,,NULL
