Sample Number,ClassName,Snippet Number,Method,Exist
0,AccessControlContext,1,Principal[] getPrincipals(),False
0,AccessControlContext,2,boolean checkPermission(Permission perm),False
0,AccessControlContext,3,void checkPermission(Permission perm) throws AccessControlException,True
0,AccessControlContext,4,boolean isReadOnly(),False
0,AccessControlContext,5,void setReadOnly(),False
1,AccessController,1,checkPermission(Permission perm),False
1,AccessController,2,doPrivileged(PrivilegedAction<T> action),False
1,AccessController,3,getStackAccess(),False
1,AccessController,4,getContext(),False
1,AccessController,5,getReadOnlyContext(),False
2,AlgorithmParameterGenerator,1,init(int opmode),False
2,AlgorithmParameterGenerator,2,init(String algorithm),False
2,AlgorithmParameterGenerator,3,init(AlgorithmParameterGenerator apg),False
2,AlgorithmParameterGenerator,4,generateParameters(),False
2,AlgorithmParameterGenerator,5,setParameter(byte[] params),False
3,AlgorithmParameterGeneratorSpi,1,"init(int size, SecureRandom random)",False
3,AlgorithmParameterGeneratorSpi,2,"init(AlgorithmParameterSpec params, SecureRandom random)",False
3,AlgorithmParameterGeneratorSpi,3,generateParameters(),False
3,AlgorithmParameterGeneratorSpi,4,getParameterSpec(Class<T> type),False
3,AlgorithmParameterGeneratorSpi,5,getParameters(),False
4,AlgorithmParameters,1,getEncoded(),False
4,AlgorithmParameters,2,"init(byte[] params, int offset, int len)",False
4,AlgorithmParameters,3,getParameterSpec(Class<T> parameterSpecClass),False
4,AlgorithmParameters,4,setParameter(byte[] params),False
4,AlgorithmParameters,5,"getParameter(byte[] params, int offset)",False
5,AlgorithmParametersSpi,1,"init(byte[] params, int offset, int len)",False
5,AlgorithmParametersSpi,2,getEncoded(),False
5,AlgorithmParametersSpi,3,getParameterSpec(Class<T> parameterSpecClass),False
5,AlgorithmParametersSpi,4,"setParameter(byte[] params, int offset, int len)",False
5,AlgorithmParametersSpi,5,getAlgorithm(),False
6,AllPermission,1,boolean implies(Permission p),True
6,AllPermission,2,boolean equals(Object obj),True
6,AllPermission,3,String getActions(),True
6,AllPermission,4,int hashCode(),True
6,AllPermission,5,String toString(),False
7,AuthProvider,1,String getName(),False
7,AuthProvider,2,boolean supports(ProtectionDomain domain),False
7,AuthProvider,3,boolean isLoggedIn(),False
7,AuthProvider,4,boolean login() throws LoginException,False
7,AuthProvider,5,boolean login(Subject subject) throws LoginException,False
8,BasicPermission,1,boolean implies(Permission p),True
8,BasicPermission,2,boolean equals(Object obj),True
8,BasicPermission,3,String getActions(),True
8,BasicPermission,4,String getName(),False
8,BasicPermission,5,int hashCode(),True
9,CodeSigner,1,byte[] getSignature(),False
9,CodeSigner,2,String getSignerCertPath(),False
9,CodeSigner,3,String getSignerFormat(),False
9,CodeSigner,4,String getSignerName(),False
9,CodeSigner,5,String getSignerSerialNumber(),False
10,CodeSource,1,URL getLocation(),True
10,CodeSource,2,String toString(),True
10,CodeSource,3,boolean equals(Object obj),True
10,CodeSource,4,int hashCode(),True
10,CodeSource,5,boolean isCertified(),False
11,DigestInputStream,1,"int read(byte[] b, int off, int len)",True
11,DigestInputStream,2,void close(),False
11,DigestInputStream,3,int read(),True
11,DigestInputStream,4,int read(byte[] b),False
11,DigestInputStream,5,boolean markSupported(),False
12,DigestOutputStream,1,void write(int b),True
12,DigestOutputStream,2,void write(byte[] b),False
12,DigestOutputStream,3,"void write(byte[] b, int off, int len)",True
12,DigestOutputStream,4,void flush(),False
12,DigestOutputStream,5,void close(),False
13,DomainLoadStoreParameter,1,void setStore(byte[] store),False
13,DomainLoadStoreParameter,2,byte[] getStore(),False
13,DomainLoadStoreParameter,3,void setAlias(String alias),False
13,DomainLoadStoreParameter,4,String getAlias(),False
13,DomainLoadStoreParameter,5,void setPassword(char[] password),False
14,GuardedObject,1,boolean equals(Object obj),False
14,GuardedObject,2,int hashCode(),False
