Sample Number,ClassName,Snippet Number,Method,Exist
0,MultiButtonUI,1,ButtonUI createUI(JComponent x),False
0,MultiButtonUI,2,Dimension getMaximumSize(JComponent x),True
0,MultiButtonUI,3,Dimension getMinimumSize(JComponent x),True
0,MultiButtonUI,4,Dimension getPreferredSize(JComponent x),True
0,MultiButtonUI,5,void installUI(JComponent x),True
1,MultiColorChooserUI,1,ColorChooserUI createUI(JComponent c),False
1,MultiColorChooserUI,2,void installUI(JComponent c),True
1,MultiColorChooserUI,3,void uninstallUI(JComponent c),True
1,MultiColorChooserUI,4,ComponentUI[] getDefaults(JComponent c),False
1,MultiColorChooserUI,5,LookAndFeel[] getInstalledLookAndFeels(),False
2,MultiComboBoxUI,1,ComboPopup getPopup(),False
2,MultiComboBoxUI,2,void setPopup(ComboPopup popup),False
2,MultiComboBoxUI,3,void setRenderer(ComboPopup renderer),False
2,MultiComboBoxUI,4,JComboBox getComboBox(),False
2,MultiComboBoxUI,5,ComboBoxEditor getEditor(),False
3,MultiDesktopIconUI,1,Dimension getPreferredSize(JDesktopIcon di),False
3,MultiDesktopIconUI,2,"void setBounds(JDesktopIcon di, int x, int y, int width, int height)",False
3,MultiDesktopIconUI,3,Rectangle getBounds(JDesktopIcon di),False
3,MultiDesktopIconUI,4,void deiconify(JInternalFrame f),False
3,MultiDesktopIconUI,5,void iconify(JInternalFrame f),False
4,MultiDesktopPaneUI,1,javax.swing.JDesktopPane[] getDesktops(),False
4,MultiDesktopPaneUI,2,void setDesktops(JDesktopPane[] desktops),False
4,MultiDesktopPaneUI,3,javax.swing.plaf.DesktopPaneUI createUI(JComponent x),False
4,MultiDesktopPaneUI,4,javax.swing.plaf.ComponentUI[] getUIs(),False
4,MultiDesktopPaneUI,5,int getUIIndexOf(javax.swing.plaf.ComponentUI ui),False
5,MultiFileChooserUI,1,JFileChooserUI createUI(JComponent a),False
5,MultiFileChooserUI,2,"int getBaseline(JComponent a, int b, int c)",False
5,MultiFileChooserUI,3,ComponentUI[] getUIs(),True
5,MultiFileChooserUI,4,String paramString(),False
5,MultiFileChooserUI,5,"void update(Graphics a, JComponent b)",True
6,MultiInternalFrameUI,1,JComponent createUI(JComponent a),False
6,MultiInternalFrameUI,2,JComponentUI[] getUIs(),False
6,MultiInternalFrameUI,3,void selectUI(JComponentUI a),False
6,MultiInternalFrameUI,4,int getDefaultParent(),False
6,MultiInternalFrameUI,5,void installUIs(),False
7,MultiLabelUI,1,Dimension getPreferredSize(JComponent c),True
7,MultiLabelUI,2,"void paint(Graphics g, JComponent c)",True
7,MultiLabelUI,3,"boolean contains(JComponent c, int x, int y)",True
7,MultiLabelUI,4,"Accessible getAccessibleChild(JComponent c, int i)",True
7,MultiLabelUI,5,"int getBaseline(JComponent c, int width, int height)",False
8,MultiListUI,1,int locationToIndex(Point location),False
8,MultiListUI,2,Dimension getPreferredSize(JList list),False
8,MultiListUI,3,ListCellRenderer getCellRenderer(),False
8,MultiListUI,4,"void paint(Graphics g, JComponent c)",True
8,MultiListUI,5,String toString(),False
9,MultiLookAndFeel,1,LookAndFeel getLookAndFeel(),False
9,MultiLookAndFeel,2,LookAndFeel[] getInstalledLookAndFeels(),False
9,MultiLookAndFeel,3,LookAndFeel getDefaultLookAndFeel(),False
9,MultiLookAndFeel,4,void initialize(),False
9,MultiLookAndFeel,5,void uninitialize(),False
10,MultiMenuBarUI,1,ComponentUI createUI(JComponent c),True
