Sample Number,ClassName,Snippet Number,Method,Exist
0,AbstractTableModel,1,int getRowCount(),False
0,AbstractTableModel,2,int getColumnCount(),False
0,AbstractTableModel,3,"Object getValueAt(int row, int column)",False
0,AbstractTableModel,4,Class getColumnClass(int column),False
0,AbstractTableModel,5,"boolean isCellEditable(int row, int column)",True
1,DefaultTableCellRenderer,1,void setHorizontalAlignment(int alignment),False
1,DefaultTableCellRenderer,2,void setVerticalAlignment(int alignment),False
1,DefaultTableCellRenderer,3,void setBackground(Color c),True
1,DefaultTableCellRenderer,4,void setForeground(Color c),True
1,DefaultTableCellRenderer,5,void setToolTipText(String toolTipText),False
2,DefaultTableCellRenderer.UIResource,1,void setBackground(Color c),False
2,DefaultTableCellRenderer.UIResource,2,void setForeground(Color c),False
2,DefaultTableCellRenderer.UIResource,3,void setHorizontalAlignment(int alignment),False
2,DefaultTableCellRenderer.UIResource,4,void setVerticalAlignment(int alignment),False
2,DefaultTableCellRenderer.UIResource,5,void setBorder(Border border),False
3,DefaultTableColumnModel,1,int getColumnCount(),True
3,DefaultTableColumnModel,2,TableColumn getColumn(int columnIndex),True
3,DefaultTableColumnModel,3,int getColumnIndex(TableColumn column),False
3,DefaultTableColumnModel,4,void addColumn(TableColumn column),True
3,DefaultTableColumnModel,5,void removeColumn(TableColumn column),True
3,DefaultTableColumnModel,6,"void moveColumn(int columnIndex, int targetIndex)",True
3,DefaultTableColumnModel,7,void setColumnSelectionAllowed(boolean b),True
3,DefaultTableColumnModel,8,boolean isColumnSelectionAllowed(),False
3,DefaultTableColumnModel,9,void setColumnMovingAllowed(boolean b),False
3,DefaultTableColumnModel,10,boolean isColumnMovingAllowed(),False
3,DefaultTableColumnModel,11,void setColumnResizingAllowed(boolean b),False
3,DefaultTableColumnModel,12,boolean isColumnResizingAllowed(),False
3,DefaultTableColumnModel,13,void setColumnEditingAllowed(boolean b),False
3,DefaultTableColumnModel,14,boolean isColumnEditingAllowed(),False
3,DefaultTableColumnModel,15,"void setColumnClass(int columnIndex, Class<?> aClass)",False
3,DefaultTableColumnModel,16,"void setColumnPreferredWidth(int columnIndex, int width)",False
3,DefaultTableColumnModel,17,"void setColumnMaxWidth(int columnIndex, int width)",False
3,DefaultTableColumnModel,18,"void setColumnMinWidth(int columnIndex, int width)",False
3,DefaultTableColumnModel,19,void setColumnIdentifiers(Object[] identifiers),False
3,DefaultTableColumnModel,20,void setTableHeader(TableHeader header),False
3,DefaultTableColumnModel,21,TableHeader getTableHeader(),False
3,DefaultTableColumnModel,22,void setModel(TableModel dm),False
3,DefaultTableColumnModel,23,TableModel getModel(),False
3,DefaultTableColumnModel,24,void setAutoCreateColumnsFromModel(boolean b),False
3,DefaultTableColumnModel,25,boolean isAutoCreateColumnsFromModel(),False
3,DefaultTableColumnModel,26,void setColumnSelectionModel(ListSelectionModel m),False
3,DefaultTableColumnModel,27,ListSelectionModel getColumnSelectionModel(),False
3,DefaultTableColumnModel,28,void setColumnMargin(int margin),True
3,DefaultTableColumnModel,29,int getColumnMargin(),True
3,DefaultTableColumnModel,30,"void setColumnWidth(int columnIndex, int width)",False
3,DefaultTableColumnModel,31,int getColumnWidth(int columnIndex),False
3,DefaultTableColumnModel,32,void setColumn(TableColumn column),False
3,DefaultTableColumnModel,33,void removeAllColumns(),False
4,DefaultTableModel,1,int getColumnCount(),True
4,DefaultTableModel,2,int getRowCount(),True
4,DefaultTableModel,3,"Object getValueAt(int row, int column)",True
4,DefaultTableModel,4,"void setValueAt(Object value, int row, int column)",True
4,DefaultTableModel,5,Class getColumnClass(int columnIndex),False
4,DefaultTableModel,6,"boolean isCellEditable(int row, int column)",True
4,DefaultTableModel,7,void addTableModelListener(TableModelListener l),False
4,DefaultTableModel,8,void removeTableModelListener(TableModelListener l),False
4,DefaultTableModel,9,void fireTableDataChanged(),False
4,DefaultTableModel,10,void fireTableStructureChanged(),False
4,DefaultTableModel,11,void setRowCount(int rowCount),True
4,DefaultTableModel,12,void setColumnCount(int columnCount),True
4,DefaultTableModel,13,"void setValueAt(Object value, int row, int column)",True
4,DefaultTableModel,14,void addColumn(TableColumn column),False
4,DefaultTableModel,15,TableColumn getColumn(int columnIndex),False
4,DefaultTableModel,16,void removeColumn(TableColumn column),False
4,DefaultTableModel,17,void removeRow(int rowIndex),True
4,DefaultTableModel,18,"void insertRow(int rowIndex, Object[] rowData)",True
4,DefaultTableModel,19,void addRow(Object[] rowData),True
4,DefaultTableModel,20,void clear(),False
5,JTableHeader,1,void setReorderingAllowed(boolean reorderingAllowed),True
5,JTableHeader,2,int getColumnCount(),False
5,JTableHeader,3,int getColumnModelIndex(int viewColumnIndex),False
5,JTableHeader,4,int getWidth(),False
5,JTableHeader,5,void setResizingAllowed(boolean resizingAllowed),True
6,TableColumn,1,int getModelIndex(),True
6,TableColumn,2,void setModelIndex(int index),True
6,TableColumn,3,int getWidth(),True
6,TableColumn,4,void setWidth(int width),True
