ClassName,URL,Description
ActivationDataFlavor,https://docs.oracle.com/javase/8/docs/api/javax/activation/ActivationDataFlavor.html,The ActivationDataFlavor class is a special subclass of java.awt.datatransfer.DataFlavor.
CommandInfo,https://docs.oracle.com/javase/8/docs/api/javax/activation/CommandInfo.html,The CommandInfo class is used by CommandMap implementations to describe the results of command requests.
CommandMap,https://docs.oracle.com/javase/8/docs/api/javax/activation/CommandMap.html,The CommandMap class provides an interface to a registry of command objects available in the system.
DataHandler,https://docs.oracle.com/javase/8/docs/api/javax/activation/DataHandler.html,The DataHandler class provides a consistent interface to data available in many different sources and formats.
FileDataSource,https://docs.oracle.com/javase/8/docs/api/javax/activation/FileDataSource.html,The FileDataSource class implements a simple DataSource object that encapsulates a file.
FileTypeMap,https://docs.oracle.com/javase/8/docs/api/javax/activation/FileTypeMap.html,The FileTypeMap is an abstract class that provides a data typing interface for files.
MailcapCommandMap,https://docs.oracle.com/javase/8/docs/api/javax/activation/MailcapCommandMap.html,MailcapCommandMap extends the CommandMap abstract class.
MimeType,https://docs.oracle.com/javase/8/docs/api/javax/activation/MimeType.html,"A Multipurpose Internet Mail Extension (MIME) type, as defined in RFC 2045 and 2046."
MimeTypeParameterList,https://docs.oracle.com/javase/8/docs/api/javax/activation/MimeTypeParameterList.html,A parameter list of a MimeType as defined in RFC 2045 and 2046.
MimetypesFileTypeMap,https://docs.oracle.com/javase/8/docs/api/javax/activation/MimetypesFileTypeMap.html,This class extends FileTypeMap and provides data typing of files via their file extension.
URLDataSource,https://docs.oracle.com/javase/8/docs/api/javax/activation/URLDataSource.html,The URLDataSource class provides an object that wraps a URL object in a DataSource interface.
